GENE CHR START STOP NSNPS NPARAM N ZSTAT P
148398 1 859993 879961 50 12 500000 0.50486 0.30683
26155 1 879583 894679 52 8 500000 0.37294 0.3546
339451 1 895967 901099 16 3 500000 0.011511 0.49541
84069 1 901872 910488 27 13 500000 -0.39291 0.65281
84808 1 910579 917473 22 5 500000 1.01 0.15626
57801 1 934342 936608 13 4 500000 1.0593 0.14474
9636 1 948847 949920 5 2 500000 2.1243 0.016822
375790 1 955503 991499 93 12 500000 2.7051 0.0034144
401934 1 1007126 1009687 7 3 500000 1.8823 0.029896
54991 1 1017198 1051736 110 14 500000 0.35981 0.35949
254173 1 1109286 1133315 142 20 500000 -0.54005 0.70542
8784 1 1138888 1142163 10 2 500000 -1.1045 0.86531
7293 1 1146706 1149703 8 3 500000 -1.1193 0.8685
51150 1 1152288 1167447 93 6 500000 -1.0345 0.84955
126792 1 1167629 1170421 7 2 500000 -0.94546 0.82779
388581 1 1177826 1182102 13 3 500000 -0.87202 0.8084
118424 1 1189292 1209234 55 9 500000 0.25662 0.39874
6339 1 1215816 1227409 41 15 500000 -0.8327 0.79749
116983 1 1227764 1243304 45 10 500000 -1.7619 0.96096
126789 1 1243962 1247057 4 2 500000 -1.8283 0.96625
54973 1 1246965 1260067 20 6 500000 -0.87838 0.81013
80772 1 1260136 1264276 12 3 500000 -0.78606 0.78408
83756 1 1266726 1269844 8 4 500000 0.26831 0.39423
1855 1 1270658 1284509 40 10 500000 -1.411 0.92088
54587 1 1288071 1297183 28 6 500000 -0.4588 0.67681
54998 1 1309110 1310818 7 3 500000 -1.5551 0.94003
81669 1 1321091 1334718 19 8 500000 -1.0563 0.85458
55052 1 1337276 1342693 12 5 500000 -1.5829 0.94328
441869 1 1353800 1356824 6 2 500000 -1.3553 0.91233
643965 1 1361508 1363167 7 3 500000 -2.4511 0.99288
64856 1 1370903 1378262 16 4 500000 -0.41206 0.65985
219293 1 1378152 1405538 55 11 500000 0.65789 0.2553
83858 1 1407139 1444852 46 15 500000 -0.13264 0.55276
55210 1 1447523 1470067 63 12 500000 -0.21445 0.5849
339453 1 1470158 1475740 9 4 500000 0.39451 0.3466
29101 1 1477053 1510262 97 12 500000 0.61235 0.27015
643988 1 1533388 1535476 2 1 500000 0.17191 0.43175
142678 1 1550795 1565990 38 8 500000 0.18754 0.42562
8510 1 1567060 1570030 2 1 500000 0.87688 0.19027
984 1 1571100 1590473 18 4 500000 -1.2146 0.88774
728661 1 1591486 1624243 57 13 500000 -0.47126 0.68127
728642 1 1633822 1655999 40 3 500000 0.29075 0.38562
9906 1 1656277 1677438 31 7 500000 0.68424 0.24691
65220 1 1682671 1711508 68 10 500000 0.24991 0.40133
2782 1 1716725 1822552 148 21 500000 -0.15516 0.56165
163688 1 1846266 1848733 10 3 500000 -1.8587 0.96846
339456 1 1849029 1850740 6 3 500000 -1.1407 0.873
85452 1 1853390 1935276 308 25 500000 -1.5248 0.93634
2563 1 1950768 1962192 30 7 500000 0.31647 0.37582
5590 1 1981909 2116834 391 31 500000 0.4142 0.33936
100506504 1 2113250 2115812 4 2 500000 0.55915 0.28803
199990 1 2115899 2144159 50 11 500000 0.26979 0.39366
