GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 49988 -1.3666 0.91412
105378580 1 803398 805130 4 2 49988 -2.1021 0.98223
148398 1 925741 944581 48 14 49988 0.50389 0.30717
26155 1 944203 959299 27 7 49988 0.94644 0.17196
339451 1 959952 965720 6 3 49988 1.4186 0.078004
84069 1 966497 975108 17 9 49988 1.0482 0.14728
84808 1 975199 982117 21 6 49988 -0.40728 0.6581
57801 1 998962 1001285 12 4 49988 -0.5858 0.721
9636 1 1013467 1014540 1 1 49988 -0.37368 0.64568
375790 1 1020101 1056119 82 12 49988 1.8076 0.035331
105369174 1 1061207 1066390 10 5 49988 -0.28896 0.61369
105378948 1 1065635 1069326 9 3 49988 0.47788 0.31637
401934 1 1071746 1074307 6 2 49988 0.47982 0.31568
54991 1 1081818 1116356 105 13 49988 -0.92693 0.82302
254173 1 1173898 1197935 124 17 49988 -0.7061 0.75994
8784 1 1203508 1206709 6 1 49988 0.11319 0.45494
7293 1 1211326 1214638 7 2 49988 0.020471 0.49183
51150 1 1216908 1232067 80 5 49988 0.51809 0.3022
126792 1 1232249 1235041 3 2 49988 0.71564 0.23711
388581 1 1242446 1247218 5 2 49988 1.2344 0.10853
118424 1 1253912 1273854 32 6 49988 -0.54541 0.70726
6339 1 1280415 1292029 26 9 49988 0.67432 0.25006
116983 1 1292384 1307925 30 9 49988 -0.020092 0.50801
126789 1 1308571 1311677 3 2 49988 0.70903 0.23915
54973 1 1311585 1324687 17 5 49988 -0.35211 0.63762
80772 1 1324756 1328896 4 2 49988 -1.101 0.86455
83756 1 1328999 1335320 17 6 49988 -0.91172 0.81904
1855 1 1335278 1349158 24 7 49988 -1.1506 0.87505
54587 1 1352689 1363541 30 6 49988 -1.0502 0.85319
54998 1 1373730 1375438 1 1 49988 -0.39462 0.65344
81669 1 1385711 1399338 15 5 49988 -0.98281 0.83715
55052 1 1401896 1407834 13 5 49988 -1.4831 0.93097
441869 1 1418420 1421820 8 4 49988 -1.2198 0.88873
643965 1 1426128 1427787 8 3 49988 -0.27405 0.60798
64856 1 1435523 1442882 14 4 49988 -1.5719 0.94201
219293 1 1441301 1470158 76 14 49988 -1.7462 0.95961
83858 1 1471732 1509479 76 19 49988 -1.1141 0.86738
55210 1 1512143 1534687 73 12 49988 -1.5703 0.94183
339453 1 1534778 1540360 8 4 49988 -0.37596 0.64653
29101 1 1541673 1574882 92 11 49988 -1.9343 0.97346
643988 1 1598008 1600096 2 1 49988 -0.81982 0.79384
142678 1 1614975 1630610 36 8 49988 0.36701 0.35681
984 1 1635226 1659839 34 6 49988 0.17831 0.42924
728661 1 1660025 1692804 73 16 49988 0.61216 0.27022
728642 1 1702730 1724352 67 5 49988 -1.2149 0.88779
9906 1 1724838 1745999 59 10 49988 1.4901 0.068105
65220 1 1751232 1780514 61 9 49988 2.2736 0.011494
2782 1 1785285 1891117 152 22 49988 1.724 0.042357
105378949 1 1885960 1893010 13 7 49988 1.3369 0.090628
163688 1 1913752 1917294 10 2 49988 2.0177 0.02181
339456 1 1917589 1919301 2 1 49988 1.9642 0.024755
85452 1 1921951 2003837 323 27 49988 0.48774 0.31287
2563 1 2019329 2030753 21 5 49988 -0.25755 0.60162
5590 1 2050470 2185395 389 31 49988 -0.19329 0.57663
100506504 1 2181811 2184360 4 2 49988 -0.2622 0.60342
199990 1 2184460 2212720 46 11 49988 0.41046 0.34073
105378592 1 2208942 2215211 19 9 49988 0.13291 0.44713
6497 1 2228695 2310213 223 43 49988 -1.0052 0.84259
105378594 1 2280383 2284676 14 5 49988 -0.33196 0.63004
79906 1 2321253 2391751 289 35 49988 -2.518 0.9941
11079 1 2391314 2405444 29 9 49988 -1.6881 0.9543
5192 1 2404802 2413780 20 7 49988 -0.5796 0.71891
9651 1 2415782 2505530 306 44 49988 -1.439 0.92493
55229 1 2508531 2526628 34 4 49988 -0.7407 0.77056
8764 1 2556365 2565622 17 4 49988 -0.35178 0.6375
127281 1 2586460 2591469 8 3 49988 -0.70325 0.75905
79258 1 2590639 2633042 134 8 49988 -0.58706 0.72142
100287898 1 2636988 2789665 86 13 49988 -1.118 0.86822
140625 1 3021482 3022903 2 1 49988 -0.80247 0.78886
63976 1 3068227 3438621 1329 166 49988 -0.37321 0.6455
27237 1 3454583 3481115 77 13 49988 0.19013 0.4246
1953 1 3487942 3624757 515 83 49988 -0.64555 0.74071
127262 1 3624992 3630131 7 2 49988 0.50953 0.30519
49856 1 3630767 3650107 29 9 49988 0.73603 0.23086
7161 1 3652565 3736201 267 50 49988 -0.59854 0.72526
148870 1 3752398 3771645 52 10 49988 0.28429 0.38809
388588 1 3772761 3775982 11 5 49988 -0.18102 0.57183
57470 1 3780220 3796504 65 13 49988 -1.2015 0.88521
9731 1 3812081 3857387 253 15 49988 -1.0463 0.85228
1677 1 3857143 3885429 152 21 49988 -0.23036 0.5911
339448 1 3889133 3900293 35 7 49988 -0.84248 0.80024
55966 1 4655045 4792534 656 85 49988 1.0866 0.13862
261734 1 5862808 5992505 357 20 49988 -0.0024766 0.50099
8514 1 5992298 6101193 278 44 49988 0.17632 0.43002
26038 1 6101787 6180134 237 35 49988 -1.0659 0.85677
6146 1 6185020 6199619 32 7 49988 -0.66557 0.74716
388591 1 6205775 6221299 21 5 49988 1.8455 0.032483
23463 1 6221193 6235984 18 5 49988 0.40584 0.34243
390992 1 6244158 6245578 2 1 49988 -1.0996 0.86425
387509 1 6247346 6260990 27 2 49988 1.5007 0.066717
11332 1 6264272 6393766 393 26 49988 -0.58291 0.72002
54626 1 6415232 6424664 22 5 49988 -0.71109 0.76149
83715 1 6424776 6460944 96 11 49988 -0.66074 0.74561
8718 1 6461151 6466195 9 4 49988 0.14001 0.44433
57449 1 6466092 6520061 116 22 49988 -0.15549 0.56178
79707 1 6521347 6554598 93 3 49988 0.94229 0.17302
80835 1 6555278 6579757 33 7 49988 1.4159 0.078398
3104 1 6579991 6589280 4 2 49988 0.44896 0.32673
9903 1 6590724 6602898 20 5 49988 1.6928 0.04525
148479 1 6613696 6624033 17 4 49988 1.33 0.091761
90326 1 6624865 6635586 29 6 49988 0.39384 0.34685
55735 1 6634168 6701906 136 16 49988 0.67245 0.25065
23261 1 6785324 7769706 2676 223 49988 1.2373 0.10798
9341 1 7771269 7781432 28 8 49988 -0.33521 0.63127
8863 1 7784380 7845181 192 25 49988 -0.38138 0.64854
10911 1 7847612 7913610 288 26 49988 -0.69825 0.75749
3604 1 7915871 7943165 49 7 49988 0.22706 0.41019
11315 1 7961654 7985283 40 8 49988 -0.26247 0.60352
54206 1 8011719 8026333 19 3 49988 -0.6299 0.73562
50651 1 8318085 8344167 77 13 49988 0.37402 0.35419
473 1 8352404 8817691 670 31 49988 1.5433 0.061382
2023 1 8861000 8879092 20 6 49988 -1.7545 0.96033
765 1 8945785 8975092 109 24 49988 1.3713 0.085141
155184 1 8960853 9026384 203 52 49988 -0.73668 0.76934
6518 1 9036943 9071704 89 14 49988 0.070153 0.47204
80045 1 9103391 9129170 57 9 49988 -1.2057 0.88603
9563 1 9234776 9271337 81 14 49988 -1.6639 0.95193
80176 1 9292882 9369532 323 50 49988 1.0739 0.14144
84275 1 9539469 9582773 56 8 49988 -0.33869 0.63258
199953 1 9588853 9614877 33 7 49988 -0.2998 0.61783
5293 1 9629889 9729114 184 32 49988 0.24643 0.40267
22883 1 9729021 9824526 108 17 49988 0.9329 0.17543
56998 1 9848276 9910258 72 13 49988 0.39863 0.34508
84328 1 9922110 9943402 40 11 49988 -0.46622 0.67947
64802 1 9942923 9985501 81 12 49988 0.31236 0.37738
105376719 1 9996423 9998089 10 3 49988 1.0595 0.14469
116362 1 9997197 10016020 33 4 49988 0.41596 0.33872
10277 1 10032983 10181239 277 20 49988 -0.50275 0.69243
23095 1 10210706 10381603 473 18 49988 -1.0944 0.86312
5226 1 10398992 10420511 40 6 49988 -0.49753 0.69059
378708 1 10430102 10442815 35 5 49988 0.71596 0.23701
100526739 1 10430102 10452003 54 8 49988 0.40295 0.34349
1325 1 10449719 10452003 5 2 49988 -0.13653 0.5543
1676 1 10460531 10472556 17 4 49988 0.35976 0.35951
5195 1 10474946 10630758 356 27 49988 -0.36075 0.64086
54897 1 10636604 10796676 405 83 49988 -0.61118 0.72946
148345 1 10946473 10982037 110 16 49988 1.6564 0.048824
23435 1 11012622 11025492 22 4 49988 -0.73967 0.77025
