GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 173480 0.35342 0.36189
105378580 1 803398 805130 4 2 173480 -0.4767 0.68321
148398 1 925741 944581 55 18 173480 -0.19303 0.57653
26155 1 944203 959299 45 9 173480 -0.75339 0.77439
339451 1 959952 965720 16 4 173480 -0.82193 0.79444
84069 1 966497 975108 26 11 173480 0.14335 0.44301
84808 1 975199 982117 21 6 173480 -0.12238 0.5487
57801 1 998962 1001285 12 4 173480 1.277 0.10081
9636 1 1013467 1014540 3 1 173480 0.057113 0.47723
375790 1 1020101 1056119 107 15 173480 -0.06039 0.52408
105369174 1 1061207 1066390 10 5 173480 -1.4114 0.92094
105378948 1 1065635 1069326 10 3 173480 -1.0283 0.84811
401934 1 1071746 1074307 5 2 173480 -0.33584 0.6315
54991 1 1081818 1116356 114 14 173480 -0.3142 0.62332
254173 1 1173898 1197935 139 20 173480 -1.0533 0.8539
8784 1 1203508 1206709 10 2 173480 -0.29623 0.61647
7293 1 1211326 1214638 9 4 173480 0.52858 0.29855
51150 1 1216908 1232067 89 6 173480 0.63891 0.26144
126792 1 1232249 1235041 7 2 173480 -0.23915 0.5945
388581 1 1242446 1247218 13 3 173480 0.53427 0.29658
118424 1 1253912 1273854 41 7 173480 -1.0506 0.85329
6339 1 1280415 1292029 42 15 173480 -1.9728 0.97574
116983 1 1292384 1307925 43 10 173480 -0.52005 0.69848
126789 1 1308571 1311677 3 2 173480 0.19817 0.42146
54973 1 1311585 1324687 18 6 173480 -0.84942 0.80218
80772 1 1324756 1328896 10 2 173480 -0.93532 0.82519
83756 1 1328999 1335320 22 7 173480 -1.2777 0.89932
1855 1 1335278 1349158 30 8 173480 -0.94897 0.82868
54587 1 1352689 1363541 35 6 173480 -0.73173 0.76783
54998 1 1373730 1375438 8 4 173480 -0.37974 0.64793
81669 1 1385711 1399338 21 7 173480 -0.6957 0.75669
55052 1 1401896 1407834 15 6 173480 -0.55267 0.70975
441869 1 1418420 1421820 10 4 173480 -0.59055 0.72259
643965 1 1426128 1427787 8 3 173480 0.089024 0.46453
64856 1 1435523 1442882 14 4 173480 -1.8867 0.9704
219293 1 1441301 1470158 87 14 173480 -1.2292 0.8905
83858 1 1471732 1509479 92 21 173480 0.051741 0.47937
55210 1 1512143 1534687 82 13 173480 -0.70252 0.75882
339453 1 1534778 1540360 12 7 173480 -0.3246 0.62726
29101 1 1541673 1574882 94 11 173480 0.41395 0.33946
643988 1 1598008 1600096 2 1 173480 0.12087 0.4519
142678 1 1614975 1630610 37 8 173480 -0.96684 0.83319
984 1 1635226 1659839 33 6 173480 1.018 0.15435
728661 1 1660025 1692804 76 17 173480 0.054096 0.47843
728642 1 1702730 1724352 68 5 173480 1.6837 0.046124
9906 1 1724838 1745999 64 11 173480 0.65466 0.25634
65220 1 1751232 1780514 67 10 173480 -0.98362 0.83735
2782 1 1785285 1891117 157 23 173480 -0.56825 0.71507
105378949 1 1885960 1893010 13 7 173480 -0.46207 0.67799
163688 1 1913752 1917294 13 3 173480 -0.55118 0.70924
339456 1 1917589 1919301 5 2 173480 -1.738 0.9589
85452 1 1921951 2003837 326 28 173480 -0.24857 0.59815
2563 1 2019329 2030753 29 7 173480 -0.65439 0.74357
5590 1 2050470 2185395 397 31 173480 -0.82739 0.79599
100506504 1 2181811 2184360 4 2 173480 -0.20207 0.58007
199990 1 2184460 2212720 51 12 173480 -0.13997 0.55566
105378592 1 2208942 2215211 19 9 173480 0.0051941 0.49793
6497 1 2228695 2310213 237 46 173480 -0.50818 0.69434
105378594 1 2280383 2284676 14 5 173480 0.9409 0.17338
79906 1 2321253 2391751 294 36 173480 4.2421 1.107e-05
11079 1 2391314 2405444 36 11 173480 2.7406 0.0030661
5192 1 2404802 2413780 22 8 173480 3.7142 0.00010191
9651 1 2415782 2505530 316 45 173480 1.0106 0.1561
55229 1 2508531 2526628 38 6 173480 0.77534 0.21907
388585 1 2528745 2530245 3 2 173480 -0.21145 0.58373
8764 1 2556365 2565622 19 6 173480 -0.14856 0.55905
127281 1 2586460 2591469 10 3 173480 -1.0633 0.85618
79258 1 2590639 2633042 148 10 173480 -0.3721 0.64509
100287898 1 2636988 2789665 90 13 173480 -0.61553 0.7309
140625 1 3021482 3022903 4 2 173480 0.61137 0.27048
63976 1 3068227 3438621 1366 170 173480 -0.23338 0.59227
27237 1 3454583 3481115 91 13 173480 0.3864 0.3496
1953 1 3487942 3624757 563 84 173480 0.42882 0.33403
127262 1 3624992 3630131 12 4 173480 0.24323 0.40391
49856 1 3630767 3650107 32 10 173480 -0.64976 0.74207
7161 1 3652565 3736201 291 54 173480 1.1521 0.12465
148870 1 3752398 3771645 63 15 173480 0.42693 0.33472
388588 1 3772761 3775982 12 5 173480 3.2596 0.00055784
57470 1 3780220 3796504 80 16 173480 1.1427 0.12658
9731 1 3812081 3857387 279 18 173480 2.5678 0.005118
1677 1 3857143 3885429 160 23 173480 3.1888 0.00071432
339448 1 3889133 3900293 41 8 173480 1.9727 0.024262
55966 1 4655045 4792534 666 87 173480 -1.8445 0.96744
261734 1 5862808 5992505 382 20 173480 0.31687 0.37567
8514 1 5992298 6101193 300 48 173480 2.0045 0.022509
26038 1 6101787 6180134 268 31 173480 -0.46963 0.68069
6146 1 6185020 6199619 35 7 173480 -1.59 0.94408
388591 1 6205775 6221299 32 5 173480 -1.4508 0.92658
23463 1 6221193 6235984 27 6 173480 -0.4 0.65542
390992 1 6244158 6245578 2 1 173480 -1.0993 0.86418
387509 1 6247346 6260990 35 3 173480 -1.0448 0.85194
11332 1 6264272 6393766 410 25 173480 2.3728 0.0088277
54626 1 6415232 6424664 29 6 173480 2.6406 0.0041385
83715 1 6424776 6460944 103 12 173480 2.9138 0.001785
8718 1 6461151 6466195 13 5 173480 2.4354 0.0074374
