GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 0.30726 0.37932
105378580 1 803398 805130 4 2 337119 1.1482 0.12544
148398 1 925741 944581 54 17 337119 -0.53213 0.70268
26155 1 944203 959299 49 8 337119 -0.83698 0.7987
339451 1 959952 965720 17 4 337119 -0.4598 0.67717
84069 1 966497 975108 29 13 337119 0.22405 0.41136
84808 1 975199 982117 22 6 337119 1.8606 0.0314
57801 1 998962 1001285 12 4 337119 0.90367 0.18308
9636 1 1013467 1014540 5 2 337119 2.6359 0.0041962
375790 1 1020101 1056119 115 16 337119 0.49538 0.31017
105369174 1 1061207 1066390 10 5 337119 -0.19548 0.57749
105378948 1 1065635 1069326 10 3 337119 -0.55977 0.71218
401934 1 1071746 1074307 6 2 337119 -0.80234 0.78882
54991 1 1081818 1116356 114 14 337119 -1.8622 0.96872
254173 1 1173898 1197935 143 20 337119 1.2421 0.10711
8784 1 1203508 1206709 10 2 337119 1.8155 0.034721
7293 1 1211326 1214638 8 3 337119 -0.24221 0.59569
51150 1 1216908 1232067 93 6 337119 0.42636 0.33492
126792 1 1232249 1235041 7 2 337119 1.0146 0.15514
388581 1 1242446 1247218 13 3 337119 0.87184 0.19165
118424 1 1253912 1273854 42 7 337119 0.46307 0.32166
6339 1 1280415 1292029 43 15 337119 -0.999 0.8411
116983 1 1292384 1307925 43 10 337119 0.35882 0.35986
126789 1 1308571 1311677 5 3 337119 0.14718 0.44149
54973 1 1311585 1324687 19 6 337119 1.3201 0.093398
80772 1 1324756 1328896 10 2 337119 0.17987 0.42863
83756 1 1328999 1335320 26 8 337119 1.9017 0.028604
1855 1 1335278 1349158 34 9 337119 2.8143 0.0024439
54587 1 1352689 1363541 36 6 337119 0.82294 0.20527
54998 1 1373730 1375438 8 4 337119 2.4534 0.0070766
81669 1 1385711 1399338 21 7 337119 1.3426 0.089698
55052 1 1401896 1407834 15 6 337119 1.6107 0.053627
441869 1 1418420 1421820 10 4 337119 1.1439 0.12632
643965 1 1426128 1427787 8 3 337119 -0.99608 0.84039
64856 1 1435523 1442882 15 4 337119 0.10791 0.45703
219293 1 1441301 1470158 88 15 337119 -0.35098 0.6372
83858 1 1471732 1509479 90 21 337119 1.8211 0.034295
55210 1 1512143 1534687 80 13 337119 1.7364 0.041249
339453 1 1534778 1540360 12 7 337119 0.70654 0.23993
29101 1 1541673 1574882 93 11 337119 1.0026 0.15803
643988 1 1598008 1600096 2 1 337119 1.2115 0.11284
142678 1 1614975 1630610 39 9 337119 -0.53399 0.70333
984 1 1635226 1659839 33 6 337119 -0.50739 0.69406
728661 1 1660025 1692804 75 16 337119 -1.383 0.91666
728642 1 1702730 1724352 68 5 337119 -0.99541 0.84023
9906 1 1724838 1745999 64 11 337119 -0.89999 0.81594
65220 1 1751232 1780514 68 10 337119 -0.21873 0.58657
2782 1 1785285 1891117 160 23 337119 -0.39068 0.65198
105378949 1 1885960 1893010 14 7 337119 -0.055202 0.52201
163688 1 1913752 1917294 13 3 337119 0.13443 0.44653
339456 1 1917589 1919301 6 3 337119 -0.034743 0.51386
85452 1 1921951 2003837 329 27 337119 -0.66647 0.74745
2563 1 2019329 2030753 29 7 337119 -0.76253 0.77713
5590 1 2050470 2185395 400 32 337119 -1.2869 0.90093
100506504 1 2181811 2184360 4 2 337119 -0.742 0.77096
199990 1 2184460 2212720 52 12 337119 -1.1145 0.86747
105378592 1 2208942 2215211 19 9 337119 0.36451 0.35774
6497 1 2228695 2310213 240 46 337119 0.48278 0.31463
105378594 1 2280383 2284676 14 5 337119 1.5048 0.066184
