GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 23210 -0.59848 0.72524
105378580 1 803398 805130 4 2 23210 -1.4654 0.92859
148398 1 925741 944581 54 17 23210 1.3552 0.087684
26155 1 944203 959299 50 8 23210 0.33736 0.36792
339451 1 959952 965720 17 4 23210 0.44504 0.32814
84069 1 966497 975108 27 12 23210 2.4428 0.0072867
84808 1 975199 982117 22 6 23210 3.2514 0.00057414
57801 1 998962 1001285 12 4 23210 2.9551 0.0015629
9636 1 1013467 1014540 5 2 23210 2.0674 0.019348
375790 1 1020101 1056119 110 15 23210 2.7405 0.0030677
105369174 1 1061207 1066390 10 5 23210 2.9521 0.0015781
105378948 1 1065635 1069326 10 3 23210 2.2302 0.012866
401934 1 1071746 1074307 6 2 23210 2.5954 0.0047236
54991 1 1081818 1116356 113 14 23210 4.6332 1.8005e-06
254173 1 1173898 1197935 143 20 23210 0.55286 0.29018
8784 1 1203508 1206709 10 2 23210 1.8715 0.030636
7293 1 1211326 1214638 8 3 23210 -0.1205 0.54796
51150 1 1216908 1232067 93 6 23210 0.43842 0.33054
126792 1 1232249 1235041 7 2 23210 1.1196 0.13144
388581 1 1242446 1247218 13 3 23210 3.1091 0.00093827
118424 1 1253912 1273854 42 7 23210 1.0349 0.15036
6339 1 1280415 1292029 43 15 23210 1.3699 0.08536
116983 1 1292384 1307925 43 10 23210 0.42428 0.33568
126789 1 1308571 1311677 5 3 23210 0.77223 0.21999
54973 1 1311585 1324687 19 6 23210 -0.23547 0.59308
80772 1 1324756 1328896 10 2 23210 -0.068287 0.52722
83756 1 1328999 1335320 25 7 23210 -0.21656 0.58572
1855 1 1335278 1349158 34 9 23210 0.11357 0.45479
54587 1 1352689 1363541 34 5 23210 -0.23154 0.59155
54998 1 1373730 1375438 8 4 23210 -0.0046628 0.50186
81669 1 1385711 1399338 21 7 23210 0.53933 0.29483
55052 1 1401896 1407834 15 6 23210 0.69913 0.24223
441869 1 1418420 1421820 10 4 23210 -1.019 0.84589
643965 1 1426128 1427787 8 3 23210 0.89422 0.1856
64856 1 1435523 1442882 15 4 23210 2.3586 0.0091717
219293 1 1441301 1470158 87 14 23210 0.60847 0.27144
83858 1 1471732 1509479 93 20 23210 -0.57674 0.71794
55210 1 1512143 1534687 81 13 23210 -0.81056 0.79119
339453 1 1534778 1540360 12 7 23210 3.15 0.00081626
29101 1 1541673 1574882 93 11 23210 3.1002 0.00096687
643988 1 1598008 1600096 2 1 23210 0.30864 0.3788
142678 1 1614975 1630610 37 8 23210 0.58417 0.27955
984 1 1635226 1659839 33 6 23210 -0.7218 0.76479
728661 1 1660025 1692804 73 17 23210 1.1898 0.11707
728642 1 1702730 1724352 67 5 23210 1.0928 0.13725
9906 1 1724838 1745999 65 10 23210 0.72919 0.23294
65220 1 1751232 1780514 67 9 23210 1.0957 0.13661
2782 1 1785285 1891117 158 23 23210 2.0211 0.021634
105378949 1 1885960 1893010 14 7 23210 2.0874 0.018424
163688 1 1913752 1917294 13 3 23210 0.84791 0.19824
339456 1 1917589 1919301 6 3 23210 1.2294 0.10946
85452 1 1921951 2003837 321 27 23210 0.23779 0.40602
2563 1 2019329 2030753 29 7 23210 -0.70826 0.76061
5590 1 2050470 2185395 398 32 23210 0.58927 0.27784
100506504 1 2181811 2184360 4 2 23210 -0.36863 0.6438
199990 1 2184460 2212720 50 11 23210 1.0147 0.15513
105378592 1 2208942 2215211 18 8 23210 1.1103 0.13343
6497 1 2228695 2310213 239 46 23210 1.7076 0.043851
105378594 1 2280383 2284676 14 5 23210 0.12849 0.44888
79906 1 2321253 2391751 299 36 23210 -0.64738 0.74131
11079 1 2391314 2405444 37 11 23210 -0.28701 0.61295
5192 1 2404802 2413780 26 9 23210 -0.23536 0.59303
9651 1 2415782 2505530 318 43 23210 0.34697 0.36431
55229 1 2508531 2526628 40 6 23210 -0.68852 0.75444
388585 1 2528745 2530245 3 2 23210 1.4568 0.072584
8764 1 2556365 2565622 22 5 23210 0.75683 0.22458
127281 1 2586460 2591469 11 4 23210 1.4208 0.077682
79258 1 2590639 2633042 152 10 23210 1.8107 0.035096
100287898 1 2636988 2789665 90 13 23210 0.58445 0.27946
140625 1 3021482 3022903 4 2 23210 1.2032 0.11446
63976 1 3068227 3438621 1369 166 23210 0.76327 0.22265
27237 1 3454583 3481115 91 12 23210 1.4297 0.076409
1953 1 3487942 3624757 570 88 23210 0.32253 0.37353
127262 1 3624992 3630131 13 5 23210 -1.26 0.89616
49856 1 3630767 3650107 33 10 23210 -1.058 0.85498
7161 1 3652565 3736201 292 53 23210 0.23671 0.40644
148870 1 3752398 3771645 66 15 23210 -0.51127 0.69542
388588 1 3772761 3775982 12 5 23210 0.066887 0.47334
57470 1 3780220 3796504 80 16 23210 -0.65581 0.74403
9731 1 3812081 3857387 284 18 23210 1.2354 0.10833
1677 1 3857143 3885429 163 23 23210 -0.36695 0.64317
339448 1 3889133 3900293 41 8 23210 -0.36995 0.64429
55966 1 4655045 4792534 669 87 23210 0.043231 0.48276
261734 1 5862808 5992505 390 24 23210 -2.0696 0.98075
8514 1 5992298 6101193 302 48 23210 -0.35438 0.63847
26038 1 6101787 6180134 272 32 23210 0.039067 0.48442
6146 1 6185020 6199619 35 7 23210 0.22924 0.40934
388591 1 6205775 6221299 34 5 23210 -0.80953 0.79089
23463 1 6221193 6235984 28 6 23210 -0.90727 0.81787
390992 1 6244158 6245578 2 1 23210 0.18137 0.42804
387509 1 6247346 6260990 36 3 23210 0.068998 0.4725
11332 1 6264272 6393766 407 26 23210 2.9662 0.0015073
54626 1 6415232 6424664 31 7 23210 2.1389 0.016221
83715 1 6424776 6460944 104 12 23210 1.2609 0.10368
8718 1 6461151 6466195 13 5 23210 2.4585 0.0069759
57449 1 6466092 6520061 138 25 23210 3.7075 0.00010467
79707 1 6521347 6554598 101 3 23210 1.415 0.078532
80835 1 6555278 6579757 42 8 23210 1.384 0.083173
3104 1 6579991 6589280 9 4 23210 0.57343 0.28318
9903 1 6590724 6602898 30 9 23210 -0.37689 0.64687
148479 1 6613696 6624033 18 4 23210 -0.54076 0.70566
90326 1 6624865 6635586 32 7 23210 0.61956 0.26777
55735 1 6634168 6701906 144 17 23210 1.7398 0.040951
23261 1 6785324 7769706 2723 222 23210 -0.97078 0.83417
9341 1 7771269 7781432 33 9 23210 -0.37808 0.64731
8863 1 7784380 7845181 214 27 23210 -0.9435 0.82729
10911 1 7847612 7913610 302 30 23210 -1.7502 0.95996
3604 1 7915871 7943165 54 8 23210 -1.0379 0.85033
11315 1 7961654 7985283 49 10 23210 -0.52799 0.70125
54206 1 8011719 8026333 23 5 23210 0.35739 0.3604
50651 1 8318085 8344167 82 14 23210 1.052 0.1464
473 1 8352404 8817691 682 29 23210 2.8624 0.0021022
2023 1 8861000 8879092 25 5 23210 -0.48739 0.68701
765 1 8945785 8975092 117 26 23210 -0.033979 0.51355
155184 1 8960853 9026384 217 54 23210 -0.24206 0.59563
6518 1 9036943 9071704 96 14 23210 1.3463 0.089099
80045 1 9103391 9129170 61 10 23210 -0.58749 0.72156
9563 1 9234776 9271337 98 19 23210 0.71874 0.23615
80176 1 9292882 9369532 330 51 23210 0.066378 0.47354
84275 1 9539469 9582773 60 9 23210 -0.84687 0.80147
199953 1 9588853 9614877 37 8 23210 -0.023801 0.50949
5293 1 9629889 9729114 200 36 23210 -0.43329 0.6676
22883 1 9729021 9824526 129 16 23210 0.27091 0.39323
56998 1 9848276 9910258 72 13 23210 -0.64949 0.74199
84328 1 9922110 9943402 44 10 23210 -0.58149 0.71955
64802 1 9942923 9985501 85 13 23210 -1.1453 0.87396
105376719 1 9996423 9998089 10 3 23210 0.33145 0.37015
116362 1 9997197 10016020 36 5 23210 -0.56787 0.71494
10277 1 10032983 10181239 304 18 23210 -0.64751 0.74135
23095 1 10210706 10381603 519 16 23210 -0.071642 0.52856
5226 1 10398992 10420511 50 8 23210 1.0381 0.14961
378708 1 10430102 10442815 37 5 23210 -0.40455 0.65709
100526739 1 10430102 10452003 56 8 23210 -0.2315 0.59154
1325 1 10449719 10452003 5 2 23210 0.67644 0.24938
1676 1 10460531 10472556 18 5 23210 -0.78777 0.78459
5195 1 10474946 10630758 366 28 23210 1.4973 0.067158
54897 1 10636604 10796676 433 88 23210 1.7945 0.036364
148345 1 10946473 10982037 124 18 23210 -1.7478 0.95975
23435 1 11012622 11025492 22 4 23210 0.20971 0.41695
10747 1 11026523 11047239 56 7 23210 0.42295 0.33617
6723 1 11054592 11060034 8 3 23210 0.84325 0.19954
5394 1 11066613 11099910 96 6 23210 0.74714 0.22749
2475 1 11106531 11262557 339 11 23210 0.60963 0.27106
10218 1 11189289 11195981 15 3 23210 1.1175 0.1319
29914 1 11273198 11296595 35 6 23210 0.089662 0.46428
