GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 -0.60106 0.7261
105378580 1 803398 805130 4 2 337119 -1.8362 0.96684
148398 1 925741 944581 54 17 337119 0.0078432 0.49687
26155 1 944203 959299 49 8 337119 -0.0047604 0.5019
339451 1 959952 965720 17 4 337119 -0.068051 0.52713
84069 1 966497 975108 29 13 337119 0.041288 0.48353
84808 1 975199 982117 22 6 337119 1.0582 0.14498
57801 1 998962 1001285 12 4 337119 -0.76715 0.7785
9636 1 1013467 1014540 5 2 337119 1.5843 0.056565
375790 1 1020101 1056119 115 16 337119 -1.2861 0.90079
105369174 1 1061207 1066390 10 5 337119 -0.91788 0.82066
105378948 1 1065635 1069326 10 3 337119 -0.90325 0.8168
401934 1 1071746 1074307 6 2 337119 -0.77545 0.78096
54991 1 1081818 1116356 114 14 337119 0.52078 0.30126
254173 1 1173898 1197935 143 20 337119 -2.3922 0.99163
8784 1 1203508 1206709 10 2 337119 -0.65952 0.74522
7293 1 1211326 1214638 8 3 337119 -0.66157 0.74588
51150 1 1216908 1232067 93 6 337119 -1.1329 0.87138
126792 1 1232249 1235041 7 2 337119 -1.1773 0.88045
388581 1 1242446 1247218 13 3 337119 -1.3714 0.91488
118424 1 1253912 1273854 42 7 337119 -1.5923 0.94434
6339 1 1280415 1292029 43 15 337119 -1.624 0.94781
116983 1 1292384 1307925 43 10 337119 -1.1731 0.87962
126789 1 1308571 1311677 5 3 337119 -0.83108 0.79704
54973 1 1311585 1324687 19 6 337119 -0.53503 0.70369
80772 1 1324756 1328896 10 2 337119 -0.44181 0.67069
83756 1 1328999 1335320 26 8 337119 0.13404 0.44669
1855 1 1335278 1349158 34 9 337119 0.19336 0.42334
54587 1 1352689 1363541 36 6 337119 -0.96307 0.83224
54998 1 1373730 1375438 8 4 337119 0.68856 0.24555
81669 1 1385711 1399338 21 7 337119 -0.92422 0.82231
55052 1 1401896 1407834 15 6 337119 0.088205 0.46486
441869 1 1418420 1421820 10 4 337119 0.071739 0.4714
643965 1 1426128 1427787 8 3 337119 -1.8802 0.96996
64856 1 1435523 1442882 15 4 337119 0.088065 0.46491
219293 1 1441301 1470158 88 15 337119 -1.1071 0.86588
83858 1 1471732 1509479 90 21 337119 -0.91584 0.82013
