GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 -1.3214 0.90682
105378580 1 803398 805130 4 2 337119 -0.67207 0.74923
148398 1 925741 944581 54 17 337119 1.5494 0.060644
26155 1 944203 959299 49 8 337119 0.37547 0.35365
339451 1 959952 965720 17 4 337119 0.46903 0.31953
84069 1 966497 975108 29 13 337119 0.70846 0.23933
84808 1 975199 982117 22 6 337119 0.092003 0.46335
57801 1 998962 1001285 12 4 337119 -0.90132 0.81629
9636 1 1013467 1014540 5 2 337119 -0.52306 0.69953
375790 1 1020101 1056119 115 16 337119 2.0026 0.022609
105369174 1 1061207 1066390 10 5 337119 0.37732 0.35297
105378948 1 1065635 1069326 10 3 337119 -0.29388 0.61557
401934 1 1071746 1074307 6 2 337119 0.1818 0.42787
54991 1 1081818 1116356 114 14 337119 -1.2781 0.89939
254173 1 1173898 1197935 143 20 337119 0.87356 0.19118
8784 1 1203508 1206709 10 2 337119 -0.83571 0.79834
7293 1 1211326 1214638 8 3 337119 -1.2231 0.88936
51150 1 1216908 1232067 93 6 337119 -1.481 0.9307
126792 1 1232249 1235041 7 2 337119 -0.887 0.81246
388581 1 1242446 1247218 13 3 337119 -0.47502 0.68261
118424 1 1253912 1273854 42 7 337119 -1.2099 0.88684
6339 1 1280415 1292029 43 15 337119 -0.95875 0.83116
116983 1 1292384 1307925 43 10 337119 -1.1267 0.87006
126789 1 1308571 1311677 5 3 337119 -0.26682 0.6052
54973 1 1311585 1324687 19 6 337119 0.4171 0.3383
80772 1 1324756 1328896 10 2 337119 -0.82133 0.79427
83756 1 1328999 1335320 26 8 337119 -0.040273 0.51606
1855 1 1335278 1349158 34 9 337119 -0.7239 0.76544
54587 1 1352689 1363541 36 6 337119 -0.56854 0.71517
54998 1 1373730 1375438 8 4 337119 -1.1636 0.87771
81669 1 1385711 1399338 21 7 337119 -0.29258 0.61508
55052 1 1401896 1407834 15 6 337119 -0.29418 0.61569
441869 1 1418420 1421820 10 4 337119 -1.5219 0.93598
643965 1 1426128 1427787 8 3 337119 -0.74067 0.77055
64856 1 1435523 1442882 15 4 337119 -1.9463 0.97419
219293 1 1441301 1470158 88 15 337119 -1.1384 0.87253
83858 1 1471732 1509479 90 21 337119 0.1655 0.43428
55210 1 1512143 1534687 80 13 337119 -0.18693 0.57414
339453 1 1534778 1540360 12 7 337119 0.94154 0.17321
29101 1 1541673 1574882 93 11 337119 0.50015 0.30848
643988 1 1598008 1600096 2 1 337119 -0.75492 0.77485
142678 1 1614975 1630610 39 9 337119 -1.1995 0.88484
984 1 1635226 1659839 33 6 337119 -1.2867 0.90091
728661 1 1660025 1692804 75 16 337119 -0.0918 0.53657
728642 1 1702730 1724352 68 5 337119 0.18893 0.42508
9906 1 1724838 1745999 64 11 337119 3.3469 0.00040867
65220 1 1751232 1780514 68 10 337119 4.8873 5.1126e-07
2782 1 1785285 1891117 160 23 337119 4.2594 1.0249e-05
105378949 1 1885960 1893010 14 7 337119 3.2896 0.00050161
163688 1 1913752 1917294 13 3 337119 4.3957 5.5212e-06
339456 1 1917589 1919301 6 3 337119 4.0267 2.8283e-05
85452 1 1921951 2003837 329 27 337119 3.718 0.00010041
2563 1 2019329 2030753 29 7 337119 -0.56242 0.71309
5590 1 2050470 2185395 400 32 337119 -0.49848 0.69093
100506504 1 2181811 2184360 4 2 337119 -0.57529 0.71745
199990 1 2184460 2212720 52 12 337119 0.082283 0.46721
105378592 1 2208942 2215211 19 9 337119 0.35796 0.36019
6497 1 2228695 2310213 240 46 337119 -0.7382 0.7698
105378594 1 2280383 2284676 14 5 337119 0.38862 0.34878
79906 1 2321253 2391751 302 38 337119 0.19303 0.42347
11079 1 2391314 2405444 37 11 337119 -1.0617 0.85582
5192 1 2404802 2413780 26 9 337119 -1.5492 0.93933
9651 1 2415782 2505530 321 46 337119 3.0205 0.0012618
55229 1 2508531 2526628 40 6 337119 -0.065093 0.52595
388585 1 2528745 2530245 3 2 337119 -0.018503 0.50738
8764 1 2556365 2565622 23 5 337119 0.29048 0.38572
127281 1 2586460 2591469 11 4 337119 -0.15261 0.56065
79258 1 2590639 2633042 149 10 337119 -0.2926 0.61509
100287898 1 2636988 2789665 89 13 337119 0.75588 0.22486
140625 1 3021482 3022903 4 2 337119 2.059 0.019746
63976 1 3068227 3438621 1383 172 337119 1.5783 0.057244
27237 1 3454583 3481115 91 13 337119 0.65594 0.25593
1953 1 3487942 3624757 572 88 337119 -0.052162 0.5208
127262 1 3624992 3630131 13 5 337119 0.41118 0.34047
49856 1 3630767 3650107 32 10 337119 0.39252 0.34734
7161 1 3652565 3736201 295 54 337119 0.9548 0.16984
148870 1 3752398 3771645 67 15 337119 -1.196 0.88415
388588 1 3772761 3775982 12 5 337119 -0.66062 0.74557
57470 1 3780220 3796504 80 16 337119 0.54395 0.29324
9731 1 3812081 3857387 284 18 337119 -1.1878 0.88254
1677 1 3857143 3885429 163 23 337119 -1.5206 0.93582
339448 1 3889133 3900293 41 8 337119 0.49054 0.31188
55966 1 4655045 4792534 669 86 337119 -0.23924 0.59454
261734 1 5862808 5992505 393 22 337119 0.52891 0.29843
8514 1 5992298 6101193 304 48 337119 1.9972 0.022903
26038 1 6101787 6180134 273 33 337119 -0.51402 0.69638
6146 1 6185020 6199619 35 7 337119 -0.29183 0.61479
388591 1 6205775 6221299 34 5 337119 -1.2073 0.88634
23463 1 6221193 6235984 28 6 337119 0.4854 0.31369
390992 1 6244158 6245578 2 1 337119 -0.46204 0.67797
387509 1 6247346 6260990 36 3 337119 -0.68034 0.75186
11332 1 6264272 6393766 409 26 337119 0.57756 0.28178
54626 1 6415232 6424664 30 6 337119 0.33634 0.36831
83715 1 6424776 6460944 104 12 337119 0.17174 0.43182
8718 1 6461151 6466195 13 5 337119 1.5962 0.055225
57449 1 6466092 6520061 139 25 337119 0.52213 0.30079
79707 1 6521347 6554598 101 3 337119 -0.049626 0.51979
80835 1 6555278 6579757 42 8 337119 0.10264 0.45913
3104 1 6579991 6589280 9 4 337119 1.0196 0.15397
9903 1 6590724 6602898 30 9 337119 0.62984 0.2644
148479 1 6613696 6624033 18 4 337119 -0.31826 0.62485
90326 1 6624865 6635586 33 7 337119 -0.83178 0.79723
55735 1 6634168 6701906 144 18 337119 -0.28616 0.61262
23261 1 6785324 7769706 2727 225 337119 1.9389 0.026259
9341 1 7771269 7781432 33 9 337119 -0.16821 0.56679
8863 1 7784380 7845181 215 27 337119 0.74213 0.22901
10911 1 7847612 7913610 303 28 337119 2.4507 0.0071292
3604 1 7915871 7943165 54 8 337119 0.66026 0.25454
11315 1 7961654 7985283 50 10 337119 1.9547 0.025308
54206 1 8011719 8026333 23 5 337119 1.9075 0.028226
50651 1 8318085 8344167 82 14 337119 -0.41567 0.66117
473 1 8352404 8817691 684 29 337119 0.35503 0.36128
2023 1 8861000 8879092 25 5 337119 -0.49712 0.69045
765 1 8945785 8975092 117 26 337119 1.0706 0.14218
155184 1 8960853 9026384 218 55 337119 0.91411 0.18033
6518 1 9036943 9071704 96 14 337119 -1.4529 0.92688
80045 1 9103391 9129170 60 10 337119 -1.0877 0.86165
9563 1 9234776 9271337 98 19 337119 1.5908 0.055828
80176 1 9292882 9369532 329 48 337119 1.43 0.076356
84275 1 9539469 9582773 60 9 337119 2.8616 0.0021073
199953 1 9588853 9614877 37 8 337119 2.7445 0.0030304
5293 1 9629889 9729114 200 36 337119 2.207 0.013657
