GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 -1.3613 0.91329
105378580 1 803398 805130 4 2 337119 -1.4451 0.92578
148398 1 925741 944581 54 17 337119 1.9048 0.028404
26155 1 944203 959299 49 8 337119 0.13297 0.44711
339451 1 959952 965720 17 4 337119 -0.2923 0.61497
84069 1 966497 975108 29 13 337119 -1.4765 0.93009
84808 1 975199 982117 22 6 337119 -0.63372 0.73687
57801 1 998962 1001285 12 4 337119 1.2019 0.11469
9636 1 1013467 1014540 5 2 337119 0.17351 0.43112
375790 1 1020101 1056119 115 16 337119 0.56339 0.28659
105369174 1 1061207 1066390 10 5 337119 0.56679 0.28543
105378948 1 1065635 1069326 10 3 337119 0.58785 0.27832
401934 1 1071746 1074307 6 2 337119 0.859 0.19517
54991 1 1081818 1116356 114 14 337119 -0.70795 0.76051
254173 1 1173898 1197935 143 20 337119 -0.57592 0.71766
8784 1 1203508 1206709 10 2 337119 0.5069 0.30611
7293 1 1211326 1214638 8 3 337119 0.018914 0.49245
51150 1 1216908 1232067 93 6 337119 1.3947 0.081551
126792 1 1232249 1235041 7 2 337119 0.085853 0.46579
388581 1 1242446 1247218 13 3 337119 2.6575 0.0039359
118424 1 1253912 1273854 42 7 337119 1.6424 0.050254
6339 1 1280415 1292029 43 15 337119 2.3144 0.010323
116983 1 1292384 1307925 43 10 337119 1.0633 0.14383
126789 1 1308571 1311677 5 3 337119 1.0054 0.15735
54973 1 1311585 1324687 19 6 337119 -0.0092725 0.5037
80772 1 1324756 1328896 10 2 337119 0.45899 0.32312
83756 1 1328999 1335320 26 8 337119 -0.076938 0.53066
1855 1 1335278 1349158 34 9 337119 -0.046044 0.51836
54587 1 1352689 1363541 36 6 337119 -0.06051 0.52413
54998 1 1373730 1375438 8 4 337119 0.86409 0.19377
81669 1 1385711 1399338 21 7 337119 1.5515 0.060388
55052 1 1401896 1407834 15 6 337119 1.0466 0.14763
441869 1 1418420 1421820 10 4 337119 -0.7212 0.76461
643965 1 1426128 1427787 8 3 337119 0.3879 0.34905
64856 1 1435523 1442882 15 4 337119 0.0096619 0.49615
219293 1 1441301 1470158 88 15 337119 0.14084 0.444
83858 1 1471732 1509479 90 21 337119 0.23954 0.40534
55210 1 1512143 1534687 80 13 337119 0.843 0.19961
339453 1 1534778 1540360 12 7 337119 0.37669 0.3532
29101 1 1541673 1574882 93 11 337119 -0.1945 0.57711
643988 1 1598008 1600096 2 1 337119 -1.6285 0.94829
142678 1 1614975 1630610 39 9 337119 -0.39324 0.65293
984 1 1635226 1659839 33 6 337119 1.2563 0.1045
728661 1 1660025 1692804 75 16 337119 -0.73747 0.76958
728642 1 1702730 1724352 68 5 337119 -0.80311 0.78904
9906 1 1724838 1745999 64 11 337119 -1.3856 0.91706
65220 1 1751232 1780514 68 10 337119 -1.048 0.85268
2782 1 1785285 1891117 160 23 337119 -0.90411 0.81703
105378949 1 1885960 1893010 14 7 337119 -0.39053 0.65193
163688 1 1913752 1917294 13 3 337119 -0.94974 0.82888
339456 1 1917589 1919301 6 3 337119 -0.66551 0.74714
85452 1 1921951 2003837 329 27 337119 0.077518 0.46911
2563 1 2019329 2030753 29 7 337119 0.68911 0.24538
5590 1 2050470 2185395 400 32 337119 -1.4298 0.92361
100506504 1 2181811 2184360 4 2 337119 -0.84797 0.80177
199990 1 2184460 2212720 52 12 337119 0.31213 0.37747
105378592 1 2208942 2215211 19 9 337119 0.22221 0.41208
6497 1 2228695 2310213 240 46 337119 0.12825 0.44897
105378594 1 2280383 2284676 14 5 337119 -0.24567 0.59703
79906 1 2321253 2391751 302 38 337119 0.20299 0.41957
11079 1 2391314 2405444 37 11 337119 0.44259 0.32903
5192 1 2404802 2413780 26 9 337119 1.0491 0.14706
9651 1 2415782 2505530 321 46 337119 0.099322 0.46044
55229 1 2508531 2526628 40 6 337119 0.27952 0.38992
388585 1 2528745 2530245 3 2 337119 1.1077 0.134
8764 1 2556365 2565622 23 5 337119 4.4949 3.4797e-06
127281 1 2586460 2591469 11 4 337119 2.2845 0.011171
79258 1 2590639 2633042 149 10 337119 2.262 0.011848
100287898 1 2636988 2789665 89 13 337119 1.9442 0.025935
140625 1 3021482 3022903 4 2 337119 0.72989 0.23273
63976 1 3068227 3438621 1383 172 337119 1.5134 0.065087
27237 1 3454583 3481115 91 13 337119 1.6501 0.049465
1953 1 3487942 3624757 572 88 337119 1.7403 0.0409
127262 1 3624992 3630131 13 5 337119 2.3887 0.0084551
49856 1 3630767 3650107 32 10 337119 2.5718 0.0050593
7161 1 3652565 3736201 295 54 337119 0.83205 0.20269
148870 1 3752398 3771645 67 15 337119 -1.0015 0.8417
388588 1 3772761 3775982 12 5 337119 0.49179 0.31143
57470 1 3780220 3796504 80 16 337119 -0.26753 0.60547
9731 1 3812081 3857387 284 18 337119 1.2346 0.10849
1677 1 3857143 3885429 163 23 337119 -0.26666 0.60513
339448 1 3889133 3900293 41 8 337119 -0.92103 0.82148
55966 1 4655045 4792534 669 86 337119 1.663 0.04816
