GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 180866 -2.1387 0.98377
105378580 1 803398 805130 4 2 180866 0.6374 0.26193
148398 1 925741 944581 56 18 180866 -0.85602 0.80401
26155 1 944203 959299 49 8 180866 -1.1775 0.88051
339451 1 959952 965720 16 3 180866 -0.77194 0.77992
84069 1 966497 975108 26 11 180866 0.73636 0.23076
84808 1 975199 982117 21 5 180866 -0.27681 0.60904
57801 1 998962 1001285 12 4 180866 -2.0887 0.98163
9636 1 1013467 1014540 5 2 180866 -0.7123 0.76186
375790 1 1020101 1056119 111 15 180866 -0.40953 0.65893
105369174 1 1061207 1066390 10 5 180866 -1.6945 0.95492
105378948 1 1065635 1069326 10 3 180866 -1.6412 0.94962
401934 1 1071746 1074307 6 2 180866 -0.84264 0.80029
54991 1 1081818 1116356 113 14 180866 -1.6993 0.95537
254173 1 1173898 1197935 141 20 180866 0.067927 0.47292
8784 1 1203508 1206709 10 2 180866 -0.96708 0.83325
7293 1 1211326 1214638 8 3 180866 -0.73897 0.77004
51150 1 1216908 1232067 90 6 180866 -0.26248 0.60352
126792 1 1232249 1235041 6 2 180866 -0.6681 0.74796
388581 1 1242446 1247218 13 3 180866 0.096544 0.46154
118424 1 1253912 1273854 39 7 180866 -1.7249 0.95772
6339 1 1280415 1292029 41 15 180866 -0.91463 0.81981
116983 1 1292384 1307925 43 10 180866 0.15694 0.43764
126789 1 1308571 1311677 4 2 180866 -1.2379 0.89212
54973 1 1311585 1324687 19 6 180866 0.63747 0.26191
80772 1 1324756 1328896 10 2 180866 0.34882 0.36361
83756 1 1328999 1335320 22 7 180866 0.27312 0.39238
1855 1 1335278 1349158 30 8 180866 0.21679 0.41419
54587 1 1352689 1363541 33 5 180866 0.61698 0.26862
54998 1 1373730 1375438 8 4 180866 -0.6066 0.72794
81669 1 1385711 1399338 21 7 180866 -0.096972 0.53863
55052 1 1401896 1407834 15 6 180866 -0.05729 0.52284
441869 1 1418420 1421820 10 4 180866 -0.53837 0.70484
643965 1 1426128 1427787 8 3 180866 -1.4291 0.92351
64856 1 1435523 1442882 15 4 180866 -0.97378 0.83492
219293 1 1441301 1470158 85 14 180866 -1.3479 0.91116
83858 1 1471732 1509479 91 20 180866 0.49877 0.30897
55210 1 1512143 1534687 80 13 180866 -0.33597 0.63155
339453 1 1534778 1540360 12 7 180866 -1.0873 0.86156
29101 1 1541673 1574882 93 11 180866 -1.4633 0.9283
643988 1 1598008 1600096 2 1 180866 0.33233 0.36982
142678 1 1614975 1630610 39 9 180866 0.38798 0.34901
984 1 1635226 1659839 34 6 180866 -1.2075 0.88637
728661 1 1660025 1692804 76 17 180866 -1.2999 0.90319
728642 1 1702730 1724352 68 5 180866 0.86369 0.19388
9906 1 1724838 1745999 66 11 180866 1.0776 0.1406
65220 1 1751232 1780514 69 10 180866 -0.39104 0.65212
2782 1 1785285 1891117 160 23 180866 -1.0091 0.84354
