GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 128266 -0.49689 0.69037
105378580 1 803398 805130 4 2 128266 -0.84513 0.80098
148398 1 925741 944581 56 18 128266 -0.32989 0.62926
26155 1 944203 959299 47 8 128266 -1.5032 0.93361
339451 1 959952 965720 17 4 128266 -1.5142 0.93501
84069 1 966497 975108 29 13 128266 -0.67438 0.74996
84808 1 975199 982117 22 6 128266 -1.5888 0.94395
57801 1 998962 1001285 12 4 128266 -0.32182 0.62621
9636 1 1013467 1014540 6 2 128266 -0.58687 0.72135
375790 1 1020101 1056119 117 16 128266 -0.67234 0.74932
105369174 1 1061207 1066390 10 5 128266 -1.0687 0.8574
105378948 1 1065635 1069326 10 3 128266 -0.3622 0.6414
401934 1 1071746 1074307 6 2 128266 0.30676 0.37951
54991 1 1081818 1116356 115 15 128266 -0.65993 0.74535
254173 1 1173898 1197935 142 20 128266 -0.43991 0.67
8784 1 1203508 1206709 10 2 128266 0.069649 0.47224
7293 1 1211326 1214638 9 4 128266 0.6336 0.26317
51150 1 1216908 1232067 93 6 128266 -0.3539 0.63829
126792 1 1232249 1235041 7 2 128266 0.91309 0.1806
388581 1 1242446 1247218 13 3 128266 -0.024361 0.50972
118424 1 1253912 1273854 42 7 128266 -1.2067 0.88623
6339 1 1280415 1292029 44 16 128266 0.18917 0.42498
116983 1 1292384 1307925 44 10 128266 0.00075602 0.4997
126789 1 1308571 1311677 5 3 128266 0.2438 0.40369
54973 1 1311585 1324687 19 6 128266 0.28697 0.38707
80772 1 1324756 1328896 10 2 128266 0.58629 0.27884
83756 1 1328999 1335320 26 8 128266 0.4606 0.32254
1855 1 1335278 1349158 34 9 128266 0.27855 0.3903
54587 1 1352689 1363541 36 6 128266 0.50857 0.30553
54998 1 1373730 1375438 8 4 128266 0.74955 0.22676
81669 1 1385711 1399338 22 7 128266 1.483 0.069039
55052 1 1401896 1407834 15 6 128266 1.1926 0.11651
441869 1 1418420 1421820 10 4 128266 -0.88471 0.81184
643965 1 1426128 1427787 8 3 128266 0.23787 0.40599
64856 1 1435523 1442882 15 4 128266 2.0826 0.018644
219293 1 1441301 1470158 87 14 128266 0.062925 0.47491
83858 1 1471732 1509479 95 22 128266 -1.0769 0.85923
55210 1 1512143 1534687 84 14 128266 0.71116 0.23849
339453 1 1534778 1540360 12 7 128266 0.99026 0.16102
29101 1 1541673 1574882 95 12 128266 0.92369 0.17782
643988 1 1598008 1600096 2 1 128266 -0.19672 0.57798
142678 1 1614975 1630610 39 9 128266 -0.34017 0.63314
984 1 1635226 1659839 34 6 128266 0.59161 0.27706
728661 1 1660025 1692804 77 17 128266 -0.20229 0.58015
728642 1 1702730 1724352 69 5 128266 0.37535 0.3537
9906 1 1724838 1745999 64 11 128266 0.31205 0.3775
65220 1 1751232 1780514 70 10 128266 1.3041 0.096107
2782 1 1785285 1891117 162 24 128266 0.39588 0.3461
105378949 1 1885960 1893010 14 7 128266 -0.042839 0.51708
163688 1 1913752 1917294 13 3 128266 0.28791 0.38671
339456 1 1917589 1919301 6 3 128266 0.36264 0.35844
85452 1 1921951 2003837 336 28 128266 -0.55577 0.71082
2563 1 2019329 2030753 30 7 128266 -0.32516 0.62747
5590 1 2050470 2185395 402 30 128266 0.13493 0.44634
100506504 1 2181811 2184360 4 2 128266 0.58011 0.28092
199990 1 2184460 2212720 52 12 128266 -0.1249 0.5497
105378592 1 2208942 2215211 19 9 128266 -0.75448 0.77472
6497 1 2228695 2310213 241 46 128266 -1.6482 0.95034
105378594 1 2280383 2284676 14 5 128266 -0.361 0.64095
79906 1 2321253 2391751 302 38 128266 1.3223 0.093042
11079 1 2391314 2405444 37 11 128266 0.38975 0.34836
5192 1 2404802 2413780 26 9 128266 1.0563 0.14541
9651 1 2415782 2505530 324 46 128266 -0.088411 0.53523
55229 1 2508531 2526628 40 6 128266 -0.55616 0.71095
388585 1 2528745 2530245 3 2 128266 -1.5946 0.9446
8764 1 2556365 2565622 23 5 128266 -1.1566 0.87627
127281 1 2586460 2591469 11 4 128266 -0.5887 0.72197
79258 1 2590639 2633042 152 10 128266 -0.31818 0.62482
100287898 1 2636988 2789665 91 13 128266 -0.86249 0.80579
140625 1 3021482 3022903 4 2 128266 0.06999 0.4721
63976 1 3068227 3438621 1387 172 128266 1.2757 0.10103
27237 1 3454583 3481115 92 13 128266 2.253 0.012129
1953 1 3487942 3624757 577 86 128266 -0.50229 0.69227
127262 1 3624992 3630131 13 5 128266 0.61227 0.27018
