GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 0.42815 0.33427
105378580 1 803398 805130 4 2 337119 1.2259 0.11011
148398 1 925741 944581 54 17 337119 1.9729 0.024254
26155 1 944203 959299 49 8 337119 1.689 0.045609
339451 1 959952 965720 17 4 337119 1.6659 0.047865
84069 1 966497 975108 29 13 337119 1.0282 0.15193
84808 1 975199 982117 22 6 337119 2.1492 0.015809
57801 1 998962 1001285 12 4 337119 2.3759 0.0087524
9636 1 1013467 1014540 5 2 337119 1.5181 0.064489
375790 1 1020101 1056119 115 16 337119 0.79899 0.21215
105369174 1 1061207 1066390 10 5 337119 1.4407 0.074835
105378948 1 1065635 1069326 10 3 337119 1.507 0.065908
401934 1 1071746 1074307 6 2 337119 1.2269 0.10994
54991 1 1081818 1116356 114 14 337119 -0.58817 0.72179
254173 1 1173898 1197935 143 20 337119 1.3163 0.094036
8784 1 1203508 1206709 10 2 337119 -0.84636 0.80132
7293 1 1211326 1214638 8 3 337119 -0.6297 0.73556
51150 1 1216908 1232067 93 6 337119 -0.49494 0.68968
126792 1 1232249 1235041 7 2 337119 -0.88337 0.81148
388581 1 1242446 1247218 13 3 337119 -0.92704 0.82305
118424 1 1253912 1273854 42 7 337119 -0.47963 0.68425
6339 1 1280415 1292029 43 15 337119 1.0664 0.14313
116983 1 1292384 1307925 43 10 337119 1.0196 0.15396
126789 1 1308571 1311677 5 3 337119 -0.41268 0.66008
54973 1 1311585 1324687 19 6 337119 1.0063 0.15714
80772 1 1324756 1328896 10 2 337119 1.1192 0.13153
83756 1 1328999 1335320 26 8 337119 1.3579 0.087249
1855 1 1335278 1349158 34 9 337119 1.426 0.076936
54587 1 1352689 1363541 36 6 337119 1.3939 0.081676
54998 1 1373730 1375438 8 4 337119 0.2285 0.40963
81669 1 1385711 1399338 21 7 337119 0.41666 0.33846
55052 1 1401896 1407834 15 6 337119 0.51082 0.30474
441869 1 1418420 1421820 10 4 337119 -0.023126 0.50922
643965 1 1426128 1427787 8 3 337119 0.9972 0.15933
64856 1 1435523 1442882 15 4 337119 0.67652 0.24935
219293 1 1441301 1470158 88 15 337119 0.99439 0.16002
83858 1 1471732 1509479 90 21 337119 1.4401 0.074918
55210 1 1512143 1534687 80 13 337119 0.73362 0.23159
339453 1 1534778 1540360 12 7 337119 0.22717 0.41014
29101 1 1541673 1574882 93 11 337119 0.25379 0.39983
643988 1 1598008 1600096 2 1 337119 -0.9199 0.82119
142678 1 1614975 1630610 39 9 337119 2.5821 0.0049101
984 1 1635226 1659839 33 6 337119 4.6575 1.6006e-06
728661 1 1660025 1692804 75 16 337119 3.6686 0.00012196
728642 1 1702730 1724352 68 5 337119 -1.2741 0.89869
9906 1 1724838 1745999 64 11 337119 -0.6412 0.7393
65220 1 1751232 1780514 68 10 337119 -0.58152 0.71955
2782 1 1785285 1891117 160 23 337119 -0.19666 0.57795
105378949 1 1885960 1893010 14 7 337119 0.6893 0.24532
163688 1 1913752 1917294 13 3 337119 0.024717 0.49014
339456 1 1917589 1919301 6 3 337119 -0.74888 0.77303
85452 1 1921951 2003837 329 27 337119 0.13358 0.44687
2563 1 2019329 2030753 29 7 337119 1.0267 0.15229
5590 1 2050470 2185395 400 32 337119 -0.85594 0.80399
100506504 1 2181811 2184360 4 2 337119 -1.1307 0.87091
199990 1 2184460 2212720 52 12 337119 -1.3761 0.9156
105378592 1 2208942 2215211 19 9 337119 -1.6263 0.94806
6497 1 2228695 2310213 240 46 337119 -0.84557 0.8011
105378594 1 2280383 2284676 14 5 337119 -0.21836 0.58643
79906 1 2321253 2391751 302 38 337119 1.7993 0.035987
11079 1 2391314 2405444 37 11 337119 -1.0773 0.85933
5192 1 2404802 2413780 26 9 337119 -0.51275 0.69594
9651 1 2415782 2505530 321 46 337119 1.55 0.060571
55229 1 2508531 2526628 40 6 337119 0.85266 0.19693
388585 1 2528745 2530245 3 2 337119 0.6222 0.2669
8764 1 2556365 2565622 23 5 337119 0.58503 0.27926
127281 1 2586460 2591469 11 4 337119 1.02 0.15387
79258 1 2590639 2633042 149 10 337119 1.5515 0.060385
100287898 1 2636988 2789665 89 13 337119 0.2158 0.41457
140625 1 3021482 3022903 4 2 337119 0.66165 0.2541
63976 1 3068227 3438621 1383 172 337119 0.69314 0.24411
27237 1 3454583 3481115 91 13 337119 -0.3239 0.62699
1953 1 3487942 3624757 572 88 337119 -0.86191 0.80563
127262 1 3624992 3630131 13 5 337119 -0.98211 0.83698
49856 1 3630767 3650107 32 10 337119 -1.445 0.92577
7161 1 3652565 3736201 295 54 337119 0.7259 0.23395
148870 1 3752398 3771645 67 15 337119 -0.16628 0.56603
388588 1 3772761 3775982 12 5 337119 0.66882 0.25181
57470 1 3780220 3796504 80 16 337119 1.6293 0.051626
9731 1 3812081 3857387 284 18 337119 1.5487 0.060728
1677 1 3857143 3885429 163 23 337119 -0.0077857 0.50311
339448 1 3889133 3900293 41 8 337119 -1.9237 0.97281
55966 1 4655045 4792534 669 86 337119 1.8712 0.030662
261734 1 5862808 5992505 393 22 337119 -0.40007 0.65545
8514 1 5992298 6101193 304 48 337119 0.77533 0.21907
26038 1 6101787 6180134 273 33 337119 1.031 0.15128
6146 1 6185020 6199619 35 7 337119 2.3215 0.01013
388591 1 6205775 6221299 34 5 337119 -1.6355 0.94903
23463 1 6221193 6235984 28 6 337119 -0.77245 0.78007
390992 1 6244158 6245578 2 1 337119 -2.1439 0.98398
387509 1 6247346 6260990 36 3 337119 -0.53884 0.705
11332 1 6264272 6393766 409 26 337119 0.34775 0.36401
54626 1 6415232 6424664 30 6 337119 1.4628 0.071765
83715 1 6424776 6460944 104 12 337119 1.2672 0.10254
8718 1 6461151 6466195 13 5 337119 1.4427 0.074551
57449 1 6466092 6520061 139 25 337119 -0.45185 0.67431
79707 1 6521347 6554598 101 3 337119 0.61923 0.26788
80835 1 6555278 6579757 42 8 337119 0.57774 0.28172
3104 1 6579991 6589280 9 4 337119 1.0764 0.14087
9903 1 6590724 6602898 30 9 337119 1.9876 0.023428
148479 1 6613696 6624033 18 4 337119 1.3454 0.089241
90326 1 6624865 6635586 33 7 337119 1.0831 0.13939
55735 1 6634168 6701906 144 18 337119 1.0474 0.14745
23261 1 6785324 7769706 2727 225 337119 3.8873 5.0688e-05
9341 1 7771269 7781432 33 9 337119 0.42506 0.3354
8863 1 7784380 7845181 215 27 337119 1.4837 0.068938
10911 1 7847612 7913610 303 28 337119 0.088972 0.46455
3604 1 7915871 7943165 54 8 337119 2.0958 0.018052
11315 1 7961654 7985283 50 10 337119 0.31904 0.37485
54206 1 8011719 8026333 23 5 337119 0.31768 0.37536
50651 1 8318085 8344167 82 14 337119 1.1246 0.13038
473 1 8352404 8817691 684 29 337119 0.31774 0.37534
2023 1 8861000 8879092 25 5 337119 -1.126 0.86991
765 1 8945785 8975092 117 26 337119 0.16783 0.43336
155184 1 8960853 9026384 218 55 337119 0.8975 0.18473
6518 1 9036943 9071704 96 14 337119 0.67445 0.25001
80045 1 9103391 9129170 60 10 337119 0.40226 0.34375
9563 1 9234776 9271337 98 19 337119 1.1173 0.13193
80176 1 9292882 9369532 329 48 337119 -0.22897 0.59055
84275 1 9539469 9582773 60 9 337119 1.52 0.064252
199953 1 9588853 9614877 37 8 337119 1.1032 0.13497
5293 1 9629889 9729114 200 36 337119 2.396 0.0082883
22883 1 9729021 9824526 130 17 337119 0.74416 0.22839
56998 1 9848276 9910258 74 13 337119 -0.18271 0.57249
84328 1 9922110 9943402 44 10 337119 -0.90432 0.81709
64802 1 9942923 9985501 88 14 337119 -0.19501 0.57731
105376719 1 9996423 9998089 10 3 337119 0.30459 0.38034
116362 1 9997197 10016020 36 5 337119 0.33229 0.36983
10277 1 10032983 10181239 307 18 337119 0.45476 0.32464
23095 1 10210706 10381603 522 17 337119 0.36922 0.35598
5226 1 10398992 10420511 50 8 337119 1.0786 0.14037
378708 1 10430102 10442815 37 5 337119 1.4936 0.06764
100526739 1 10430102 10452003 56 8 337119 1.2578 0.10423
1325 1 10449719 10452003 5 2 337119 -0.10927 0.54351
1676 1 10460531 10472556 18 5 337119 1.945 0.025885
5195 1 10474946 10630758 368 29 337119 0.64712 0.25878
54897 1 10636604 10796676 432 89 337119 -0.047856 0.51908
148345 1 10946473 10982037 125 18 337119 -0.46933 0.68058
23435 1 11012622 11025492 22 4 337119 -0.32584 0.62773
10747 1 11026523 11047239 56 7 337119 -1.1317 0.87112
6723 1 11054592 11060034 7 2 337119 -1.1782 0.88063
5394 1 11066613 11099910 95 6 337119 -0.92961 0.82371
2475 1 11106531 11262557 339 11 337119 -0.56348 0.71345
10218 1 11189289 11195981 15 3 337119 -1.1177 0.86814
29914 1 11273198 11296595 35 6 337119 1.2381 0.10783
57540 1 11479238 11537583 150 16 337119 0.4914 0.31157
26232 1 11648361 11654831 22 12 337119 -0.095702 0.53812
93611 1 11654375 11663327 24 8 337119 -2.1892 0.98571
26270 1 11664093 11674354 34 10 337119 -0.80498 0.78959
10459 1 11674480 11691788 65 14 337119 0.35702 0.36054
374946 1 11686647 11720612 104 22 337119 0.33867 0.36743
57085 1 11735474 11750771 38 9 337119 -1.5335 0.93742
284498 1 11762183 11789585 149 11 337119 -1.2594 0.89607
4524 1 11785730 11806103 78 11 337119 -1.4705 0.92929
1185 1 11806096 11843144 194 15 337119 -1.2784 0.89945
4878 1 11845709 11847783 15 4 337119 -1.3649 0.91386
90231 1 11919588 11926428 21 7 337119 0.30632 0.37968
5351 1 11934667 11975542 106 11 337119 0.7038 0.24078
9927 1 11980181 12013515 89 10 337119 -0.79981 0.78809
60672 1 12019242 12032049 22 5 337119 0.43963 0.3301
943 1 12063330 12144207 206 43 337119 0.20424 0.41908
7133 1 12166949 12209222 121 17 337119 0.65939 0.25482
55187 1 12230039 12512047 360 33 337119 0.50003 0.30853
9249 1 12567910 12618361 169 35 337119 -0.51995 0.69845
343066 1 12644547 12667086 51 6 337119 -0.92938 0.82365
126767 1 12716115 12728759 43 7 337119 -1.0704 0.85778
93190 1 12746186 12761169 44 10 337119 -1.2907 0.90159
