GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 -0.83408 0.79788
105378580 1 803398 805130 4 2 337119 -0.079634 0.53174
148398 1 925741 944581 54 17 337119 -1.2906 0.90158
26155 1 944203 959299 49 8 337119 -0.55262 0.70974
339451 1 959952 965720 17 4 337119 -0.34734 0.63583
84069 1 966497 975108 29 13 337119 0.13719 0.44544
84808 1 975199 982117 22 6 337119 -0.6456 0.74073
57801 1 998962 1001285 12 4 337119 -1.0628 0.85607
9636 1 1013467 1014540 5 2 337119 0.03607 0.48561
375790 1 1020101 1056119 115 16 337119 -0.63146 0.73613
105369174 1 1061207 1066390 10 5 337119 -0.82449 0.79517
105378948 1 1065635 1069326 10 3 337119 0.45656 0.32399
401934 1 1071746 1074307 6 2 337119 -0.094301 0.53757
54991 1 1081818 1116356 114 14 337119 0.73934 0.22985
254173 1 1173898 1197935 143 20 337119 -0.028218 0.51126
8784 1 1203508 1206709 10 2 337119 1.4552 0.072806
7293 1 1211326 1214638 8 3 337119 -0.43003 0.66641
51150 1 1216908 1232067 93 6 337119 -0.22043 0.58723
126792 1 1232249 1235041 7 2 337119 -0.34996 0.63682
388581 1 1242446 1247218 13 3 337119 -0.85459 0.80361
118424 1 1253912 1273854 42 7 337119 -0.96873 0.83366
6339 1 1280415 1292029 43 15 337119 -0.91711 0.82046
116983 1 1292384 1307925 43 10 337119 -1.8678 0.9691
126789 1 1308571 1311677 5 3 337119 -0.91464 0.81981
54973 1 1311585 1324687 19 6 337119 -1.3489 0.91131
80772 1 1324756 1328896 10 2 337119 -0.73905 0.77006
83756 1 1328999 1335320 26 8 337119 -0.2584 0.60195
1855 1 1335278 1349158 34 9 337119 -0.33454 0.63101
54587 1 1352689 1363541 36 6 337119 -0.66907 0.74827
54998 1 1373730 1375438 8 4 337119 -1.1651 0.87802
81669 1 1385711 1399338 21 7 337119 -1.1504 0.87501
55052 1 1401896 1407834 15 6 337119 -1.6247 0.94789
441869 1 1418420 1421820 10 4 337119 -1.2837 0.90038
