GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 322154 -1.7395 0.95902
105378580 1 803398 805130 4 2 322154 -0.42621 0.66502
148398 1 925741 944581 51 16 322154 -2.3103 0.98956
26155 1 944203 959299 41 9 322154 -2.2274 0.98704
339451 1 959952 965720 15 3 322154 -1.6598 0.95152
84069 1 966497 975108 24 10 322154 -2.9257 0.99828
84808 1 975199 982117 20 5 322154 -1.4544 0.92709
57801 1 998962 1001285 11 3 322154 -0.46276 0.67823
9636 1 1013467 1014540 2 1 322154 -0.45537 0.67558
375790 1 1020101 1056119 105 15 322154 -1.6022 0.94544
105369174 1 1061207 1066390 10 5 322154 -0.71224 0.76184
105378948 1 1065635 1069326 8 3 322154 0.10861 0.45675
401934 1 1071746 1074307 5 2 322154 -0.16217 0.56442
54991 1 1081818 1116356 110 14 322154 0.89489 0.18542
254173 1 1173898 1197935 137 20 322154 -1.5801 0.94296
8784 1 1203508 1206709 10 2 322154 -1.0422 0.85134
7293 1 1211326 1214638 8 3 322154 -1.3448 0.91066
51150 1 1216908 1232067 86 5 322154 -1.1621 0.87741
126792 1 1232249 1235041 6 2 322154 -0.37975 0.64793
388581 1 1242446 1247218 13 3 322154 -1.6641 0.95195
118424 1 1253912 1273854 40 7 322154 -1.4846 0.93118
6339 1 1280415 1292029 40 14 322154 -3.4547 0.99972
116983 1 1292384 1307925 42 10 322154 -2.0452 0.97958
126789 1 1308571 1311677 4 2 322154 -2.4292 0.99243
54973 1 1311585 1324687 17 6 322154 -2.9227 0.99827
80772 1 1324756 1328896 10 2 322154 -1.2001 0.88495
83756 1 1328999 1335320 21 7 322154 -2.7839 0.99731
1855 1 1335278 1349158 29 8 322154 -2.9111 0.9982
54587 1 1352689 1363541 30 5 322154 -2.0413 0.97939
54998 1 1373730 1375438 8 4 322154 -2.2416 0.98751
81669 1 1385711 1399338 21 7 322154 -2.2252 0.98697
55052 1 1401896 1407834 15 6 322154 -1.9074 0.97176
441869 1 1418420 1421820 10 4 322154 -1.9711 0.97565
643965 1 1426128 1427787 8 3 322154 -2.093 0.98183
64856 1 1435523 1442882 14 4 322154 -1.7046 0.95587
219293 1 1441301 1470158 85 14 322154 -2.0983 0.98206
83858 1 1471732 1509479 89 21 322154 -1.9392 0.97376
55210 1 1512143 1534687 78 13 322154 -2.7617 0.99712
339453 1 1534778 1540360 12 7 322154 -3.2873 0.99949
29101 1 1541673 1574882 91 11 322154 -2.2006 0.98612
643988 1 1598008 1600096 2 1 322154 -0.049262 0.51964
142678 1 1614975 1630610 36 8 322154 -0.33859 0.63254
984 1 1635226 1659839 33 6 322154 -0.88411 0.81168
728661 1 1660025 1692804 73 17 322154 0.49792 0.30927
728642 1 1702730 1724352 67 5 322154 -0.31237 0.62262
9906 1 1724838 1745999 62 11 322154 3.1754 0.00074805
65220 1 1751232 1780514 63 9 322154 4.53 2.9487e-06
2782 1 1785285 1891117 154 23 322154 4.2883 9.0029e-06
105378949 1 1885960 1893010 14 7 322154 3.08 0.0010349
163688 1 1913752 1917294 13 3 322154 3.6253 0.00014433
339456 1 1917589 1919301 5 2 322154 2.8296 0.0023301
85452 1 1921951 2003837 312 26 322154 2.4849 0.0064802
2563 1 2019329 2030753 27 6 322154 -0.47839 0.68382
5590 1 2050470 2185395 379 30 322154 -1.416 0.92162
100506504 1 2181811 2184360 4 2 322154 -0.60356 0.72693
199990 1 2184460 2212720 46 10 322154 -1.1278 0.8703
105378592 1 2208942 2215211 17 8 322154 -1.452 0.92675
6497 1 2228695 2310213 231 45 322154 -1.276 0.89902
105378594 1 2280383 2284676 13 5 322154 -1.0865 0.86138
79906 1 2321253 2391751 282 34 322154 -0.89211 0.81383
11079 1 2391314 2405444 34 11 322154 -0.5828 0.71999
5192 1 2404802 2413780 22 8 322154 -0.046431 0.51852
9651 1 2415782 2505530 306 48 322154 1.1137 0.1327
55229 1 2508531 2526628 39 6 322154 1.2805 0.10019
388585 1 2528745 2530245 3 2 322154 0.51798 0.30224
8764 1 2556365 2565622 19 6 322154 2.641 0.004133
127281 1 2586460 2591469 9 3 322154 1.0378 0.14969
79258 1 2590639 2633042 146 10 322154 1.9085 0.028165
100287898 1 2636988 2789665 85 13 322154 1.4484 0.073757
140625 1 3021482 3022903 4 2 322154 -0.99857 0.841
63976 1 3068227 3438621 1321 167 322154 -1.3678 0.91431
27237 1 3454583 3481115 87 12 322154 -0.73216 0.76796
1953 1 3487942 3624757 543 86 322154 -1.5038 0.93369
127262 1 3624992 3630131 12 4 322154 -2.491 0.99363
49856 1 3630767 3650107 31 10 322154 -2.0573 0.98017
7161 1 3652565 3736201 279 53 322154 -1.5169 0.93535
148870 1 3752398 3771645 60 14 322154 -1.3696 0.9146
388588 1 3772761 3775982 11 5 322154 -1.5067 0.93405
57470 1 3780220 3796504 80 16 322154 -1.46 0.92785
9731 1 3812081 3857387 276 16 322154 -1.2451 0.89345
