GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 0.44189 0.32928
105378580 1 803398 805130 4 2 337119 -0.59863 0.72529
148398 1 925741 944581 54 17 337119 0.68447 0.24684
26155 1 944203 959299 49 8 337119 2.0227 0.021554
339451 1 959952 965720 17 4 337119 1.9377 0.02633
84069 1 966497 975108 29 13 337119 1.7533 0.039771
84808 1 975199 982117 22 6 337119 0.84688 0.19853
57801 1 998962 1001285 12 4 337119 0.72748 0.23347
9636 1 1013467 1014540 5 2 337119 0.81769 0.20677
375790 1 1020101 1056119 115 16 337119 -1.0282 0.84807
105369174 1 1061207 1066390 10 5 337119 -0.23066 0.59121
105378948 1 1065635 1069326 10 3 337119 0.24374 0.40372
401934 1 1071746 1074307 6 2 337119 0.17819 0.42929
54991 1 1081818 1116356 114 14 337119 -0.0294 0.51173
254173 1 1173898 1197935 143 20 337119 -1.0317 0.8489
8784 1 1203508 1206709 10 2 337119 -0.64653 0.74103
7293 1 1211326 1214638 8 3 337119 -0.70532 0.7597
51150 1 1216908 1232067 93 6 337119 -1.2682 0.89763
126792 1 1232249 1235041 7 2 337119 0.52586 0.29949
388581 1 1242446 1247218 13 3 337119 -0.15356 0.56102
118424 1 1253912 1273854 42 7 337119 0.13166 0.44763
6339 1 1280415 1292029 43 15 337119 -0.8438 0.80061
116983 1 1292384 1307925 43 10 337119 -1.4649 0.92853
126789 1 1308571 1311677 5 3 337119 -0.54877 0.70842
54973 1 1311585 1324687 19 6 337119 0.69551 0.24337
80772 1 1324756 1328896 10 2 337119 0.16872 0.43301
83756 1 1328999 1335320 26 8 337119 1.0099 0.15626
1855 1 1335278 1349158 34 9 337119 1.229 0.10954
54587 1 1352689 1363541 36 6 337119 -0.24273 0.59589
54998 1 1373730 1375438 8 4 337119 2.0086 0.02229
81669 1 1385711 1399338 21 7 337119 0.36228 0.35857
55052 1 1401896 1407834 15 6 337119 1.2437 0.1068
441869 1 1418420 1421820 10 4 337119 0.35787 0.36022
643965 1 1426128 1427787 8 3 337119 -1.1569 0.87634
64856 1 1435523 1442882 15 4 337119 -0.09593 0.53821
219293 1 1441301 1470158 88 15 337119 -0.086168 0.53433
83858 1 1471732 1509479 90 21 337119 -0.055036 0.52195
55210 1 1512143 1534687 80 13 337119 0.41754 0.33814
339453 1 1534778 1540360 12 7 337119 0.94338 0.17274
29101 1 1541673 1574882 93 11 337119 1.298 0.09714
643988 1 1598008 1600096 2 1 337119 -1.1914 0.88325
142678 1 1614975 1630610 39 9 337119 -0.71986 0.76419
984 1 1635226 1659839 33 6 337119 -0.50666 0.6938
728661 1 1660025 1692804 75 16 337119 0.73545 0.23103
728642 1 1702730 1724352 68 5 337119 0.12507 0.45023
9906 1 1724838 1745999 64 11 337119 1.1144 0.13255
65220 1 1751232 1780514 68 10 337119 1.059 0.14479
2782 1 1785285 1891117 160 23 337119 0.15974 0.43654
105378949 1 1885960 1893010 14 7 337119 0.83977 0.20052
163688 1 1913752 1917294 13 3 337119 1.3712 0.085163
339456 1 1917589 1919301 6 3 337119 0.4548 0.32463
85452 1 1921951 2003837 329 27 337119 0.70137 0.24154
2563 1 2019329 2030753 29 7 337119 -0.38648 0.65043
5590 1 2050470 2185395 400 32 337119 -1.6012 0.94533
100506504 1 2181811 2184360 4 2 337119 0.9782 0.16399
199990 1 2184460 2212720 52 12 337119 -1.0815 0.86026
105378592 1 2208942 2215211 19 9 337119 -1.6969 0.95514
6497 1 2228695 2310213 240 46 337119 0.088967 0.46455
105378594 1 2280383 2284676 14 5 337119 2.2346 0.012722
79906 1 2321253 2391751 302 38 337119 0.27598 0.39128
