GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 150064 0.20629 0.41828
105378580 1 803398 805130 4 2 150064 -0.72751 0.76654
148398 1 925741 944581 53 17 150064 0.28205 0.38895
26155 1 944203 959299 48 8 150064 1.5225 0.063941
339451 1 959952 965720 16 3 150064 0.89791 0.18462
84069 1 966497 975108 25 11 150064 -0.07284 0.52903
84808 1 975199 982117 21 5 150064 -0.17196 0.56826
57801 1 998962 1001285 12 4 150064 -1.2806 0.89983
9636 1 1013467 1014540 5 2 150064 0.5298 0.29813
375790 1 1020101 1056119 110 15 150064 0.29453 0.38418
105369174 1 1061207 1066390 10 5 150064 0.41043 0.34075
105378948 1 1065635 1069326 9 3 150064 1.3759 0.08442
401934 1 1071746 1074307 6 2 150064 0.47462 0.31753
54991 1 1081818 1116356 113 14 150064 -0.12244 0.54873
254173 1 1173898 1197935 142 20 150064 -2.217 0.98669
8784 1 1203508 1206709 10 2 150064 -1.2613 0.89641
7293 1 1211326 1214638 8 3 150064 1.1784 0.11932
51150 1 1216908 1232067 91 6 150064 0.66415 0.2533
126792 1 1232249 1235041 7 2 150064 1.9481 0.025701
388581 1 1242446 1247218 13 3 150064 1.9444 0.025927
118424 1 1253912 1273854 42 7 150064 -1.505 0.93384
6339 1 1280415 1292029 43 15 150064 -1.4576 0.92752
116983 1 1292384 1307925 43 10 150064 -0.70238 0.75878
126789 1 1308571 1311677 5 3 150064 -0.31698 0.62437
54973 1 1311585 1324687 19 6 150064 0.34521 0.36497
80772 1 1324756 1328896 10 2 150064 -0.11448 0.54557
83756 1 1328999 1335320 25 7 150064 -0.052843 0.52107
1855 1 1335278 1349158 34 9 150064 0.3803 0.35186
54587 1 1352689 1363541 34 5 150064 0.091465 0.46356
54998 1 1373730 1375438 8 4 150064 0.48635 0.31336
81669 1 1385711 1399338 21 7 150064 -1.0229 0.84681
55052 1 1401896 1407834 15 6 150064 0.050434 0.47989
441869 1 1418420 1421820 10 4 150064 -0.42029 0.66286
643965 1 1426128 1427787 8 3 150064 -0.44817 0.67298
64856 1 1435523 1442882 15 4 150064 0.56515 0.28598
219293 1 1441301 1470158 87 15 150064 -0.65473 0.74368
83858 1 1471732 1509479 93 20 150064 -0.33296 0.63042
55210 1 1512143 1534687 81 13 150064 -0.74341 0.77138
339453 1 1534778 1540360 12 7 150064 0.56471 0.28614
29101 1 1541673 1574882 93 11 150064 1.3117 0.09481
643988 1 1598008 1600096 2 1 150064 -0.51744 0.69757
142678 1 1614975 1630610 36 8 150064 -0.43991 0.67
984 1 1635226 1659839 33 6 150064 -0.91237 0.81921
728661 1 1660025 1692804 73 17 150064 -1.7174 0.95705
728642 1 1702730 1724352 68 5 150064 0.17815 0.4293
9906 1 1724838 1745999 65 10 150064 -0.94789 0.82841
65220 1 1751232 1780514 67 9 150064 -0.17338 0.56882
2782 1 1785285 1891117 158 23 150064 -0.20138 0.5798
105378949 1 1885960 1893010 14 7 150064 0.52295 0.3005
163688 1 1913752 1917294 13 3 150064 0.27112 0.39315
339456 1 1917589 1919301 6 3 150064 -0.18144 0.57199
85452 1 1921951 2003837 328 29 150064 1.2215 0.11095
2563 1 2019329 2030753 27 6 150064 0.73417 0.23142
5590 1 2050470 2185395 398 32 150064 2.7211 0.0032535
100506504 1 2181811 2184360 4 2 150064 3.526 0.00021091
199990 1 2184460 2212720 51 12 150064 3.0821 0.0010277
105378592 1 2208942 2215211 19 9 150064 3.3732 0.00037146
6497 1 2228695 2310213 239 46 150064 1.8593 0.031492
105378594 1 2280383 2284676 14 5 150064 1.6766 0.046811
79906 1 2321253 2391751 300 37 150064 0.20004 0.42073
11079 1 2391314 2405444 37 11 150064 1.6219 0.052414
5192 1 2404802 2413780 26 9 150064 0.45787 0.32352
9651 1 2415782 2505530 320 44 150064 5.5579 1.3649e-08
55229 1 2508531 2526628 40 6 150064 1.1138 0.13267
388585 1 2528745 2530245 3 2 150064 0.51192 0.30435
8764 1 2556365 2565622 23 5 150064 0.82713 0.20408
127281 1 2586460 2591469 11 4 150064 2.4894 0.0063976
79258 1 2590639 2633042 152 10 150064 3.2795 0.00051998
100287898 1 2636988 2789665 90 13 150064 2.0859 0.018492
140625 1 3021482 3022903 4 2 150064 0.27894 0.39014
63976 1 3068227 3438621 1374 178 150064 2.6679 0.0038166
27237 1 3454583 3481115 91 12 150064 0.23656 0.4065
1953 1 3487942 3624757 568 85 150064 -0.74595 0.77215
127262 1 3624992 3630131 13 5 150064 0.19376 0.42318
49856 1 3630767 3650107 33 10 150064 0.16115 0.43599
7161 1 3652565 3736201 292 53 150064 0.40057 0.34437
148870 1 3752398 3771645 66 15 150064 -1.6135 0.94668
388588 1 3772761 3775982 12 5 150064 -1.3395 0.9098
57470 1 3780220 3796504 80 16 150064 -0.84769 0.8017
9731 1 3812081 3857387 284 18 150064 -1.4861 0.93137
1677 1 3857143 3885429 163 23 150064 -2.004 0.97747
339448 1 3889133 3900293 41 8 150064 -0.61558 0.73091
55966 1 4655045 4792534 670 87 150064 0.15158 0.43976
261734 1 5862808 5992505 392 22 150064 -0.45342 0.67488
8514 1 5992298 6101193 303 47 150064 -0.14993 0.55959
26038 1 6101787 6180134 272 32 150064 -0.92342 0.8221
6146 1 6185020 6199619 35 7 150064 0.24001 0.40516
388591 1 6205775 6221299 34 5 150064 -0.15666 0.56224
23463 1 6221193 6235984 28 6 150064 -0.57618 0.71775
390992 1 6244158 6245578 2 1 150064 -1.288 0.90113
387509 1 6247346 6260990 36 3 150064 0.04663 0.4814
11332 1 6264272 6393766 406 26 150064 0.14094 0.44396
54626 1 6415232 6424664 31 7 150064 0.91529 0.18002
83715 1 6424776 6460944 104 12 150064 1.1243 0.13044
8718 1 6461151 6466195 13 5 150064 2.8657 0.0020804
57449 1 6466092 6520061 138 25 150064 2.8782 0.0019997
79707 1 6521347 6554598 101 3 150064 -1.0585 0.85509
80835 1 6555278 6579757 42 8 150064 0.05232 0.47914
3104 1 6579991 6589280 9 4 150064 2.5614 0.0052131
9903 1 6590724 6602898 30 9 150064 3.5859 0.00016795
148479 1 6613696 6624033 18 4 150064 3.341 0.00041743
90326 1 6624865 6635586 32 7 150064 3.6869 0.00011349
55735 1 6634168 6701906 144 17 150064 4.6565 1.608e-06
23261 1 6785324 7769706 2726 225 150064 -0.21326 0.58444
9341 1 7771269 7781432 33 9 150064 1.2806 0.10016
8863 1 7784380 7845181 214 27 150064 0.78669 0.21573
10911 1 7847612 7913610 303 28 150064 0.26685 0.39479
3604 1 7915871 7943165 54 8 150064 0.16631 0.43396
11315 1 7961654 7985283 49 10 150064 0.42942 0.33381
54206 1 8011719 8026333 23 5 150064 0.18282 0.42747
50651 1 8318085 8344167 82 14 150064 5.2245 8.7323e-08
473 1 8352404 8817691 683 30 150064 5.0074 2.7591e-07
2023 1 8861000 8879092 25 5 150064 0.82215 0.20549
765 1 8945785 8975092 117 26 150064 -0.80865 0.79064
155184 1 8960853 9026384 217 54 150064 -0.80762 0.79035
6518 1 9036943 9071704 96 14 150064 -0.85415 0.80349
80045 1 9103391 9129170 61 10 150064 -1.0104 0.84386
9563 1 9234776 9271337 98 19 150064 0.46966 0.3193
80176 1 9292882 9369532 330 51 150064 0.21731 0.41398
84275 1 9539469 9582773 60 9 150064 -0.83071 0.79693
199953 1 9588853 9614877 37 8 150064 0.19628 0.4222
5293 1 9629889 9729114 200 36 150064 0.40464 0.34287
22883 1 9729021 9824526 129 16 150064 -0.017896 0.50714
56998 1 9848276 9910258 72 13 150064 0.49948 0.30872
84328 1 9922110 9943402 44 10 150064 -0.28369 0.61168
64802 1 9942923 9985501 85 13 150064 -0.23267 0.59199
105376719 1 9996423 9998089 10 3 150064 -0.29208 0.61489
116362 1 9997197 10016020 36 5 150064 0.10377 0.45867
10277 1 10032983 10181239 305 16 150064 0.35018 0.3631
23095 1 10210706 10381603 520 17 150064 1.3093 0.095216
5226 1 10398992 10420511 49 7 150064 0.72461 0.23435
378708 1 10430102 10442815 37 5 150064 -0.30411 0.61948
100526739 1 10430102 10452003 56 8 150064 -0.48268 0.68534
1325 1 10449719 10452003 5 2 150064 -0.15864 0.56302
1676 1 10460531 10472556 18 5 150064 -0.97764 0.83587
5195 1 10474946 10630758 367 28 150064 -0.42014 0.66281
54897 1 10636604 10796676 433 88 150064 -1.3716 0.91491
148345 1 10946473 10982037 124 18 150064 -0.57936 0.71883
23435 1 11012622 11025492 22 4 150064 1.2722 0.10164
10747 1 11026523 11047239 56 7 150064 0.39541 0.34627
6723 1 11054592 11060034 8 3 150064 0.57434 0.28287
5394 1 11066613 11099910 96 6 150064 -0.57366 0.7169
2475 1 11106531 11262557 339 11 150064 -0.90711 0.81783
10218 1 11189289 11195981 15 3 150064 -0.84226 0.80018
29914 1 11273198 11296595 34 5 150064 1.1048 0.13462
57540 1 11479238 11537583 149 16 150064 2.1606 0.015362
