GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 0.14276 0.44324
105378580 1 803398 805130 4 2 337119 1.0177 0.15442
148398 1 925741 944581 54 17 337119 1.6751 0.046961
26155 1 944203 959299 49 8 337119 2.0782 0.018847
339451 1 959952 965720 17 4 337119 2.0415 0.020602
84069 1 966497 975108 29 13 337119 2.1322 0.016494
84808 1 975199 982117 22 6 337119 2.2799 0.011305
57801 1 998962 1001285 12 4 337119 0.027566 0.489
9636 1 1013467 1014540 5 2 337119 -0.24912 0.59837
375790 1 1020101 1056119 115 16 337119 0.83949 0.2006
105369174 1 1061207 1066390 10 5 337119 0.64768 0.2586
105378948 1 1065635 1069326 10 3 337119 0.58589 0.27897
401934 1 1071746 1074307 6 2 337119 0.40295 0.34349
54991 1 1081818 1116356 114 14 337119 0.4517 0.32574
254173 1 1173898 1197935 143 20 337119 0.72845 0.23317
8784 1 1203508 1206709 10 2 337119 0.43145 0.33307
7293 1 1211326 1214638 8 3 337119 2.0539 0.019994
51150 1 1216908 1232067 93 6 337119 1.1191 0.13155
126792 1 1232249 1235041 7 2 337119 2.1895 0.01428
388581 1 1242446 1247218 13 3 337119 0.77224 0.21999
118424 1 1253912 1273854 42 7 337119 1.2761 0.10096
6339 1 1280415 1292029 43 15 337119 0.20778 0.4177
116983 1 1292384 1307925 43 10 337119 0.22887 0.40948
126789 1 1308571 1311677 5 3 337119 -0.31426 0.62334
54973 1 1311585 1324687 19 6 337119 0.57417 0.28292
80772 1 1324756 1328896 10 2 337119 0.48942 0.31227
83756 1 1328999 1335320 26 8 337119 0.65113 0.25748
1855 1 1335278 1349158 34 9 337119 0.71179 0.2383
54587 1 1352689 1363541 36 6 337119 0.49051 0.31189
54998 1 1373730 1375438 8 4 337119 1.4145 0.078609
81669 1 1385711 1399338 21 7 337119 -0.16464 0.56539
55052 1 1401896 1407834 15 6 337119 1.0253 0.1526
441869 1 1418420 1421820 10 4 337119 0.58416 0.27956
643965 1 1426128 1427787 8 3 337119 -0.23482 0.59283
64856 1 1435523 1442882 15 4 337119 -0.64703 0.74119
219293 1 1441301 1470158 88 15 337119 -0.84333 0.80048
83858 1 1471732 1509479 90 21 337119 1.3954 0.08144
55210 1 1512143 1534687 80 13 337119 2.1346 0.016398
339453 1 1534778 1540360 12 7 337119 0.4002 0.3445
29101 1 1541673 1574882 93 11 337119 0.33515 0.36875
643988 1 1598008 1600096 2 1 337119 0.87739 0.19014
142678 1 1614975 1630610 39 9 337119 0.51604 0.30291
984 1 1635226 1659839 33 6 337119 0.19341 0.42332
728661 1 1660025 1692804 75 16 337119 -0.74845 0.77291
728642 1 1702730 1724352 68 5 337119 -0.85473 0.80365
9906 1 1724838 1745999 64 11 337119 -0.25653 0.60123
65220 1 1751232 1780514 68 10 337119 -0.091472 0.53644
2782 1 1785285 1891117 160 23 337119 0.19551 0.4225
105378949 1 1885960 1893010 14 7 337119 -0.12569 0.55001
163688 1 1913752 1917294 13 3 337119 0.36158 0.35883
339456 1 1917589 1919301 6 3 337119 0.43806 0.33067
85452 1 1921951 2003837 329 27 337119 0.089228 0.46445
2563 1 2019329 2030753 29 7 337119 -0.40361 0.65675
5590 1 2050470 2185395 400 32 337119 1.6689 0.047569
100506504 1 2181811 2184360 4 2 337119 0.54158 0.29405
199990 1 2184460 2212720 52 12 337119 0.57287 0.28337
105378592 1 2208942 2215211 19 9 337119 1.254 0.10493
6497 1 2228695 2310213 240 46 337119 0.87552 0.19064
105378594 1 2280383 2284676 14 5 337119 0.70702 0.23978
79906 1 2321253 2391751 302 38 337119 0.73759 0.23038
11079 1 2391314 2405444 37 11 337119 0.68502 0.24666
5192 1 2404802 2413780 26 9 337119 -0.35961 0.64043
9651 1 2415782 2505530 321 46 337119 -0.53445 0.70348
55229 1 2508531 2526628 40 6 337119 -0.019778 0.50789
388585 1 2528745 2530245 3 2 337119 -1.3595 0.913
8764 1 2556365 2565622 23 5 337119 0.38075 0.35169
127281 1 2586460 2591469 11 4 337119 -0.49877 0.69103
79258 1 2590639 2633042 149 10 337119 -0.28642 0.61272
100287898 1 2636988 2789665 89 13 337119 -0.038399 0.51532
140625 1 3021482 3022903 4 2 337119 0.087947 0.46496
63976 1 3068227 3438621 1383 172 337119 -1.2031 0.88553
27237 1 3454583 3481115 91 13 337119 -0.62862 0.7352
1953 1 3487942 3624757 572 88 337119 0.23159 0.40843
127262 1 3624992 3630131 13 5 337119 1.6423 0.050267
49856 1 3630767 3650107 32 10 337119 0.78309 0.21679
7161 1 3652565 3736201 295 54 337119 -2.5678 0.99488
148870 1 3752398 3771645 67 15 337119 -0.63911 0.73863
388588 1 3772761 3775982 12 5 337119 0.37197 0.35496
57470 1 3780220 3796504 80 16 337119 -0.035862 0.5143
9731 1 3812081 3857387 284 18 337119 0.032267 0.48713
1677 1 3857143 3885429 163 23 337119 -1.2356 0.89169
339448 1 3889133 3900293 41 8 337119 -1.2003 0.88499
55966 1 4655045 4792534 669 86 337119 1.6303 0.051517
261734 1 5862808 5992505 393 22 337119 0.60833 0.27149
8514 1 5992298 6101193 304 48 337119 3.2156 0.00065092
26038 1 6101787 6180134 273 33 337119 1.4925 0.067788
6146 1 6185020 6199619 35 7 337119 0.16122 0.43596
388591 1 6205775 6221299 34 5 337119 0.8472 0.19844
23463 1 6221193 6235984 28 6 337119 -0.30164 0.61854
390992 1 6244158 6245578 2 1 337119 0.6208 0.26737
387509 1 6247346 6260990 36 3 337119 1.7251 0.042253
11332 1 6264272 6393766 409 26 337119 0.74278 0.22881
54626 1 6415232 6424664 30 6 337119 -0.50439 0.69301
83715 1 6424776 6460944 104 12 337119 -0.73533 0.76893
8718 1 6461151 6466195 13 5 337119 -0.93927 0.8262
57449 1 6466092 6520061 139 25 337119 -0.25611 0.60107
79707 1 6521347 6554598 101 3 337119 -0.35139 0.63735
80835 1 6555278 6579757 42 8 337119 0.053232 0.47877
3104 1 6579991 6589280 9 4 337119 1.981 0.023795
9903 1 6590724 6602898 30 9 337119 1.3332 0.091241
148479 1 6613696 6624033 18 4 337119 0.30852 0.37884
90326 1 6624865 6635586 33 7 337119 1.6388 0.050631
55735 1 6634168 6701906 144 18 337119 0.59552 0.27575
23261 1 6785324 7769706 2727 225 337119 1.3525 0.088113
9341 1 7771269 7781432 33 9 337119 0.89117 0.18642
8863 1 7784380 7845181 215 27 337119 1.1123 0.133
10911 1 7847612 7913610 303 28 337119 0.30884 0.37872
3604 1 7915871 7943165 54 8 337119 1.3149 0.094278
11315 1 7961654 7985283 50 10 337119 0.51596 0.30294
54206 1 8011719 8026333 23 5 337119 0.74059 0.22947
50651 1 8318085 8344167 82 14 337119 1.5016 0.0666
473 1 8352404 8817691 684 29 337119 4.618 1.9371e-06
2023 1 8861000 8879092 25 5 337119 0.32874 0.37118
765 1 8945785 8975092 117 26 337119 -1.2303 0.89071
155184 1 8960853 9026384 218 55 337119 -1.7772 0.96223
6518 1 9036943 9071704 96 14 337119 -0.20365 0.58069
80045 1 9103391 9129170 60 10 337119 -0.24751 0.59774
9563 1 9234776 9271337 98 19 337119 0.44512 0.32811
80176 1 9292882 9369532 329 48 337119 -1.738 0.95889
84275 1 9539469 9582773 60 9 337119 1.4399 0.074952
199953 1 9588853 9614877 37 8 337119 1.9783 0.023948
5293 1 9629889 9729114 200 36 337119 0.52785 0.2988
22883 1 9729021 9824526 130 17 337119 0.079756 0.46822
56998 1 9848276 9910258 74 13 337119 0.40755 0.3418
84328 1 9922110 9943402 44 10 337119 1.3761 0.084393
64802 1 9942923 9985501 88 14 337119 1.0792 0.14026
105376719 1 9996423 9998089 10 3 337119 0.89722 0.1848
116362 1 9997197 10016020 36 5 337119 1.3119 0.094779
10277 1 10032983 10181239 307 18 337119 2.4842 0.006492
23095 1 10210706 10381603 522 17 337119 2.8977 0.0018798
5226 1 10398992 10420511 50 8 337119 2.0835 0.018602
378708 1 10430102 10442815 37 5 337119 -0.31891 0.6251
100526739 1 10430102 10452003 56 8 337119 -0.32211 0.62631
1325 1 10449719 10452003 5 2 337119 -1.1055 0.86553
1676 1 10460531 10472556 18 5 337119 2.6312 0.004254
5195 1 10474946 10630758 368 29 337119 3.0967 0.00097854
54897 1 10636604 10796676 432 89 337119 0.34633 0.36455
148345 1 10946473 10982037 125 18 337119 -0.078576 0.53132
23435 1 11012622 11025492 22 4 337119 1.0531 0.14615
10747 1 11026523 11047239 56 7 337119 1.4475 0.073876
6723 1 11054592 11060034 7 2 337119 1.4957 0.067371
5394 1 11066613 11099910 95 6 337119 1.3866 0.082783
2475 1 11106531 11262557 339 11 337119 0.95567 0.16962
10218 1 11189289 11195981 15 3 337119 0.18053 0.42837
29914 1 11273198 11296595 35 6 337119 -0.15909 0.5632
57540 1 11479238 11537583 150 16 337119 0.54675 0.29228
26232 1 11648361 11654831 22 12 337119 0.89199 0.1862
93611 1 11654375 11663327 24 8 337119 0.42743 0.33453
26270 1 11664093 11674354 34 10 337119 1.423 0.077371
