GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 188578 -1.9034 0.97151
105378580 1 803398 805130 4 2 188578 -0.51919 0.69819
148398 1 925741 944581 51 16 188578 -2.6592 0.99608
26155 1 944203 959299 41 9 188578 -2.2186 0.98674
339451 1 959952 965720 15 3 188578 -1.8146 0.96521
84069 1 966497 975108 24 10 188578 -3.427 0.99969
84808 1 975199 982117 20 5 188578 -1.2202 0.8888
57801 1 998962 1001285 11 3 188578 -0.65164 0.74268
9636 1 1013467 1014540 2 1 188578 -0.72795 0.76668
375790 1 1020101 1056119 104 15 188578 -1.888 0.97049
105369174 1 1061207 1066390 10 5 188578 -0.67447 0.74999
105378948 1 1065635 1069326 8 3 188578 -0.096671 0.53851
401934 1 1071746 1074307 5 2 188578 -0.3514 0.63736
54991 1 1081818 1116356 110 14 188578 -1.2966 0.90261
254173 1 1173898 1197935 137 20 188578 -0.027213 0.51085
8784 1 1203508 1206709 10 2 188578 -0.24147 0.59541
7293 1 1211326 1214638 8 3 188578 -0.23873 0.59434
51150 1 1216908 1232067 86 5 188578 -0.091952 0.53663
126792 1 1232249 1235041 6 2 188578 -0.27426 0.60806
388581 1 1242446 1247218 13 3 188578 0.48038 0.31548
118424 1 1253912 1273854 40 7 188578 -0.45346 0.67489
6339 1 1280415 1292029 40 14 188578 -1.6949 0.95495
116983 1 1292384 1307925 42 10 188578 -0.4502 0.67372
126789 1 1308571 1311677 4 2 188578 -1.4113 0.92092
54973 1 1311585 1324687 17 6 188578 -1.5833 0.94332
80772 1 1324756 1328896 10 2 188578 -0.67897 0.75142
83756 1 1328999 1335320 21 7 188578 -1.7094 0.95631
1855 1 1335278 1349158 29 8 188578 -1.6678 0.95232
54587 1 1352689 1363541 30 5 188578 -1.0062 0.84285
54998 1 1373730 1375438 8 4 188578 -0.91888 0.82092
81669 1 1385711 1399338 21 7 188578 -0.83301 0.79758
55052 1 1401896 1407834 15 6 188578 -0.9487 0.82861
441869 1 1418420 1421820 10 4 188578 -1.9845 0.9764
643965 1 1426128 1427787 8 3 188578 -0.29357 0.61546
64856 1 1435523 1442882 14 4 188578 0.34248 0.36599
219293 1 1441301 1470158 85 14 188578 0.013127 0.49476
