GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 15283 -2.4741 0.99332
105378580 1 803398 805130 4 2 15283 -1.723 0.95756
148398 1 925741 944581 51 16 15283 -3.7668 0.99992
26155 1 944203 959299 41 9 15283 -2.4342 0.99254
339451 1 959952 965720 15 3 15283 -1.9828 0.9763
84069 1 966497 975108 24 10 15283 -3.6036 0.99984
84808 1 975199 982117 20 5 15283 -1.3168 0.90604
57801 1 998962 1001285 11 3 15283 -1.2204 0.88885
9636 1 1013467 1014540 2 1 15283 -1.0704 0.85777
375790 1 1020101 1056119 104 15 15283 -0.78515 0.78382
105369174 1 1061207 1066390 10 5 15283 -0.87013 0.80788
105378948 1 1065635 1069326 8 3 15283 0.13955 0.44451
401934 1 1071746 1074307 5 2 15283 0.76433 0.22234
54991 1 1081818 1116356 110 14 15283 -0.93659 0.82551
254173 1 1173898 1197935 136 19 15283 0.094027 0.46254
8784 1 1203508 1206709 10 2 15283 1.3309 0.091615
7293 1 1211326 1214638 8 3 15283 1.4363 0.075464
51150 1 1216908 1232067 86 5 15283 0.742 0.22904
126792 1 1232249 1235041 6 2 15283 1.6277 0.051794
388581 1 1242446 1247218 13 3 15283 0.24496 0.40324
118424 1 1253912 1273854 38 8 15283 0.32973 0.3708
6339 1 1280415 1292029 39 14 15283 -1.4351 0.92437
116983 1 1292384 1307925 41 10 15283 -1.8139 0.96515
126789 1 1308571 1311677 3 2 15283 -1.9325 0.97335
54973 1 1311585 1324687 17 6 15283 -2.2534 0.98788
80772 1 1324756 1328896 10 2 15283 -0.92369 0.82218
83756 1 1328999 1335320 21 7 15283 -1.6799 0.95351
1855 1 1335278 1349158 29 8 15283 -1.8444 0.96744
54587 1 1352689 1363541 30 5 15283 -1.3976 0.91889
54998 1 1373730 1375438 8 4 15283 -1.3019 0.90353
81669 1 1385711 1399338 21 7 15283 -1.8814 0.97004
55052 1 1401896 1407834 15 6 15283 -1.5668 0.94142
441869 1 1418420 1421820 10 4 15283 -1.6965 0.9551
643965 1 1426128 1427787 8 3 15283 -0.85453 0.80359
64856 1 1435523 1442882 14 4 15283 0.15867 0.43697
219293 1 1441301 1470158 85 14 15283 -0.60357 0.72693
83858 1 1471732 1509479 89 21 15283 -2.0621 0.9804
55210 1 1512143 1534687 78 13 15283 -1.6325 0.94871
339453 1 1534778 1540360 12 7 15283 0.51461 0.30341
29101 1 1541673 1574882 91 11 15283 1.8126 0.034945
643988 1 1598008 1600096 2 1 15283 -1.7472 0.95969
142678 1 1614975 1630610 36 8 15283 -3.3939 0.99966
984 1 1635226 1659839 33 6 15283 -1.2069 0.88626
728661 1 1660025 1692804 73 17 15283 -3.3418 0.99958
728642 1 1702730 1724352 67 5 15283 -0.66658 0.74748
9906 1 1724838 1745999 62 11 15283 -2.0331 0.97898
65220 1 1751232 1780514 63 9 15283 -1.3542 0.91217
2782 1 1785285 1891117 152 23 15283 -1.3913 0.91793
105378949 1 1885960 1893010 13 7 15283 -1.3031 0.90373
163688 1 1913752 1917294 13 3 15283 -0.60841 0.72854
339456 1 1917589 1919301 5 2 15283 -0.55383 0.71015
85452 1 1921951 2003837 311 27 15283 -1.6076 0.94604
2563 1 2019329 2030753 27 6 15283 -2.2786 0.98866
5590 1 2050470 2185395 376 30 15283 -1.0969 0.86366
100506504 1 2181811 2184360 4 2 15283 -1.7334 0.95848
