GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 -0.35282 0.63789
105378580 1 803398 805130 4 2 337119 -0.88884 0.81295
148398 1 925741 944581 54 17 337119 -1.2206 0.88888
26155 1 944203 959299 49 8 337119 0.93904 0.17386
339451 1 959952 965720 17 4 337119 1.1265 0.12999
84069 1 966497 975108 29 13 337119 0.88975 0.1868
84808 1 975199 982117 22 6 337119 0.010252 0.49591
57801 1 998962 1001285 12 4 337119 0.137 0.44552
9636 1 1013467 1014540 5 2 337119 -0.082249 0.53278
375790 1 1020101 1056119 115 16 337119 -0.88435 0.81175
105369174 1 1061207 1066390 10 5 337119 0.054284 0.47835
105378948 1 1065635 1069326 10 3 337119 -0.076797 0.53061
401934 1 1071746 1074307 6 2 337119 0.033869 0.48649
54991 1 1081818 1116356 114 14 337119 0.17851 0.42916
254173 1 1173898 1197935 143 20 337119 -0.71558 0.76287
8784 1 1203508 1206709 10 2 337119 -0.76841 0.77888
7293 1 1211326 1214638 8 3 337119 0.11085 0.45587
51150 1 1216908 1232067 93 6 337119 0.11485 0.45428
126792 1 1232249 1235041 7 2 337119 1.3615 0.086673
388581 1 1242446 1247218 13 3 337119 -0.69152 0.75538
118424 1 1253912 1273854 42 7 337119 -0.48416 0.68587
6339 1 1280415 1292029 43 15 337119 -1.4159 0.9216
116983 1 1292384 1307925 43 10 337119 -0.17446 0.56925
126789 1 1308571 1311677 5 3 337119 -2.1219 0.98308
54973 1 1311585 1324687 19 6 337119 -2.1108 0.98261
80772 1 1324756 1328896 10 2 337119 -0.55491 0.71052
83756 1 1328999 1335320 26 8 337119 -0.85579 0.80394
1855 1 1335278 1349158 34 9 337119 -0.7813 0.78269
54587 1 1352689 1363541 36 6 337119 -1.3868 0.91725
54998 1 1373730 1375438 8 4 337119 -0.80628 0.78996
81669 1 1385711 1399338 21 7 337119 -1.0151 0.84497
55052 1 1401896 1407834 15 6 337119 -0.65609 0.74412
441869 1 1418420 1421820 10 4 337119 0.017784 0.49291
643965 1 1426128 1427787 8 3 337119 0.21644 0.41432
64856 1 1435523 1442882 15 4 337119 -0.66378 0.74658
219293 1 1441301 1470158 88 15 337119 1.1654 0.12193
83858 1 1471732 1509479 90 21 337119 0.63058 0.26416
55210 1 1512143 1534687 80 13 337119 -0.10193 0.5406
339453 1 1534778 1540360 12 7 337119 0.37506 0.35381
29101 1 1541673 1574882 93 11 337119 0.92924 0.17638
643988 1 1598008 1600096 2 1 337119 0.49465 0.31042
142678 1 1614975 1630610 39 9 337119 -0.035193 0.51404
984 1 1635226 1659839 33 6 337119 -0.62767 0.73489
728661 1 1660025 1692804 75 16 337119 -0.65035 0.74227
728642 1 1702730 1724352 68 5 337119 1.6214 0.052471
9906 1 1724838 1745999 64 11 337119 0.73789 0.23029
65220 1 1751232 1780514 68 10 337119 0.42943 0.33381
2782 1 1785285 1891117 160 23 337119 -0.42668 0.66519
105378949 1 1885960 1893010 14 7 337119 -0.48047 0.68455
163688 1 1913752 1917294 13 3 337119 -0.12267 0.54882
339456 1 1917589 1919301 6 3 337119 -0.7766 0.7813
85452 1 1921951 2003837 329 27 337119 -0.50834 0.69439
2563 1 2019329 2030753 29 7 337119 -1.0546 0.85419
5590 1 2050470 2185395 400 32 337119 0.073664 0.47064
100506504 1 2181811 2184360 4 2 337119 -0.40074 0.65569
199990 1 2184460 2212720 52 12 337119 -1.174 0.87981
105378592 1 2208942 2215211 19 9 337119 -1.6186 0.94723
6497 1 2228695 2310213 240 46 337119 -2.2573 0.98801
105378594 1 2280383 2284676 14 5 337119 -0.71372 0.7623
79906 1 2321253 2391751 302 38 337119 -0.33874 0.6326
11079 1 2391314 2405444 37 11 337119 -0.50317 0.69258
5192 1 2404802 2413780 26 9 337119 -0.52563 0.70043
9651 1 2415782 2505530 321 46 337119 -0.40739 0.65814
55229 1 2508531 2526628 40 6 337119 1.0815 0.13973
388585 1 2528745 2530245 3 2 337119 0.21091 0.41648
8764 1 2556365 2565622 23 5 337119 -0.98834 0.83851
127281 1 2586460 2591469 11 4 337119 -1.281 0.8999
79258 1 2590639 2633042 149 10 337119 -1.3673 0.91424
100287898 1 2636988 2789665 89 13 337119 -0.63969 0.73881
140625 1 3021482 3022903 4 2 337119 -1.1182 0.86825
63976 1 3068227 3438621 1383 172 337119 0.6518 0.25726
27237 1 3454583 3481115 91 13 337119 -0.85131 0.8027
1953 1 3487942 3624757 572 88 337119 -1.0148 0.84489
127262 1 3624992 3630131 13 5 337119 -0.31356 0.62307
49856 1 3630767 3650107 32 10 337119 -0.28145 0.61082
7161 1 3652565 3736201 295 54 337119 -0.54142 0.70589
148870 1 3752398 3771645 67 15 337119 -1.9009 0.97134
388588 1 3772761 3775982 12 5 337119 -0.43231 0.66724
57470 1 3780220 3796504 80 16 337119 -0.87011 0.80788
9731 1 3812081 3857387 284 18 337119 -0.35363 0.63819
1677 1 3857143 3885429 163 23 337119 -0.29137 0.61462
339448 1 3889133 3900293 41 8 337119 -0.14757 0.55866
55966 1 4655045 4792534 669 86 337119 0.72332 0.23474
261734 1 5862808 5992505 393 22 337119 -0.91076 0.81879
8514 1 5992298 6101193 304 48 337119 -0.99602 0.84038
26038 1 6101787 6180134 273 33 337119 -0.1927 0.5764
6146 1 6185020 6199619 35 7 337119 0.36982 0.35576
388591 1 6205775 6221299 34 5 337119 1.3441 0.089454
23463 1 6221193 6235984 28 6 337119 1.033 0.15081
390992 1 6244158 6245578 2 1 337119 0.52918 0.29834
387509 1 6247346 6260990 36 3 337119 -0.70235 0.75877
11332 1 6264272 6393766 409 26 337119 -1.2891 0.90132
54626 1 6415232 6424664 30 6 337119 -1.1326 0.87131
83715 1 6424776 6460944 104 12 337119 -0.50068 0.6917
8718 1 6461151 6466195 13 5 337119 0.13353 0.44689
57449 1 6466092 6520061 139 25 337119 -0.50112 0.69186
79707 1 6521347 6554598 101 3 337119 -0.88494 0.81191
80835 1 6555278 6579757 42 8 337119 -1.3872 0.91732
3104 1 6579991 6589280 9 4 337119 -0.38472 0.64978
9903 1 6590724 6602898 30 9 337119 -0.16892 0.56707
148479 1 6613696 6624033 18 4 337119 -0.83662 0.7986
90326 1 6624865 6635586 33 7 337119 -1.1397 0.87278
55735 1 6634168 6701906 144 18 337119 -0.63802 0.73827
23261 1 6785324 7769706 2727 225 337119 -0.4278 0.6656
9341 1 7771269 7781432 33 9 337119 -0.35991 0.64054
8863 1 7784380 7845181 215 27 337119 0.9063 0.18239
10911 1 7847612 7913610 303 28 337119 -0.25909 0.60222
3604 1 7915871 7943165 54 8 337119 -0.29865 0.6174
11315 1 7961654 7985283 50 10 337119 -0.96976 0.83392
54206 1 8011719 8026333 23 5 337119 -1.0324 0.84906
50651 1 8318085 8344167 82 14 337119 0.83744 0.20117
473 1 8352404 8817691 684 29 337119 -0.3163 0.62411
2023 1 8861000 8879092 25 5 337119 -0.11652 0.54638
765 1 8945785 8975092 117 26 337119 0.6278 0.26507
155184 1 8960853 9026384 218 55 337119 -0.4999 0.69143
6518 1 9036943 9071704 96 14 337119 0.18207 0.42776
80045 1 9103391 9129170 60 10 337119 -0.29837 0.61729
9563 1 9234776 9271337 98 19 337119 -0.677 0.7508
80176 1 9292882 9369532 329 48 337119 -1.1701 0.87901
84275 1 9539469 9582773 60 9 337119 -1.2377 0.89209
199953 1 9588853 9614877 37 8 337119 -0.70032 0.75814
5293 1 9629889 9729114 200 36 337119 -1.7194 0.95723
22883 1 9729021 9824526 130 17 337119 -0.89205 0.81382
56998 1 9848276 9910258 74 13 337119 -0.90131 0.81629
84328 1 9922110 9943402 44 10 337119 0.87966 0.18952
64802 1 9942923 9985501 88 14 337119 -0.15829 0.56289
105376719 1 9996423 9998089 10 3 337119 0.9479 0.17159
116362 1 9997197 10016020 36 5 337119 0.69479 0.24359
10277 1 10032983 10181239 307 18 337119 -0.76007 0.77639
23095 1 10210706 10381603 522 17 337119 -1.2277 0.89022
5226 1 10398992 10420511 50 8 337119 -1.3862 0.91715
378708 1 10430102 10442815 37 5 337119 -0.22043 0.58723
100526739 1 10430102 10452003 56 8 337119 -0.35224 0.63767
1325 1 10449719 10452003 5 2 337119 -0.29707 0.61679
1676 1 10460531 10472556 18 5 337119 -0.1797 0.57131
5195 1 10474946 10630758 368 29 337119 -0.83314 0.79762
54897 1 10636604 10796676 432 89 337119 -1.8956 0.97099
148345 1 10946473 10982037 125 18 337119 -0.40762 0.65822
23435 1 11012622 11025492 22 4 337119 -0.8633 0.80601
10747 1 11026523 11047239 56 7 337119 -0.68161 0.75226
6723 1 11054592 11060034 7 2 337119 1.1425 0.12663
5394 1 11066613 11099910 95 6 337119 0.7613 0.22324
2475 1 11106531 11262557 339 11 337119 0.94729 0.17175
10218 1 11189289 11195981 15 3 337119 0.89839 0.18449
29914 1 11273198 11296595 35 6 337119 -0.40856 0.65857
57540 1 11479238 11537583 150 16 337119 -1.1086 0.86621
26232 1 11648361 11654831 22 12 337119 0.39791 0.34535
93611 1 11654375 11663327 24 8 337119 0.2343 0.40738
26270 1 11664093 11674354 34 10 337119 -0.39633 0.65407
10459 1 11674480 11691788 65 14 337119 -0.40411 0.65693
374946 1 11686647 11720612 104 22 337119 0.82981 0.20332
57085 1 11735474 11750771 38 9 337119 -0.98123 0.83676
284498 1 11762183 11789585 149 11 337119 -1.0613 0.85572
4524 1 11785730 11806103 78 11 337119 -1.8786 0.96985
1185 1 11806096 11843144 194 15 337119 -1.6594 0.95149
4878 1 11845709 11847783 15 4 337119 -1.8259 0.96607
90231 1 11919588 11926428 21 7 337119 0.11662 0.45358
5351 1 11934667 11975542 106 11 337119 0.22227 0.41205
9927 1 11980181 12013515 89 10 337119 0.042076 0.48322
60672 1 12019242 12032049 22 5 337119 -1.3413 0.91009
943 1 12063330 12144207 206 43 337119 -1.9054 0.97164
7133 1 12166949 12209222 121 17 337119 -0.2477 0.59782
