GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 26475 -2.1176 0.98289
105378580 1 803398 805130 4 2 26475 -1.22 0.88876
148398 1 925741 944581 51 16 26475 -3.8932 0.99995
26155 1 944203 959299 41 9 26475 -3.0085 0.99869
339451 1 959952 965720 15 3 26475 -1.6811 0.95363
84069 1 966497 975108 24 10 26475 -2.6363 0.99581
84808 1 975199 982117 20 5 26475 -0.77976 0.78223
57801 1 998962 1001285 11 3 26475 -1.3813 0.9164
9636 1 1013467 1014540 2 1 26475 -0.71261 0.76196
375790 1 1020101 1056119 104 15 26475 -1.8963 0.97104
105369174 1 1061207 1066390 10 5 26475 -1.8302 0.96639
105378948 1 1065635 1069326 8 3 26475 -1.7067 0.95606
401934 1 1071746 1074307 5 2 26475 -1.7142 0.95676
54991 1 1081818 1116356 110 14 26475 -2.2311 0.98716
254173 1 1173898 1197935 136 19 26475 -1.3158 0.90588
8784 1 1203508 1206709 10 2 26475 -1.2184 0.88847
7293 1 1211326 1214638 8 3 26475 -0.43263 0.66736
51150 1 1216908 1232067 86 5 26475 -0.46844 0.68026
126792 1 1232249 1235041 6 2 26475 0.29088 0.38557
388581 1 1242446 1247218 13 3 26475 0.51176 0.30441
118424 1 1253912 1273854 38 8 26475 -1.3617 0.91335
6339 1 1280415 1292029 39 14 26475 -1.5298 0.93697
116983 1 1292384 1307925 41 10 26475 -1.5913 0.94423
126789 1 1308571 1311677 3 2 26475 -0.10916 0.54346
54973 1 1311585 1324687 17 6 26475 -0.68975 0.75483
80772 1 1324756 1328896 10 2 26475 -0.40375 0.6568
83756 1 1328999 1335320 21 7 26475 -1.532 0.93723
1855 1 1335278 1349158 29 8 26475 -1.2712 0.89818
54587 1 1352689 1363541 30 5 26475 -0.71973 0.76416
54998 1 1373730 1375438 8 4 26475 -0.785 0.78377
81669 1 1385711 1399338 21 7 26475 -0.25894 0.60216
55052 1 1401896 1407834 15 6 26475 -0.45192 0.67434
441869 1 1418420 1421820 10 4 26475 -0.90218 0.81652
643965 1 1426128 1427787 8 3 26475 -0.57756 0.71822
64856 1 1435523 1442882 14 4 26475 -0.34545 0.63512
219293 1 1441301 1470158 85 14 26475 -1.0206 0.84629
83858 1 1471732 1509479 89 21 26475 -1.5575 0.94033
55210 1 1512143 1534687 78 13 26475 -1.2987 0.90297
339453 1 1534778 1540360 12 7 26475 -1.3647 0.91383
29101 1 1541673 1574882 91 11 26475 -0.60212 0.72645
643988 1 1598008 1600096 2 1 26475 -1.9324 0.97334
142678 1 1614975 1630610 36 8 26475 -2.2273 0.98704
984 1 1635226 1659839 33 6 26475 -2.1829 0.98548
728661 1 1660025 1692804 73 17 26475 -3.1494 0.99918
728642 1 1702730 1724352 67 5 26475 -1.9063 0.9717
9906 1 1724838 1745999 62 11 26475 -2.5245 0.99421
65220 1 1751232 1780514 63 9 26475 -2.4121 0.99207
2782 1 1785285 1891117 152 23 26475 -3.696 0.99989
105378949 1 1885960 1893010 13 7 26475 -4.022 0.99997
163688 1 1913752 1917294 13 3 26475 -2.1729 0.98511
339456 1 1917589 1919301 5 2 26475 -2.347 0.99054
85452 1 1921951 2003837 312 26 26475 -2.3634 0.99095
2563 1 2019329 2030753 27 6 26475 -0.80077 0.78837
5590 1 2050470 2185395 376 30 26475 -1.2743 0.89872
100506504 1 2181811 2184360 4 2 26475 -0.83443 0.79798
199990 1 2184460 2212720 45 11 26475 -1.6306 0.94852
105378592 1 2208942 2215211 17 8 26475 -1.628 0.94824
6497 1 2228695 2310213 226 45 26475 -1.0795 0.85982
105378594 1 2280383 2284676 13 5 26475 -1.0921 0.86261
79906 1 2321253 2391751 280 35 26475 -1.9088 0.97186
11079 1 2391314 2405444 34 11 26475 -1.3925 0.91812
5192 1 2404802 2413780 22 8 26475 -1.4913 0.93205
9651 1 2415782 2505530 306 48 26475 -2.2777 0.98863
55229 1 2508531 2526628 38 6 26475 -1.8696 0.96923
388585 1 2528745 2530245 3 2 26475 -1.7754 0.96208
8764 1 2556365 2565622 19 6 26475 -2.1062 0.98241
127281 1 2586460 2591469 9 3 26475 -1.0087 0.84345
79258 1 2590639 2633042 145 10 26475 -1.5948 0.94462
100287898 1 2636988 2789665 85 13 26475 -2.0192 0.97826
140625 1 3021482 3022903 3 1 26475 0.50956 0.30518
63976 1 3068227 3438621 1308 166 26475 -1.8668 0.96903
27237 1 3454583 3481115 86 12 26475 -2.1708 0.98503
1953 1 3487942 3624757 542 83 26475 -1.2136 0.88756
127262 1 3624992 3630131 12 4 26475 -0.90955 0.81847
49856 1 3630767 3650107 30 10 26475 -1.514 0.93499
7161 1 3652565 3736201 277 53 26475 -2.5354 0.99438
148870 1 3752398 3771645 58 14 26475 0.61067 0.27071
388588 1 3772761 3775982 11 5 26475 -1.5715 0.94197
57470 1 3780220 3796504 79 16 26475 -1.4188 0.92202
9731 1 3812081 3857387 272 16 26475 -1.6343 0.94891
1677 1 3857143 3885429 157 22 26475 -0.2943 0.61574
339448 1 3889133 3900293 40 8 26475 -1.0619 0.85586
55966 1 4655045 4792534 641 86 26475 -2.4906 0.99362
261734 1 5862808 5992505 369 19 26475 -1.0077 0.84319
8514 1 5992298 6101193 289 46 26475 -2.0136 0.97797
26038 1 6101787 6180134 263 31 26475 -2.497 0.99374
6146 1 6185020 6199619 35 7 26475 -1.4125 0.92109
388591 1 6205775 6221299 31 5 26475 -1.3429 0.91035
23463 1 6221193 6235984 27 6 26475 -2.1836 0.9855
390992 1 6244158 6245578 2 1 26475 -1.6927 0.95474
387509 1 6247346 6260990 35 3 26475 -1.4019 0.91952
11332 1 6264272 6393766 392 26 26475 -0.97081 0.83418
54626 1 6415232 6424664 28 6 26475 -1.1277 0.87027
83715 1 6424776 6460944 100 12 26475 -0.83613 0.79846
8718 1 6461151 6466195 13 5 26475 0.59569 0.27569
57449 1 6466092 6520061 131 24 26475 0.37225 0.35485
79707 1 6521347 6554598 96 3 26475 -1.3326 0.90866
80835 1 6555278 6579757 38 8 26475 -1.6524 0.95077
3104 1 6579991 6589280 8 4 26475 -1.8066 0.96459
9903 1 6590724 6602898 26 8 26475 -1.81 0.96485
148479 1 6613696 6624033 16 4 26475 -0.9705 0.8341
90326 1 6624865 6635586 30 6 26475 -1.5055 0.9339
55735 1 6634168 6701906 139 17 26475 -1.859 0.96849
23261 1 6785324 7769706 2625 217 26475 -0.5004 0.6916
9341 1 7771269 7781432 31 9 26475 0.93892 0.17389
8863 1 7784380 7845181 200 27 26475 0.90764 0.18203
10911 1 7847612 7913610 289 28 26475 -0.20395 0.5808
3604 1 7915871 7943165 52 8 26475 0.14827 0.44106
11315 1 7961654 7985283 46 10 26475 1.2698 0.10208
54206 1 8011719 8026333 23 5 26475 1.3483 0.088778
50651 1 8318085 8344167 81 14 26475 -0.25168 0.59936
473 1 8352404 8817691 662 29 26475 1.6008 0.054706
2023 1 8861000 8879092 23 5 26475 -0.76031 0.77646
765 1 8945785 8975092 112 25 26475 -0.70972 0.76106
155184 1 8960853 9026384 210 54 26475 -0.44381 0.67141
6518 1 9036943 9071704 88 14 26475 0.18204 0.42777
80045 1 9103391 9129170 60 10 26475 -1.6364 0.94912
9563 1 9234776 9271337 91 18 26475 0.88931 0.18692
