GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 173480 0.24006 0.40514
105378580 1 803398 805130 4 2 173480 -0.33705 0.63196
148398 1 925741 944581 55 18 173480 -0.63482 0.73723
26155 1 944203 959299 45 9 173480 -0.7089 0.76081
339451 1 959952 965720 16 4 173480 -0.89684 0.8151
84069 1 966497 975108 26 11 173480 0.040117 0.484
84808 1 975199 982117 21 6 173480 -0.35282 0.63789
57801 1 998962 1001285 12 4 173480 1.1134 0.13278
9636 1 1013467 1014540 3 1 173480 -0.28589 0.61252
375790 1 1020101 1056119 107 15 173480 -0.29004 0.61411
105369174 1 1061207 1066390 10 5 173480 -1.6243 0.94784
105378948 1 1065635 1069326 10 3 173480 -0.91328 0.81945
401934 1 1071746 1074307 5 2 173480 -0.43844 0.66947
54991 1 1081818 1116356 114 14 173480 -0.37425 0.64589
254173 1 1173898 1197935 139 20 173480 -0.98345 0.83731
8784 1 1203508 1206709 10 2 173480 -0.31141 0.62225
7293 1 1211326 1214638 9 4 173480 0.58933 0.27782
51150 1 1216908 1232067 89 6 173480 0.71109 0.23852
126792 1 1232249 1235041 7 2 173480 -0.15579 0.5619
388581 1 1242446 1247218 13 3 173480 0.85543 0.19616
118424 1 1253912 1273854 41 7 173480 -1.1247 0.86964
6339 1 1280415 1292029 42 15 173480 -2.1049 0.98235
116983 1 1292384 1307925 43 10 173480 -0.6505 0.74232
126789 1 1308571 1311677 3 2 173480 0.0066703 0.49734
54973 1 1311585 1324687 18 6 173480 -0.66884 0.7482
80772 1 1324756 1328896 10 2 173480 -0.55258 0.70973
83756 1 1328999 1335320 22 7 173480 -1.2188 0.88854
1855 1 1335278 1349158 30 8 173480 -1.0078 0.84323
54587 1 1352689 1363541 35 6 173480 -0.55365 0.71009
54998 1 1373730 1375438 8 4 173480 -0.20565 0.58147
81669 1 1385711 1399338 21 7 173480 -1.0482 0.85273
55052 1 1401896 1407834 15 6 173480 -0.55046 0.709
441869 1 1418420 1421820 10 4 173480 -0.89747 0.81526
643965 1 1426128 1427787 8 3 173480 0.10254 0.45916
64856 1 1435523 1442882 14 4 173480 -1.7442 0.95944
219293 1 1441301 1470158 87 14 173480 -1.2099 0.88684
83858 1 1471732 1509479 92 21 173480 0.12944 0.4485
55210 1 1512143 1534687 82 13 173480 -0.81477 0.7924
339453 1 1534778 1540360 12 7 173480 -0.25975 0.60247
29101 1 1541673 1574882 94 11 173480 0.37515 0.35378
643988 1 1598008 1600096 2 1 173480 0.28308 0.38856
142678 1 1614975 1630610 37 8 173480 -1.1163 0.86786
984 1 1635226 1659839 33 6 173480 0.74527 0.22805
728661 1 1660025 1692804 76 17 173480 -0.012187 0.50486
728642 1 1702730 1724352 68 5 173480 1.4542 0.072951
9906 1 1724838 1745999 64 11 173480 -0.026037 0.51039
65220 1 1751232 1780514 67 10 173480 -1.0896 0.86206
2782 1 1785285 1891117 157 23 173480 -0.70964 0.76104
105378949 1 1885960 1893010 13 7 173480 -0.77494 0.78081
163688 1 1913752 1917294 13 3 173480 -1.2142 0.88767
339456 1 1917589 1919301 5 2 173480 -2.5647 0.99484
85452 1 1921951 2003837 326 28 173480 -0.20391 0.58079
2563 1 2019329 2030753 29 7 173480 -0.67437 0.74996
5590 1 2050470 2185395 397 31 173480 -0.95436 0.83005
100506504 1 2181811 2184360 4 2 173480 0.039275 0.48434
199990 1 2184460 2212720 51 12 173480 -0.39566 0.65382
105378592 1 2208942 2215211 19 9 173480 -0.069256 0.52761
6497 1 2228695 2310213 237 46 173480 -0.86624 0.80682
105378594 1 2280383 2284676 14 5 173480 1.1676 0.12148
79906 1 2321253 2391751 294 36 173480 4.0237 2.8642e-05
11079 1 2391314 2405444 36 11 173480 2.3601 0.0091349
5192 1 2404802 2413780 22 8 173480 3.3568 0.00039429
9651 1 2415782 2505530 316 45 173480 0.93036 0.17609
55229 1 2508531 2526628 38 6 173480 1.0503 0.1468
388585 1 2528745 2530245 3 2 173480 -0.16077 0.56386
8764 1 2556365 2565622 19 6 173480 0.01213 0.49516
127281 1 2586460 2591469 10 3 173480 -0.94626 0.82799
79258 1 2590639 2633042 148 10 173480 0.044703 0.48217
100287898 1 2636988 2789665 90 13 173480 -0.34516 0.63501
140625 1 3021482 3022903 4 2 173480 0.76013 0.22359
63976 1 3068227 3438621 1366 170 173480 0.020479 0.49183
27237 1 3454583 3481115 91 13 173480 0.1996 0.4209
1953 1 3487942 3624757 563 84 173480 0.28034 0.38961
127262 1 3624992 3630131 12 4 173480 0.20316 0.41951
49856 1 3630767 3650107 32 10 173480 -0.60749 0.72824
7161 1 3652565 3736201 291 54 173480 1.2002 0.11504
148870 1 3752398 3771645 63 15 173480 0.32159 0.37388
388588 1 3772761 3775982 12 5 173480 3.142 0.00083911
57470 1 3780220 3796504 80 16 173480 0.84718 0.19845
9731 1 3812081 3857387 279 18 173480 2.4394 0.0073562
1677 1 3857143 3885429 160 23 173480 3.4326 0.00029894
339448 1 3889133 3900293 41 8 173480 2.061 0.019652
55966 1 4655045 4792534 666 87 173480 -1.7462 0.95961
261734 1 5862808 5992505 382 20 173480 0.62574 0.26574
8514 1 5992298 6101193 300 48 173480 2.0059 0.022432
26038 1 6101787 6180134 268 31 173480 -0.50348 0.69269
6146 1 6185020 6199619 35 7 173480 -1.7974 0.96386
388591 1 6205775 6221299 32 5 173480 -1.7216 0.95743
23463 1 6221193 6235984 27 6 173480 -0.66789 0.7479
390992 1 6244158 6245578 2 1 173480 -0.74626 0.77225
387509 1 6247346 6260990 35 3 173480 -0.77201 0.77995
11332 1 6264272 6393766 410 25 173480 2.1727 0.014901
54626 1 6415232 6424664 29 6 173480 2.535 0.0056219
83715 1 6424776 6460944 103 12 173480 2.8876 0.0019408
8718 1 6461151 6466195 13 5 173480 2.2944 0.010883
