GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 120000 -0.49591 0.69002
105378580 1 803398 805130 4 2 120000 -0.18176 0.57212
148398 1 925741 944581 52 17 120000 -1.8194 0.96557
26155 1 944203 959299 42 9 120000 -0.93413 0.82488
339451 1 959952 965720 15 3 120000 -0.81913 0.79364
84069 1 966497 975108 25 11 120000 -1.2516 0.89464
84808 1 975199 982117 20 5 120000 -0.91377 0.81958
57801 1 998962 1001285 12 4 120000 -0.6378 0.7382
9636 1 1013467 1014540 3 1 120000 -0.86494 0.80646
375790 1 1020101 1056119 109 14 120000 -0.96142 0.83183
105369174 1 1061207 1066390 10 5 120000 -0.16112 0.564
105378948 1 1065635 1069326 10 3 120000 -0.19965 0.57912
401934 1 1071746 1074307 6 2 120000 -1.0839 0.86079
54991 1 1081818 1116356 113 14 120000 -0.99825 0.84092
254173 1 1173898 1197935 143 20 120000 1.4378 0.075251
8784 1 1203508 1206709 10 2 120000 1.7151 0.043164
7293 1 1211326 1214638 8 3 120000 0.98442 0.16245
51150 1 1216908 1232067 93 6 120000 0.45306 0.32525
126792 1 1232249 1235041 7 2 120000 1.2215 0.11095
388581 1 1242446 1247218 13 3 120000 1.1977 0.11552
118424 1 1253912 1273854 42 7 120000 1.4128 0.078857
6339 1 1280415 1292029 44 16 120000 3.0279 0.0012315
116983 1 1292384 1307925 44 10 120000 3.3336 0.00042872
126789 1 1308571 1311677 5 3 120000 2.5298 0.0057069
54973 1 1311585 1324687 19 6 120000 3.2949 0.00049229
80772 1 1324756 1328896 10 2 120000 2.8415 0.0022452
83756 1 1328999 1335320 25 7 120000 2.5409 0.005529
1855 1 1335278 1349158 34 9 120000 1.8897 0.029396
54587 1 1352689 1363541 36 6 120000 2.7574 0.0029129
54998 1 1373730 1375438 8 4 120000 0.16534 0.43434
81669 1 1385711 1399338 21 7 120000 2.0057 0.022444
55052 1 1401896 1407834 15 6 120000 1.6425 0.050244
441869 1 1418420 1421820 10 4 120000 1.7481 0.040227
643965 1 1426128 1427787 8 3 120000 1.1651 0.12198
64856 1 1435523 1442882 14 4 120000 1.1844 0.11813
219293 1 1441301 1470158 87 15 120000 3.0332 0.0012099
83858 1 1471732 1509479 93 20 120000 2.0709 0.019186
55210 1 1512143 1534687 80 13 120000 1.1678 0.12144
339453 1 1534778 1540360 12 7 120000 0.67648 0.24937
29101 1 1541673 1574882 91 11 120000 0.76687 0.22158
643988 1 1598008 1600096 2 1 120000 -0.31064 0.62196
142678 1 1614975 1630610 36 8 120000 -0.97018 0.83402
984 1 1635226 1659839 34 6 120000 -0.0078352 0.50313
728661 1 1660025 1692804 73 17 120000 -0.58599 0.72106
728642 1 1702730 1724352 68 5 120000 -1.12 0.86865
9906 1 1724838 1745999 65 10 120000 0.28059 0.38951
65220 1 1751232 1780514 68 10 120000 -0.23907 0.59448
2782 1 1785285 1891117 161 24 120000 -0.64885 0.74178
105378949 1 1885960 1893010 14 7 120000 -1.3762 0.91562
163688 1 1913752 1917294 13 3 120000 0.39882 0.34501
339456 1 1917589 1919301 6 3 120000 0.25884 0.39788
85452 1 1921951 2003837 333 29 120000 -1.1402 0.87289
2563 1 2019329 2030753 30 7 120000 -0.48469 0.68605
5590 1 2050470 2185395 401 31 120000 -0.45629 0.67591
100506504 1 2181811 2184360 4 2 120000 -0.85916 0.80487
199990 1 2184460 2212720 51 12 120000 -0.45667 0.67605
