GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 -0.18219 0.57229
105378580 1 803398 805130 4 2 337119 -0.27036 0.60656
148398 1 925741 944581 54 17 337119 0.41426 0.33934
26155 1 944203 959299 49 8 337119 -0.61712 0.73142
339451 1 959952 965720 17 4 337119 -0.83751 0.79885
84069 1 966497 975108 29 13 337119 -0.9911 0.83918
84808 1 975199 982117 22 6 337119 -0.076211 0.53037
57801 1 998962 1001285 12 4 337119 2.3447 0.0095223
9636 1 1013467 1014540 5 2 337119 0.78786 0.21539
375790 1 1020101 1056119 115 16 337119 0.26331 0.39616
105369174 1 1061207 1066390 10 5 337119 0.15572 0.43813
105378948 1 1065635 1069326 10 3 337119 0.53832 0.29518
401934 1 1071746 1074307 6 2 337119 0.3065 0.37961
54991 1 1081818 1116356 114 14 337119 0.48969 0.31218
254173 1 1173898 1197935 143 20 337119 -0.32223 0.62636
8784 1 1203508 1206709 10 2 337119 -1.5037 0.93367
7293 1 1211326 1214638 8 3 337119 0.95252 0.17042
51150 1 1216908 1232067 93 6 337119 -0.69775 0.75733
126792 1 1232249 1235041 7 2 337119 0.79184 0.21423
388581 1 1242446 1247218 13 3 337119 0.19069 0.42439
118424 1 1253912 1273854 42 7 337119 -0.1637 0.56502
6339 1 1280415 1292029 43 15 337119 -0.61256 0.72992
116983 1 1292384 1307925 43 10 337119 -0.18961 0.57519
126789 1 1308571 1311677 5 3 337119 0.87334 0.19124
54973 1 1311585 1324687 19 6 337119 -0.90785 0.81802
80772 1 1324756 1328896 10 2 337119 -1.4076 0.92037
83756 1 1328999 1335320 26 8 337119 -1.2879 0.9011
1855 1 1335278 1349158 34 9 337119 -2.4309 0.99247
54587 1 1352689 1363541 36 6 337119 -1.3577 0.91273
54998 1 1373730 1375438 8 4 337119 -0.86166 0.80556
81669 1 1385711 1399338 21 7 337119 -0.33357 0.63065
55052 1 1401896 1407834 15 6 337119 -0.29838 0.61729
441869 1 1418420 1421820 10 4 337119 -1.2556 0.89537
643965 1 1426128 1427787 8 3 337119 0.08633 0.4656
64856 1 1435523 1442882 15 4 337119 -2.1732 0.98512
219293 1 1441301 1470158 88 15 337119 -0.9931 0.83967
83858 1 1471732 1509479 90 21 337119 -0.031154 0.51243
55210 1 1512143 1534687 80 13 337119 1.4103 0.079231
339453 1 1534778 1540360 12 7 337119 0.090021 0.46414
29101 1 1541673 1574882 93 11 337119 0.42567 0.33518
643988 1 1598008 1600096 2 1 337119 0.46088 0.32244
142678 1 1614975 1630610 39 9 337119 1.2706 0.10194
984 1 1635226 1659839 33 6 337119 1.974 0.024194
728661 1 1660025 1692804 75 16 337119 1.5705 0.058154
728642 1 1702730 1724352 68 5 337119 0.52807 0.29872
