GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 180423 -1.8564 0.9683
105378580 1 803398 805130 4 2 180423 -0.58654 0.72124
148398 1 925741 944581 51 16 180423 -3.388 0.99965
26155 1 944203 959299 41 9 180423 -1.9294 0.97316
339451 1 959952 965720 15 3 180423 -1.1512 0.87518
84069 1 966497 975108 24 10 180423 -2.6754 0.99627
84808 1 975199 982117 20 5 180423 -0.96516 0.83277
57801 1 998962 1001285 11 3 180423 -0.70682 0.76016
9636 1 1013467 1014540 2 1 180423 -0.51249 0.69585
375790 1 1020101 1056119 105 15 180423 -1.5775 0.94266
105369174 1 1061207 1066390 10 5 180423 -0.96549 0.83285
105378948 1 1065635 1069326 8 3 180423 -0.56548 0.71413
401934 1 1071746 1074307 5 2 180423 -1.1536 0.87567
54991 1 1081818 1116356 110 14 180423 -2.1079 0.98248
254173 1 1173898 1197935 137 20 180423 -2.2257 0.98698
8784 1 1203508 1206709 10 2 180423 -0.17971 0.57131
7293 1 1211326 1214638 8 3 180423 -0.60847 0.72856
51150 1 1216908 1232067 86 5 180423 -0.13854 0.55509
126792 1 1232249 1235041 6 2 180423 0.58018 0.2809
388581 1 1242446 1247218 13 3 180423 0.36017 0.35936
118424 1 1253912 1273854 40 7 180423 -0.24509 0.59681
6339 1 1280415 1292029 40 14 180423 -1.4079 0.92041
116983 1 1292384 1307925 42 10 180423 0.61216 0.27022
126789 1 1308571 1311677 4 2 180423 -0.83051 0.79687
54973 1 1311585 1324687 17 6 180423 0.80471 0.21049
80772 1 1324756 1328896 10 2 180423 0.35759 0.36032
83756 1 1328999 1335320 22 7 180423 0.27698 0.3909
1855 1 1335278 1349158 29 8 180423 0.42149 0.3367
54587 1 1352689 1363541 30 5 180423 0.084281 0.46642
54998 1 1373730 1375438 8 4 180423 1.0011 0.15839
81669 1 1385711 1399338 21 7 180423 0.73417 0.23142
55052 1 1401896 1407834 15 6 180423 0.98943 0.16123
441869 1 1418420 1421820 10 4 180423 1.1524 0.12458
643965 1 1426128 1427787 8 3 180423 -0.33724 0.63203
64856 1 1435523 1442882 14 4 180423 -1.1407 0.873
219293 1 1441301 1470158 85 14 180423 -0.29068 0.61435
83858 1 1471732 1509479 90 20 180423 -0.44531 0.67195
55210 1 1512143 1534687 78 13 180423 -0.24324 0.59609
339453 1 1534778 1540360 12 7 180423 -0.78573 0.78399
29101 1 1541673 1574882 91 11 180423 0.14193 0.44357
643988 1 1598008 1600096 2 1 180423 -0.63698 0.73793
142678 1 1614975 1630610 36 8 180423 -1.7733 0.96191
984 1 1635226 1659839 33 6 180423 -1.4551 0.92718
728661 1 1660025 1692804 73 17 180423 -2.0667 0.98062
728642 1 1702730 1724352 67 5 180423 0.19573 0.42241
9906 1 1724838 1745999 62 11 180423 -1.1939 0.88375
65220 1 1751232 1780514 63 9 180423 1.777 0.037782
2782 1 1785285 1891117 154 23 180423 1.7242 0.042331
105378949 1 1885960 1893010 14 7 180423 0.45962 0.32289
163688 1 1913752 1917294 13 3 180423 1.6119 0.053487
339456 1 1917589 1919301 5 2 180423 0.97135 0.16569
85452 1 1921951 2003837 312 26 180423 0.17373 0.43104
2563 1 2019329 2030753 27 6 180423 -1.5533 0.93982
5590 1 2050470 2185395 379 30 180423 -1.3034 0.90379
100506504 1 2181811 2184360 4 2 180423 -1.6169 0.94705
199990 1 2184460 2212720 46 10 180423 -1.5516 0.93962
105378592 1 2208942 2215211 17 8 180423 -1.7663 0.96133
6497 1 2228695 2310213 231 45 180423 -1.0646 0.85648
105378594 1 2280383 2284676 13 5 180423 -1.9866 0.97651
79906 1 2321253 2391751 282 34 180423 -1.27 0.89795
11079 1 2391314 2405444 34 11 180423 -0.38489 0.64984
5192 1 2404802 2413780 22 8 180423 -1.0407 0.85099
9651 1 2415782 2505530 306 48 180423 2.4252 0.007649
55229 1 2508531 2526628 39 6 180423 -0.20494 0.58119
388585 1 2528745 2530245 3 2 180423 0.096023 0.46175
8764 1 2556365 2565622 19 6 180423 2.3717 0.0088522
127281 1 2586460 2591469 9 3 180423 1.0771 0.14072
79258 1 2590639 2633042 146 10 180423 1.0053 0.15738
100287898 1 2636988 2789665 85 13 180423 1.227 0.10991
140625 1 3021482 3022903 4 2 180423 -0.29287 0.61519
63976 1 3068227 3438621 1321 166 180423 0.12955 0.44846
27237 1 3454583 3481115 87 12 180423 -1.4827 0.93092
1953 1 3487942 3624757 543 86 180423 -2.0227 0.97845
127262 1 3624992 3630131 12 4 180423 -1.044 0.85176
49856 1 3630767 3650107 31 10 180423 -1.7516 0.96008
7161 1 3652565 3736201 279 53 180423 0.44472 0.32826
148870 1 3752398 3771645 60 14 180423 -0.2562 0.6011
388588 1 3772761 3775982 11 5 180423 -0.20303 0.58044
57470 1 3780220 3796504 80 16 180423 0.64787 0.25854
9731 1 3812081 3857387 276 16 180423 0.26626 0.39502
1677 1 3857143 3885429 157 22 180423 -0.77899 0.78201
339448 1 3889133 3900293 41 8 180423 0.58176 0.28036
55966 1 4655045 4792534 650 81 180423 -1.0741 0.8586
261734 1 5862808 5992505 377 21 180423 -0.058626 0.52338
8514 1 5992298 6101193 294 46 180423 -2.5994 0.99533
26038 1 6101787 6180134 265 32 180423 -1.7191 0.9572
6146 1 6185020 6199619 35 7 180423 -2.0612 0.98036
388591 1 6205775 6221299 32 5 180423 -0.11976 0.54766
23463 1 6221193 6235984 27 6 180423 -1.271 0.89814
390992 1 6244158 6245578 2 1 180423 -0.34026 0.63317
387509 1 6247346 6260990 35 3 180423 -0.58545 0.72088
11332 1 6264272 6393766 393 26 180423 -0.35761 0.63968
54626 1 6415232 6424664 28 6 180423 -0.43445 0.66802
83715 1 6424776 6460944 100 12 180423 -0.61717 0.73144
8718 1 6461151 6466195 13 5 180423 -0.75564 0.77507
57449 1 6466092 6520061 131 24 180423 1.282 0.099929
79707 1 6521347 6554598 97 3 180423 1.2504 0.10557
80835 1 6555278 6579757 38 8 180423 1.3378 0.090476
3104 1 6579991 6589280 8 4 180423 1.2355 0.10832
9903 1 6590724 6602898 26 8 180423 3.0137 0.0012905
148479 1 6613696 6624033 16 4 180423 3.1816 0.00073231
90326 1 6624865 6635586 31 6 180423 2.2085 0.013606
55735 1 6634168 6701906 139 17 180423 3.5525 0.00019081
23261 1 6785324 7769706 2655 223 180423 0.04046 0.48386
9341 1 7771269 7781432 31 9 180423 -1.2982 0.90288
8863 1 7784380 7845181 204 27 180423 -2.0165 0.97812
10911 1 7847612 7913610 291 29 180423 -1.0994 0.86421
3604 1 7915871 7943165 52 8 180423 0.96392 0.16754
11315 1 7961654 7985283 48 10 180423 1.0484 0.14723
54206 1 8011719 8026333 23 5 180423 0.73555 0.231
50651 1 8318085 8344167 82 14 180423 -0.17611 0.5699
473 1 8352404 8817691 668 29 180423 4.1744 1.4941e-05
