GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 188578 -1.7209 0.95737
105378580 1 803398 805130 4 2 188578 -0.85021 0.8024
148398 1 925741 944581 51 16 188578 -3.779 0.99992
26155 1 944203 959299 41 9 188578 -2.3842 0.99144
339451 1 959952 965720 15 3 188578 -1.9604 0.97502
84069 1 966497 975108 24 10 188578 -1.706 0.956
84808 1 975199 982117 20 5 188578 -0.78613 0.7841
57801 1 998962 1001285 11 3 188578 -0.21357 0.58456
9636 1 1013467 1014540 2 1 188578 0.063805 0.47456
375790 1 1020101 1056119 105 15 188578 -0.20608 0.58164
105369174 1 1061207 1066390 10 5 188578 -1.025 0.84732
105378948 1 1065635 1069326 8 3 188578 -0.97215 0.83451
401934 1 1071746 1074307 5 2 188578 0.20633 0.41827
54991 1 1081818 1116356 110 14 188578 0.65834 0.25516
254173 1 1173898 1197935 137 20 188578 -2.99 0.99861
8784 1 1203508 1206709 10 2 188578 -0.15493 0.56156
7293 1 1211326 1214638 8 3 188578 -0.8219 0.79443
51150 1 1216908 1232067 86 5 188578 -0.6438 0.74015
126792 1 1232249 1235041 6 2 188578 -0.3994 0.6552
388581 1 1242446 1247218 13 3 188578 -1.3364 0.9093
118424 1 1253912 1273854 40 7 188578 -0.76993 0.77933
6339 1 1280415 1292029 40 14 188578 -1.5238 0.93622
116983 1 1292384 1307925 42 10 188578 -0.42055 0.66296
126789 1 1308571 1311677 4 2 188578 -0.67052 0.74874
54973 1 1311585 1324687 17 6 188578 -0.4344 0.668
80772 1 1324756 1328896 10 2 188578 0.74501 0.22813
83756 1 1328999 1335320 21 7 188578 0.04855 0.48064
1855 1 1335278 1349158 29 8 188578 0.088468 0.46475
54587 1 1352689 1363541 30 5 188578 0.71246 0.23809
54998 1 1373730 1375438 8 4 188578 -0.13675 0.55439
81669 1 1385711 1399338 21 7 188578 -0.38716 0.65068
55052 1 1401896 1407834 15 6 188578 -0.076701 0.53057
441869 1 1418420 1421820 10 4 188578 0.14122 0.44385
643965 1 1426128 1427787 8 3 188578 -1.1118 0.86689
64856 1 1435523 1442882 14 4 188578 -1.2249 0.88969
219293 1 1441301 1470158 85 14 188578 -2.1964 0.98597
83858 1 1471732 1509479 89 21 188578 -2.8243 0.99763
55210 1 1512143 1534687 78 13 188578 -2.5779 0.99503
339453 1 1534778 1540360 12 7 188578 -1.4995 0.93313
29101 1 1541673 1574882 91 11 188578 -0.54477 0.70704
643988 1 1598008 1600096 2 1 188578 -0.93162 0.82423
142678 1 1614975 1630610 36 8 188578 -1.2388 0.8923
984 1 1635226 1659839 33 6 188578 -1.2835 0.90035
728661 1 1660025 1692804 73 17 188578 -1.8438 0.96739
728642 1 1702730 1724352 67 5 188578 0.5297 0.29816
9906 1 1724838 1745999 62 11 188578 0.22209 0.41212
65220 1 1751232 1780514 63 9 188578 0.71138 0.23842
2782 1 1785285 1891117 154 23 188578 0.33237 0.36981
105378949 1 1885960 1893010 14 7 188578 0.18187 0.42784
163688 1 1913752 1917294 13 3 188578 0.17765 0.4295
339456 1 1917589 1919301 5 2 188578 0.17869 0.42909
85452 1 1921951 2003837 312 26 188578 -0.9721 0.8345
2563 1 2019329 2030753 27 6 188578 -1.8014 0.96418
5590 1 2050470 2185395 379 30 188578 -0.90686 0.81776
100506504 1 2181811 2184360 4 2 188578 -0.26288 0.60368
199990 1 2184460 2212720 46 10 188578 -0.5978 0.72501
105378592 1 2208942 2215211 17 8 188578 -0.46332 0.67843
6497 1 2228695 2310213 231 45 188578 0.097376 0.46121
105378594 1 2280383 2284676 13 5 188578 -1.6456 0.95008
79906 1 2321253 2391751 280 35 188578 1.4711 0.070636
11079 1 2391314 2405444 34 11 188578 1.2703 0.10199
5192 1 2404802 2413780 22 8 188578 0.4975 0.30942
9651 1 2415782 2505530 306 48 188578 -0.84335 0.80048
55229 1 2508531 2526628 38 6 188578 -0.46717 0.67981
388585 1 2528745 2530245 3 2 188578 -0.34862 0.63631
8764 1 2556365 2565622 19 6 188578 -0.53733 0.70448
127281 1 2586460 2591469 9 3 188578 -0.46325 0.67841
79258 1 2590639 2633042 146 10 188578 -0.15466 0.56146
100287898 1 2636988 2789665 85 13 188578 -0.039383 0.51571
140625 1 3021482 3022903 4 2 188578 -0.39104 0.65212
63976 1 3068227 3438621 1316 167 188578 -0.79306 0.78613
27237 1 3454583 3481115 87 12 188578 -0.74913 0.77311
1953 1 3487942 3624757 543 86 188578 -2.5278 0.99426
127262 1 3624992 3630131 12 4 188578 -0.12058 0.54799
49856 1 3630767 3650107 31 10 188578 0.87417 0.19101
7161 1 3652565 3736201 279 53 188578 -2.6676 0.99618
148870 1 3752398 3771645 60 14 188578 0.77737 0.21847
388588 1 3772761 3775982 11 5 188578 1.4988 0.066957
57470 1 3780220 3796504 80 16 188578 0.32693 0.37186
9731 1 3812081 3857387 276 16 188578 1.1537 0.12431
1677 1 3857143 3885429 157 22 188578 -0.44405 0.6715
339448 1 3889133 3900293 41 8 188578 -1.3185 0.90633
55966 1 4655045 4792534 646 84 188578 -1.7661 0.96131
261734 1 5862808 5992505 377 21 188578 -1.53 0.93699
8514 1 5992298 6101193 293 46 188578 -1.3826 0.9166
26038 1 6101787 6180134 264 32 188578 -0.88739 0.81257
6146 1 6185020 6199619 35 7 188578 1.0921 0.1374
388591 1 6205775 6221299 32 5 188578 -1.4257 0.92302
23463 1 6221193 6235984 27 6 188578 -1.1295 0.87066
390992 1 6244158 6245578 2 1 188578 0.71753 0.23652
387509 1 6247346 6260990 36 3 188578 0.86807 0.19268
11332 1 6264272 6393766 393 26 188578 -0.30531 0.61994
54626 1 6415232 6424664 28 6 188578 -1.4393 0.92497
83715 1 6424776 6460944 100 12 188578 -0.91407 0.81966
