GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 173480 -0.37679 0.64683
105378580 1 803398 805130 4 2 173480 -0.69984 0.75799
148398 1 925741 944581 55 18 173480 0.64688 0.25885
26155 1 944203 959299 45 9 173480 -1.4195 0.92212
339451 1 959952 965720 16 4 173480 -1.1102 0.86655
84069 1 966497 975108 26 11 173480 1.8604 0.031414
84808 1 975199 982117 21 6 173480 1.802 0.035773
57801 1 998962 1001285 12 4 173480 1.1831 0.11838
9636 1 1013467 1014540 3 1 173480 -0.29611 0.61643
375790 1 1020101 1056119 107 15 173480 0.48557 0.31364
105369174 1 1061207 1066390 10 5 173480 0.22959 0.4092
105378948 1 1065635 1069326 10 3 173480 1.1801 0.11898
401934 1 1071746 1074307 5 2 173480 1.487 0.068513
54991 1 1081818 1116356 114 14 173480 -0.26834 0.60578
254173 1 1173898 1197935 139 20 173480 1.1267 0.12994
8784 1 1203508 1206709 10 2 173480 -0.39591 0.65391
7293 1 1211326 1214638 9 4 173480 1.9007 0.028669
51150 1 1216908 1232067 89 6 173480 1.2009 0.11489
126792 1 1232249 1235041 7 2 173480 2.3581 0.0091856
388581 1 1242446 1247218 13 3 173480 0.18884 0.42511
118424 1 1253912 1273854 41 7 173480 0.37776 0.35281
6339 1 1280415 1292029 42 15 173480 -0.45299 0.67472
116983 1 1292384 1307925 43 10 173480 -0.73611 0.76917
126789 1 1308571 1311677 3 2 173480 -1.6123 0.94655
54973 1 1311585 1324687 18 6 173480 -0.22837 0.59032
80772 1 1324756 1328896 10 2 173480 -0.28976 0.614
83756 1 1328999 1335320 22 7 173480 -0.14317 0.55692
1855 1 1335278 1349158 30 8 173480 -0.24813 0.59798
54587 1 1352689 1363541 35 6 173480 -0.38733 0.65074
54998 1 1373730 1375438 8 4 173480 1.0799 0.14009
81669 1 1385711 1399338 21 7 173480 0.45465 0.32468
55052 1 1401896 1407834 15 6 173480 0.82881 0.20361
441869 1 1418420 1421820 10 4 173480 0.63404 0.26303
643965 1 1426128 1427787 8 3 173480 -0.17863 0.57089
64856 1 1435523 1442882 14 4 173480 -0.5245 0.70003
219293 1 1441301 1470158 87 14 173480 -0.47471 0.6825
83858 1 1471732 1509479 92 21 173480 1.3849 0.083046
55210 1 1512143 1534687 82 13 173480 2.1061 0.017598
339453 1 1534778 1540360 12 7 173480 0.87486 0.19082
29101 1 1541673 1574882 94 11 173480 0.91279 0.18068
643988 1 1598008 1600096 2 1 173480 0.12671 0.44958
142678 1 1614975 1630610 37 8 173480 -0.38037 0.64816
984 1 1635226 1659839 33 6 173480 2.0796 0.01878
728661 1 1660025 1692804 76 17 173480 0.52509 0.29976
728642 1 1702730 1724352 68 5 173480 1.7862 0.037032
9906 1 1724838 1745999 64 11 173480 0.076118 0.46966
65220 1 1751232 1780514 67 10 173480 0.13033 0.44815
2782 1 1785285 1891117 157 23 173480 -0.50675 0.69384
105378949 1 1885960 1893010 13 7 173480 0.19127 0.42416
163688 1 1913752 1917294 13 3 173480 0.55374 0.28988
339456 1 1917589 1919301 5 2 173480 0.64382 0.25985
85452 1 1921951 2003837 326 28 173480 -0.015097 0.50602
2563 1 2019329 2030753 29 7 173480 -0.89795 0.81539
5590 1 2050470 2185395 397 31 173480 1.7734 0.038084
100506504 1 2181811 2184360 4 2 173480 1.3065 0.095685
199990 1 2184460 2212720 51 12 173480 1.8607 0.031394
105378592 1 2208942 2215211 19 9 173480 3.5368 0.00020249
6497 1 2228695 2310213 237 46 173480 2.5453 0.0054599
105378594 1 2280383 2284676 14 5 173480 2.3746 0.0087843
79906 1 2321253 2391751 294 36 173480 1.2238 0.11052
11079 1 2391314 2405444 36 11 173480 -0.10567 0.54208
5192 1 2404802 2413780 22 8 173480 -0.95395 0.82995
9651 1 2415782 2505530 316 45 173480 1.1727 0.12046
