GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 -0.28796 0.61331
105378580 1 803398 805130 4 2 337119 0.84097 0.20018
148398 1 925741 944581 54 17 337119 -0.21 0.58317
26155 1 944203 959299 49 8 337119 -0.49388 0.68931
339451 1 959952 965720 17 4 337119 -0.58231 0.71982
84069 1 966497 975108 29 13 337119 0.20758 0.41778
84808 1 975199 982117 22 6 337119 -0.66044 0.74551
57801 1 998962 1001285 12 4 337119 -0.46399 0.67867
9636 1 1013467 1014540 5 2 337119 0.44557 0.32795
375790 1 1020101 1056119 115 16 337119 -0.61645 0.7312
105369174 1 1061207 1066390 10 5 337119 0.15843 0.43706
105378948 1 1065635 1069326 10 3 337119 -0.57772 0.71827
401934 1 1071746 1074307 6 2 337119 -0.99124 0.83921
54991 1 1081818 1116356 114 14 337119 1.1323 0.12875
254173 1 1173898 1197935 143 20 337119 0.46903 0.31952
8784 1 1203508 1206709 10 2 337119 0.98361 0.16265
7293 1 1211326 1214638 8 3 337119 -1.0688 0.85741
51150 1 1216908 1232067 93 6 337119 -0.41807 0.66205
126792 1 1232249 1235041 7 2 337119 -0.3785 0.64747
388581 1 1242446 1247218 13 3 337119 -0.57807 0.71839
118424 1 1253912 1273854 42 7 337119 -0.32308 0.62668
6339 1 1280415 1292029 43 15 337119 0.042723 0.48296
116983 1 1292384 1307925 43 10 337119 -0.71096 0.76145
126789 1 1308571 1311677 5 3 337119 -1.7842 0.96281
54973 1 1311585 1324687 19 6 337119 -1.552 0.93967
80772 1 1324756 1328896 10 2 337119 -1.7778 0.96228
83756 1 1328999 1335320 26 8 337119 -0.56984 0.71561
1855 1 1335278 1349158 34 9 337119 -1.2557 0.89539
54587 1 1352689 1363541 36 6 337119 -1.2696 0.89788
54998 1 1373730 1375438 8 4 337119 -1.5658 0.9413
81669 1 1385711 1399338 21 7 337119 -1.5001 0.9332
55052 1 1401896 1407834 15 6 337119 -1.3129 0.90539
441869 1 1418420 1421820 10 4 337119 -0.78075 0.78253
643965 1 1426128 1427787 8 3 337119 -1.2693 0.89782
64856 1 1435523 1442882 15 4 337119 0.17085 0.43217
219293 1 1441301 1470158 88 15 337119 -0.10818 0.54307
83858 1 1471732 1509479 90 21 337119 -0.5728 0.71661
55210 1 1512143 1534687 80 13 337119 0.096874 0.46141
339453 1 1534778 1540360 12 7 337119 0.22671 0.41033
29101 1 1541673 1574882 93 11 337119 -0.88241 0.81122
643988 1 1598008 1600096 2 1 337119 0.14955 0.44056
142678 1 1614975 1630610 39 9 337119 0.0011034 0.49956
984 1 1635226 1659839 33 6 337119 -1.3182 0.90628
728661 1 1660025 1692804 75 16 337119 -1.8192 0.96556
728642 1 1702730 1724352 68 5 337119 -0.93229 0.82441
9906 1 1724838 1745999 64 11 337119 -2.1489 0.98418
65220 1 1751232 1780514 68 10 337119 -0.45783 0.67646
2782 1 1785285 1891117 160 23 337119 0.32155 0.3739
105378949 1 1885960 1893010 14 7 337119 0.20124 0.42025
163688 1 1913752 1917294 13 3 337119 -0.88253 0.81125
339456 1 1917589 1919301 6 3 337119 -0.33501 0.63119
85452 1 1921951 2003837 329 27 337119 -0.011252 0.50449
2563 1 2019329 2030753 29 7 337119 1.0531 0.14615
5590 1 2050470 2185395 400 32 337119 1.208 0.11353
100506504 1 2181811 2184360 4 2 337119 -0.17936 0.57117
199990 1 2184460 2212720 52 12 337119 0.56496 0.28605
105378592 1 2208942 2215211 19 9 337119 0.2033 0.41945
6497 1 2228695 2310213 240 46 337119 -0.33351 0.63063
105378594 1 2280383 2284676 14 5 337119 0.04612 0.48161
79906 1 2321253 2391751 302 38 337119 0.21389 0.41532
11079 1 2391314 2405444 37 11 337119 0.41794 0.338
5192 1 2404802 2413780 26 9 337119 -1.2028 0.88547
9651 1 2415782 2505530 321 46 337119 -0.93447 0.82497
55229 1 2508531 2526628 40 6 337119 -0.24613 0.59721
388585 1 2528745 2530245 3 2 337119 -0.54874 0.70841
8764 1 2556365 2565622 23 5 337119 -1.2586 0.89591
127281 1 2586460 2591469 11 4 337119 0.22649 0.41041
79258 1 2590639 2633042 149 10 337119 0.4128 0.33988
100287898 1 2636988 2789665 89 13 337119 -0.51674 0.69733
140625 1 3021482 3022903 4 2 337119 1.5978 0.055048
63976 1 3068227 3438621 1383 172 337119 -0.092649 0.53691
27237 1 3454583 3481115 91 13 337119 -0.45953 0.67707
1953 1 3487942 3624757 572 88 337119 0.83197 0.20271
127262 1 3624992 3630131 13 5 337119 0.69477 0.2436
49856 1 3630767 3650107 32 10 337119 -0.41865 0.66226
7161 1 3652565 3736201 295 54 337119 0.88083 0.18921
148870 1 3752398 3771645 67 15 337119 0.22922 0.40935
388588 1 3772761 3775982 12 5 337119 -0.40472 0.65716
57470 1 3780220 3796504 80 16 337119 -0.83258 0.79746
9731 1 3812081 3857387 284 18 337119 -0.65018 0.74221
1677 1 3857143 3885429 163 23 337119 0.19628 0.4222
339448 1 3889133 3900293 41 8 337119 0.79095 0.21449
55966 1 4655045 4792534 669 86 337119 -0.46198 0.67795
261734 1 5862808 5992505 393 22 337119 0.18276 0.42749
8514 1 5992298 6101193 304 48 337119 0.53706 0.29561
26038 1 6101787 6180134 273 33 337119 -1.1931 0.88358
6146 1 6185020 6199619 35 7 337119 -0.59987 0.7257
388591 1 6205775 6221299 34 5 337119 -0.50702 0.69393
23463 1 6221193 6235984 28 6 337119 -0.7854 0.78389
390992 1 6244158 6245578 2 1 337119 0.38338 0.35072
387509 1 6247346 6260990 36 3 337119 -0.19047 0.57553
11332 1 6264272 6393766 409 26 337119 -0.46176 0.67787
54626 1 6415232 6424664 30 6 337119 0.32196 0.37374
83715 1 6424776 6460944 104 12 337119 0.36791 0.35647
8718 1 6461151 6466195 13 5 337119 -0.40292 0.6565
57449 1 6466092 6520061 139 25 337119 -1.5507 0.93951
79707 1 6521347 6554598 101 3 337119 -0.43376 0.66777
80835 1 6555278 6579757 42 8 337119 0.50248 0.30766
3104 1 6579991 6589280 9 4 337119 0.1467 0.44169
9903 1 6590724 6602898 30 9 337119 -0.68571 0.75355
148479 1 6613696 6624033 18 4 337119 -0.48493 0.68614
90326 1 6624865 6635586 33 7 337119 0.065464 0.4739
55735 1 6634168 6701906 144 18 337119 -0.51783 0.69771
23261 1 6785324 7769706 2727 225 337119 0.90418 0.18295
9341 1 7771269 7781432 33 9 337119 -1.3378 0.90953
8863 1 7784380 7845181 215 27 337119 -2.2342 0.98727
10911 1 7847612 7913610 303 28 337119 -0.36405 0.64209
