GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 0.59682 0.27531
105378580 1 803398 805130 4 2 337119 0.25898 0.39782
148398 1 925741 944581 54 17 337119 0.16594 0.4341
26155 1 944203 959299 49 8 337119 0.58661 0.27873
339451 1 959952 965720 17 4 337119 1.1675 0.12151
84069 1 966497 975108 29 13 337119 -0.14226 0.55656
84808 1 975199 982117 22 6 337119 0.13475 0.4464
57801 1 998962 1001285 12 4 337119 -1.812 0.965
9636 1 1013467 1014540 5 2 337119 -1.17 0.87901
375790 1 1020101 1056119 115 16 337119 -1.4959 0.93266
105369174 1 1061207 1066390 10 5 337119 0.062013 0.47528
105378948 1 1065635 1069326 10 3 337119 -0.66714 0.74766
401934 1 1071746 1074307 6 2 337119 -0.18366 0.57286
54991 1 1081818 1116356 114 14 337119 -0.93031 0.82389
254173 1 1173898 1197935 143 20 337119 -1.5295 0.93693
8784 1 1203508 1206709 10 2 337119 -0.76156 0.77684
7293 1 1211326 1214638 8 3 337119 -0.32212 0.62632
51150 1 1216908 1232067 93 6 337119 0.013485 0.49462
126792 1 1232249 1235041 7 2 337119 -1.5268 0.93659
388581 1 1242446 1247218 13 3 337119 -0.12031 0.54788
118424 1 1253912 1273854 42 7 337119 -0.79991 0.78812
6339 1 1280415 1292029 43 15 337119 -0.57678 0.71796
116983 1 1292384 1307925 43 10 337119 0.52224 0.30075
126789 1 1308571 1311677 5 3 337119 0.50221 0.30776
54973 1 1311585 1324687 19 6 337119 -0.027342 0.51091
80772 1 1324756 1328896 10 2 337119 0.93697 0.17439
83756 1 1328999 1335320 26 8 337119 0.91576 0.1799
1855 1 1335278 1349158 34 9 337119 0.29562 0.38376
54587 1 1352689 1363541 36 6 337119 0.94326 0.17277
54998 1 1373730 1375438 8 4 337119 0.044976 0.48206
81669 1 1385711 1399338 21 7 337119 0.040698 0.48377
55052 1 1401896 1407834 15 6 337119 -0.046338 0.51848
441869 1 1418420 1421820 10 4 337119 0.15983 0.43651
643965 1 1426128 1427787 8 3 337119 0.97654 0.1644
64856 1 1435523 1442882 15 4 337119 -0.52933 0.70171
219293 1 1441301 1470158 88 15 337119 0.25923 0.39773
83858 1 1471732 1509479 90 21 337119 -0.3013 0.61841
55210 1 1512143 1534687 80 13 337119 0.3629 0.35834
339453 1 1534778 1540360 12 7 337119 -1.3302 0.90827
29101 1 1541673 1574882 93 11 337119 -1.5806 0.94302
643988 1 1598008 1600096 2 1 337119 -1.1242 0.86954
142678 1 1614975 1630610 39 9 337119 -1.5533 0.93983
984 1 1635226 1659839 33 6 337119 -0.87686 0.80972
728661 1 1660025 1692804 75 16 337119 0.13369 0.44682
728642 1 1702730 1724352 68 5 337119 -0.69462 0.75635
9906 1 1724838 1745999 64 11 337119 -0.25568 0.6009
65220 1 1751232 1780514 68 10 337119 -0.59586 0.72437
2782 1 1785285 1891117 160 23 337119 -0.76401 0.77757
105378949 1 1885960 1893010 14 7 337119 -1.0449 0.85196
163688 1 1913752 1917294 13 3 337119 -0.75624 0.77525
339456 1 1917589 1919301 6 3 337119 0.1777 0.42948
85452 1 1921951 2003837 329 27 337119 -1.1073 0.86591
2563 1 2019329 2030753 29 7 337119 0.64618 0.25908
5590 1 2050470 2185395 400 32 337119 -0.57607 0.71771
100506504 1 2181811 2184360 4 2 337119 -0.11993 0.54773
199990 1 2184460 2212720 52 12 337119 0.78878 0.21512
105378592 1 2208942 2215211 19 9 337119 0.11333 0.45489
6497 1 2228695 2310213 240 46 337119 0.14441 0.44259
105378594 1 2280383 2284676 14 5 337119 0.83844 0.20089
79906 1 2321253 2391751 302 38 337119 -0.61307 0.73009
11079 1 2391314 2405444 37 11 337119 -0.39762 0.65455
5192 1 2404802 2413780 26 9 337119 -0.029287 0.51168
9651 1 2415782 2505530 321 46 337119 -0.79335 0.78621
55229 1 2508531 2526628 40 6 337119 -0.77745 0.78155
388585 1 2528745 2530245 3 2 337119 -0.51225 0.69576
8764 1 2556365 2565622 23 5 337119 -0.67637 0.7506
127281 1 2586460 2591469 11 4 337119 -1.4192 0.92207
79258 1 2590639 2633042 149 10 337119 -0.92434 0.82235
100287898 1 2636988 2789665 89 13 337119 -0.16609 0.56596
140625 1 3021482 3022903 4 2 337119 -0.13929 0.55539
63976 1 3068227 3438621 1383 172 337119 -1.2079 0.88646
27237 1 3454583 3481115 91 13 337119 -0.51972 0.69837
1953 1 3487942 3624757 572 88 337119 0.978 0.16404
127262 1 3624992 3630131 13 5 337119 0.37371 0.35431
49856 1 3630767 3650107 32 10 337119 0.17956 0.42875
7161 1 3652565 3736201 295 54 337119 1.3222 0.093052
148870 1 3752398 3771645 67 15 337119 2.1792 0.014659
388588 1 3772761 3775982 12 5 337119 1.6008 0.054713
57470 1 3780220 3796504 80 16 337119 0.36321 0.35822
9731 1 3812081 3857387 284 18 337119 0.74268 0.22884
1677 1 3857143 3885429 163 23 337119 -0.77425 0.78061
339448 1 3889133 3900293 41 8 337119 -1.2785 0.89946
55966 1 4655045 4792534 669 86 337119 -0.94448 0.82754
261734 1 5862808 5992505 393 22 337119 -0.54662 0.70768
8514 1 5992298 6101193 304 48 337119 -0.81105 0.79133
26038 1 6101787 6180134 273 33 337119 0.011772 0.4953
6146 1 6185020 6199619 35 7 337119 -0.76256 0.77714
388591 1 6205775 6221299 34 5 337119 -1.2589 0.89596
23463 1 6221193 6235984 28 6 337119 -1.5498 0.93941
