GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 173480 0.19863 0.42128
105378580 1 803398 805130 4 2 173480 -0.43927 0.66977
148398 1 925741 944581 55 18 173480 0.17217 0.43165
26155 1 944203 959299 45 9 173480 -0.72485 0.76573
339451 1 959952 965720 16 4 173480 -0.76994 0.77933
84069 1 966497 975108 26 11 173480 -0.21531 0.58524
84808 1 975199 982117 21 6 173480 -0.23477 0.59281
57801 1 998962 1001285 12 4 173480 1.2704 0.10197
9636 1 1013467 1014540 3 1 173480 -0.088417 0.53523
375790 1 1020101 1056119 107 15 173480 0.040855 0.48371
105369174 1 1061207 1066390 10 5 173480 -1.3641 0.91373
105378948 1 1065635 1069326 10 3 173480 -1.0781 0.85951
401934 1 1071746 1074307 5 2 173480 -0.45656 0.67601
54991 1 1081818 1116356 114 14 173480 -0.49892 0.69108
254173 1 1173898 1197935 139 20 173480 -0.87741 0.80987
8784 1 1203508 1206709 10 2 173480 -0.48362 0.68567
7293 1 1211326 1214638 9 4 173480 0.57936 0.28117
51150 1 1216908 1232067 89 6 173480 0.90046 0.18394
126792 1 1232249 1235041 7 2 173480 -0.72779 0.76663
388581 1 1242446 1247218 13 3 173480 0.61252 0.2701
118424 1 1253912 1273854 41 7 173480 -1.0576 0.85488
6339 1 1280415 1292029 42 15 173480 -1.8859 0.97034
116983 1 1292384 1307925 43 10 173480 -0.65628 0.74418
126789 1 1308571 1311677 3 2 173480 0.22663 0.41036
54973 1 1311585 1324687 18 6 173480 -1.0622 0.85592
80772 1 1324756 1328896 10 2 173480 -1.0686 0.85737
83756 1 1328999 1335320 22 7 173480 -1.6193 0.94731
1855 1 1335278 1349158 30 8 173480 -1.1929 0.88354
54587 1 1352689 1363541 35 6 173480 -0.88429 0.81173
54998 1 1373730 1375438 8 4 173480 -0.46457 0.67888
81669 1 1385711 1399338 21 7 173480 -0.62389 0.73365
55052 1 1401896 1407834 15 6 173480 -0.59739 0.72488
441869 1 1418420 1421820 10 4 173480 -0.5636 0.71349
643965 1 1426128 1427787 8 3 173480 -0.015492 0.50618
64856 1 1435523 1442882 14 4 173480 -1.6023 0.94546
219293 1 1441301 1470158 87 14 173480 -1.4523 0.92679
83858 1 1471732 1509479 92 21 173480 -0.055979 0.52232
55210 1 1512143 1534687 82 13 173480 -0.96319 0.83227
339453 1 1534778 1540360 12 7 173480 -0.49123 0.68837
29101 1 1541673 1574882 94 11 173480 0.28538 0.38768
643988 1 1598008 1600096 2 1 173480 0.52126 0.30109
142678 1 1614975 1630610 37 8 173480 -0.54039 0.70553
984 1 1635226 1659839 33 6 173480 0.89173 0.18627
728661 1 1660025 1692804 76 17 173480 0.2661 0.39508
728642 1 1702730 1724352 68 5 173480 1.9999 0.022758
9906 1 1724838 1745999 64 11 173480 0.84416 0.19929
65220 1 1751232 1780514 67 10 173480 -0.76376 0.7775
2782 1 1785285 1891117 157 23 173480 -0.28506 0.6122
105378949 1 1885960 1893010 13 7 173480 -0.23854 0.59427
163688 1 1913752 1917294 13 3 173480 -0.34112 0.63349
339456 1 1917589 1919301 5 2 173480 -1.2089 0.88665
85452 1 1921951 2003837 326 28 173480 -0.29947 0.61771
2563 1 2019329 2030753 29 7 173480 -0.52895 0.70158
5590 1 2050470 2185395 397 31 173480 -0.82252 0.79461
100506504 1 2181811 2184360 4 2 173480 -0.111 0.54419
199990 1 2184460 2212720 51 12 173480 -0.0004931 0.5002
105378592 1 2208942 2215211 19 9 173480 0.3063 0.37969
6497 1 2228695 2310213 237 46 173480 -0.49775 0.69067
105378594 1 2280383 2284676 14 5 173480 0.98435 0.16247
79906 1 2321253 2391751 294 36 173480 4.1131 1.9523e-05
11079 1 2391314 2405444 36 11 173480 2.8362 0.0022828
5192 1 2404802 2413780 22 8 173480 3.6707 0.00012094
9651 1 2415782 2505530 316 45 173480 1.3014 0.096565
55229 1 2508531 2526628 38 6 173480 0.86391 0.19382
388585 1 2528745 2530245 3 2 173480 -0.05811 0.52317
8764 1 2556365 2565622 19 6 173480 -0.38588 0.65021
127281 1 2586460 2591469 10 3 173480 -1.0941 0.86305
79258 1 2590639 2633042 148 10 173480 -0.59323 0.72349
100287898 1 2636988 2789665 90 13 173480 -0.95725 0.83078
140625 1 3021482 3022903 4 2 173480 0.55635 0.28899
63976 1 3068227 3438621 1366 170 173480 -0.71519 0.76275
27237 1 3454583 3481115 91 13 173480 0.50958 0.30517
1953 1 3487942 3624757 563 84 173480 0.24433 0.40349
127262 1 3624992 3630131 12 4 173480 0.10534 0.45805
49856 1 3630767 3650107 32 10 173480 -0.83608 0.79844
7161 1 3652565 3736201 291 54 173480 1.1686 0.12128
148870 1 3752398 3771645 63 15 173480 0.38268 0.35098
388588 1 3772761 3775982 12 5 173480 3.1234 0.00089386
57470 1 3780220 3796504 80 16 173480 1.13 0.12923
9731 1 3812081 3857387 279 18 173480 2.5201 0.0058654
1677 1 3857143 3885429 160 23 173480 2.9362 0.0016614
339448 1 3889133 3900293 41 8 173480 1.7965 0.036205
55966 1 4655045 4792534 666 87 173480 -2.0078 0.97767
261734 1 5862808 5992505 382 20 173480 0.17775 0.42946
8514 1 5992298 6101193 300 48 173480 1.8391 0.032952
26038 1 6101787 6180134 268 31 173480 -0.34336 0.63434
6146 1 6185020 6199619 35 7 173480 -1.7916 0.9634
388591 1 6205775 6221299 32 5 173480 -1.5108 0.93458
23463 1 6221193 6235984 27 6 173480 -0.53232 0.70275
390992 1 6244158 6245578 2 1 173480 -1.4881 0.93164
387509 1 6247346 6260990 35 3 173480 -1.0618 0.85583
11332 1 6264272 6393766 410 25 173480 2.2521 0.012157
54626 1 6415232 6424664 29 6 173480 2.7551 0.0029334
83715 1 6424776 6460944 103 12 173480 3.1032 0.00095704
8718 1 6461151 6466195 13 5 173480 2.5142 0.0059647
57449 1 6466092 6520061 136 25 173480 1.7748 0.037963
79707 1 6521347 6554598 98 3 173480 -0.14927 0.55933
80835 1 6555278 6579757 39 8 173480 -1.1093 0.86635
3104 1 6579991 6589280 9 4 173480 -0.77039 0.77947
9903 1 6590724 6602898 27 8 173480 0.6226 0.26678
148479 1 6613696 6624033 17 4 173480 0.34553 0.36485
90326 1 6624865 6635586 32 7 173480 -0.86988 0.80782
55735 1 6634168 6701906 143 18 173480 -1.3581 0.91278
