GENE CHR START STOP NSNPS NPARAM N ZSTAT P
148398 1 859993 879961 90 23 500000 -0.31772 0.62465
26155 1 879583 894679 80 16 500000 0.48889 0.31246
339451 1 895967 901099 25 7 500000 -0.36569 0.6427
84069 1 901872 910488 44 22 500000 1.8383 0.033013
84808 1 910579 917473 24 6 500000 1.9258 0.027066
57801 1 934342 936608 17 6 500000 0.63327 0.26328
9636 1 948847 949920 10 4 500000 -0.048538 0.51936
375790 1 955503 991499 182 31 500000 1.6592 0.048542
401934 1 1007126 1009687 9 4 500000 2.2955 0.010852
54991 1 1017198 1051736 132 20 500000 0.63555 0.26254
254173 1 1109286 1133315 146 21 500000 0.74915 0.22688
8784 1 1138888 1142163 14 4 500000 0.91235 0.18079
7293 1 1146706 1149703 11 5 500000 -0.21862 0.58653
51150 1 1152288 1167447 106 8 500000 -0.48307 0.68548
126792 1 1167629 1170421 10 3 500000 -0.13717 0.55455
388581 1 1177826 1182102 16 5 500000 -1.1026 0.8649
118424 1 1189292 1209234 68 14 500000 -0.581 0.71938
6339 1 1215816 1227409 58 22 500000 -0.77629 0.78121
116983 1 1227764 1243304 81 21 500000 -0.90878 0.81827
126789 1 1243962 1247057 8 4 500000 0.52798 0.29876
54973 1 1246965 1260067 37 12 500000 0.27448 0.39186
80772 1 1260136 1264276 17 5 500000 0.23233 0.40814
83756 1 1266726 1269844 11 6 500000 1.7088 0.043746
1855 1 1270658 1284509 59 17 500000 0.224 0.41138
54587 1 1288071 1297183 37 9 500000 0.88445 0.18823
54998 1 1309110 1310818 10 5 500000 -1.2057 0.88604
81669 1 1321091 1334718 31 14 500000 -0.36835 0.64369
55052 1 1337276 1342693 20 9 500000 -1.5813 0.94309
441869 1 1353800 1356824 8 3 500000 -0.38953 0.65156
643965 1 1361508 1363167 11 5 500000 0.37698 0.3531
64856 1 1370903 1378262 22 7 500000 -0.21476 0.58502
219293 1 1378152 1405538 98 21 500000 -0.70201 0.75866
83858 1 1407139 1444852 118 18 500000 0.59313 0.27655
55210 1 1447523 1470067 84 17 500000 -0.076388 0.53044
339453 1 1470158 1475740 14 6 500000 1.227 0.10991
29101 1 1477053 1510262 109 16 500000 -0.40765 0.65823
643988 1 1533388 1535476 3 2 500000 -0.18983 0.57528
142678 1 1550795 1565990 44 11 500000 -1.1378 0.8724
8510 1 1567060 1570030 2 1 500000 -1.0353 0.84974
984 1 1571100 1590473 24 6 500000 -1.2596 0.89609
728661 1 1591486 1624243 65 16 500000 0.40273 0.34357
728642 1 1633822 1655999 49 5 500000 -0.20293 0.5804
9906 1 1656277 1677438 51 15 500000 0.0001269 0.49995
65220 1 1682671 1711508 86 15 500000 1.5646 0.058834
2782 1 1716725 1822552 218 37 500000 1.1124 0.13298
163688 1 1846266 1848733 11 3 500000 1.3557 0.087599
339456 1 1849029 1850740 7 3 500000 0.1615 0.43585
85452 1 1853390 1935276 408 40 500000 0.86997 0.19216
2563 1 1950768 1962192 37 10 500000 -0.17788 0.57059
5590 1 1981909 2116834 568 42 500000 -0.84264 0.80028
100506504 1 2113250 2115812 6 4 500000 0.24818 0.402
199990 1 2115899 2144159 65 17 500000 0.045155 0.48199
6497 1 2160134 2241652 300 57 500000 0.79467 0.2134
79906 1 2251719 2323190 371 51 500000 -0.36546 0.64262
11079 1 2323214 2336883 45 16 500000 0.40306 0.34345
5192 1 2336241 2344010 32 13 500000 1.0441 0.14823
9651 1 2407754 2436964 106 26 500000 1.9594 0.025035
55229 1 2439975 2458061 76 16 500000 2.6094 0.0045356
388585 1 2460184 2461684 5 3 500000 0.76558 0.22196
8764 1 2487291 2495268 24 6 500000 0.7181 0.23635
127281 1 2517899 2522908 14 6 500000 -0.6984 0.75754
79258 1 2522078 2564499 183 15 500000 -0.47557 0.68281
100287898 1 2572807 2706230 98 17 500000 0.050519 0.47985
140625 1 2938046 2939467 5 3 500000 1.1611 0.1228
63976 1 2985565 3355185 1923 216 500000 1.5143 0.064974
27237 1 3371147 3397677 125 21 500000 1.3346 0.091004
1953 1 3404506 3528059 648 100 500000 -0.13159 0.55235
127262 1 3541556 3546695 21 7 500000 -0.94607 0.82794
49856 1 3547331 3566671 64 15 500000 -0.23048 0.59114
7161 1 3569129 3652765 362 69 500000 -1.5305 0.93705
148870 1 3668965 3688209 91 24 500000 0.45462 0.32469
388588 1 3689352 3692546 15 8 500000 -0.43147 0.66693
57470 1 3696784 3713068 96 20 500000 -1.1471 0.87433
9731 1 3728645 3773797 333 22 500000 -1.2137 0.88756
1677 1 3773845 3801993 218 35 500000 -1.3523 0.91186
339448 1 3805697 3816857 60 14 500000 -0.63153 0.73615
55966 1 4715105 4843851 755 96 500000 0.71815 0.23633
261734 1 5922870 6052618 562 32 500000 1.3529 0.088044
8514 1 6052358 6161253 426 72 500000 -0.31802 0.62476
26038 1 6161847 6240194 333 44 500000 -1.1136 0.86727
6146 1 6245080 6259679 40 9 500000 -0.39043 0.65189
388591 1 6266189 6281359 47 8 500000 2.6329 0.0042331
23463 1 6281253 6296044 50 12 500000 2.2616 0.011862
390992 1 6304252 6305638 6 3 500000 1.0704 0.14223
387509 1 6307406 6321035 51 7 500000 1.851 0.032086
11332 1 6324332 6453826 578 36 500000 2.015 0.021951
54626 1 6475292 6484724 30 7 500000 0.90317 0.18322
83715 1 6484836 6521004 128 19 500000 0.84982 0.19771
8718 1 6520787 6527432 34 14 500000 0.21499 0.41489
57449 1 6526152 6580121 203 44 500000 1.2727 0.10156
79707 1 6581407 6614658 146 10 500000 0.78415 0.21648
80835 1 6614987 6639817 95 20 500000 1.1485 0.12538
3104 1 6640051 6649340 16 9 500000 1.2938 0.09787
9903 1 6650784 6662958 48 18 500000 2.4936 0.0063226
148479 1 6673756 6684093 27 8 500000 2.9521 0.0015782
90326 1 6684925 6695646 41 11 500000 2.1434 0.016042
55735 1 6694228 6761966 186 29 500000 2.5012 0.0061884
23261 1 6845384 7829766 3513 273 500000 -1.0902 0.86219
9341 1 7831329 7841492 40 12 500000 0.54963 0.29129
8863 1 7844413 7905241 253 26 500000 -1.2013 0.88519
10911 1 7907672 7913551 27 11 500000 -1.0698 0.85765
3604 1 7975931 8003225 70 12 500000 0.12438 0.45051
11315 1 8021714 8045342 91 21 500000 0.396 0.34605
54206 1 8071779 8086393 37 12 500000 0.95788 0.16906
50651 1 8378171 8404227 103 21 500000 0.6412 0.2607
473 1 8412464 8877699 976 40 500000 0.87358 0.19117
2023 1 8921059 8939151 33 8 500000 -0.091542 0.53647
765 1 9005893 9035151 160 38 500000 -0.83901 0.79927
155184 1 9063359 9086404 97 33 500000 1.1879 0.11744
6518 1 9097005 9131763 121 21 500000 -0.88062 0.81074
80045 1 9163472 9189229 79 17 500000 -0.8265 0.79574
9563 1 9294822 9331396 135 29 500000 -1.5095 0.93442
80176 1 9335202 9429591 517 86 500000 1.8678 0.030897
84275 1 9599528 9642831 90 19 500000 0.50599 0.30643
199953 1 9648932 9674935 69 20 500000 -0.15863 0.56302
5293 1 9711789 9789172 258 43 500000 -1.2788 0.89951
22883 1 9789079 9884550 330 16 500000 0.2932 0.38469
56998 1 9908334 9970316 173 29 500000 -0.018886 0.50753
84328 1 9982168 10003460 56 15 500000 0.41525 0.33898
64802 1 10003486 10045556 112 23 500000 0.46229 0.32193
116362 1 10057255 10076078 48 8 500000 0.8657 0.19333
10277 1 10093041 10241297 422 36 500000 2.0362 0.020867
23095 1 10270606 10441664 641 25 500000 1.4898 0.068132
5226 1 10458884 10480565 63 12 500000 0.77807 0.21826
378708 1 10489944 10510239 68 13 500000 3.1811 0.0007335
100526739 1 10490159 10512060 72 14 500000 3.1693 0.00076394
1325 1 10509776 10512060 7 3 500000 2.1047 0.017659
1676 1 10520588 10532613 26 8 500000 1.1301 0.12921
5195 1 10535003 10690815 479 42 500000 1.6154 0.053112
54897 1 10696661 10856733 583 109 500000 6.0986 5.3516e-10
148345 1 11006530 11042094 171 30 500000 1.1574 0.12355
23435 1 11072462 11085549 32 8 500000 -0.58959 0.72227
10747 1 11086580 11107296 86 18 500000 -1.4639 0.92839
6723 1 11114649 11120091 7 2 500000 0.96512 0.16724
5394 1 11126675 11159961 108 9 500000 0.4011 0.34417
2475 1 11166588 11322614 381 14 500000 -0.24472 0.59666
10218 1 11249346 11256038 17 4 500000 0.076142 0.46965
29914 1 11333255 11348491 27 5 500000 1.6143 0.053228
57540 1 11539295 11597640 187 24 500000 -1.5078 0.9342
26232 1 11707924 11714888 30 18 500000 1.576 0.057517
93611 1 11714432 11723384 33 13 500000 0.58799 0.27827
26270 1 11724150 11734411 44 15 500000 1.6365 0.050864
10459 1 11734537 11751678 88 22 500000 0.24676 0.40255
374946 1 11751781 11780336 96 22 500000 -1.1879 0.88256
57085 1 11796142 11810828 43 10 500000 -0.75044 0.7735
284498 1 11823827 11849642 160 14 500000 1.123 0.13071
4524 1 11845787 11866160 93 16 500000 3.4307 0.00030096
1185 1 11866153 11903201 234 22 500000 3.8305 6.3931e-05
4878 1 11905766 11907840 11 4 500000 3.4958 0.00023635
4879 1 11917521 11918992 3 2 500000 -0.96736 0.83332
90231 1 11979645 11986485 26 9 500000 2.9558 0.0015591
5351 1 11994724 12035599 163 24 500000 0.78123 0.21733
9927 1 12040238 12073572 106 16 500000 0.99075 0.1609
60672 1 12079299 12092106 30 9 500000 -0.26062 0.60281
943 1 12123434 12204264 282 56 500000 -0.15198 0.5604
7133 1 12227044 12269279 146 23 500000 -1.421 0.92233
55187 1 12290101 12572099 628 31 500000 1.057 0.14525
9249 1 12627939 12677820 206 46 500000 -0.61769 0.73161
343066 1 12704566 12727097 88 15 500000 -0.57063 0.71587
126767 1 12776118 12788726 50 9 500000 -0.67572 0.75039
93190 1 12806163 12821102 70 12 500000 -0.55231 0.70963
390999 1 12834984 12838049 9 4 500000 -0.78151 0.78275
