GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 20833 0.45359 0.32506
105378580 1 803398 805130 4 2 20833 -1.6694 0.95249
148398 1 925741 944581 57 18 20833 0.33094 0.37035
26155 1 944203 959299 50 8 20833 -0.37583 0.64648
339451 1 959952 965720 17 4 20833 -0.83635 0.79852
84069 1 966497 975108 28 12 20833 0.37064 0.35545
84808 1 975199 982117 22 6 20833 0.74433 0.22834
57801 1 998962 1001285 12 4 20833 1.1117 0.13313
9636 1 1013467 1014540 6 2 20833 0.21337 0.41552
375790 1 1020101 1056119 114 15 20833 -0.23388 0.59246
105369174 1 1061207 1066390 10 5 20833 0.47219 0.31839
105378948 1 1065635 1069326 10 3 20833 0.83152 0.20284
401934 1 1071746 1074307 6 2 20833 0.95141 0.1707
54991 1 1081818 1116356 115 15 20833 0.84384 0.19938
254173 1 1173898 1197935 143 20 20833 3.2515 0.00057395
8784 1 1203508 1206709 10 2 20833 3.2669 0.00054358
7293 1 1211326 1214638 9 4 20833 4.0675 2.3761e-05
51150 1 1216908 1232067 93 6 20833 1.8826 0.029875
126792 1 1232249 1235041 7 2 20833 3.5157 0.00021927
388581 1 1242446 1247218 13 3 20833 2.8675 0.0020689
118424 1 1253912 1273854 42 7 20833 2.6434 0.0041033
6339 1 1280415 1292029 44 16 20833 3.3441 0.00041279
116983 1 1292384 1307925 44 10 20833 2.5962 0.0047128
126789 1 1308571 1311677 5 3 20833 2.9885 0.0014016
54973 1 1311585 1324687 19 6 20833 2.9202 0.0017491
80772 1 1324756 1328896 10 2 20833 2.0837 0.018595
83756 1 1328999 1335320 26 8 20833 2.4821 0.0065299
1855 1 1335278 1349158 34 9 20833 2.6725 0.0037639
54587 1 1352689 1363541 36 6 20833 2.4777 0.0066125
54998 1 1373730 1375438 8 4 20833 2.708 0.0033845
81669 1 1385711 1399338 22 7 20833 3.2542 0.00056861
55052 1 1401896 1407834 15 6 20833 2.9173 0.0017654
441869 1 1418420 1421820 10 4 20833 3.0787 0.0010394
643965 1 1426128 1427787 8 3 20833 2.3693 0.0089114
64856 1 1435523 1442882 15 4 20833 2.2066 0.01367
219293 1 1441301 1470158 88 15 20833 3.3397 0.00041932
83858 1 1471732 1509479 96 21 20833 2.9039 0.0018428
55210 1 1512143 1534687 83 14 20833 3.1452 0.00082981
339453 1 1534778 1540360 12 7 20833 1.8073 0.035361
29101 1 1541673 1574882 95 12 20833 1.5945 0.055409
643988 1 1598008 1600096 2 1 20833 1.3997 0.080799
142678 1 1614975 1630610 39 9 20833 1.9155 0.027717
984 1 1635226 1659839 34 6 20833 1.1583 0.12337
728661 1 1660025 1692804 77 17 20833 1.22 0.11124
728642 1 1702730 1724352 67 5 20833 -0.37167 0.64493
9906 1 1724838 1745999 66 11 20833 1.7191 0.042798
65220 1 1751232 1780514 70 10 20833 3.2225 0.00063547
2782 1 1785285 1891117 162 24 20833 2.5079 0.0060733
105378949 1 1885960 1893010 14 7 20833 2.4253 0.0076482
163688 1 1913752 1917294 13 3 20833 2.4694 0.0067665
339456 1 1917589 1919301 6 3 20833 2.4123 0.0079263
85452 1 1921951 2003837 336 28 20833 3.6239 0.00014508
2563 1 2019329 2030753 30 7 20833 -0.31549 0.6238
5590 1 2050470 2185395 401 31 20833 2.2046 0.013741
100506504 1 2181811 2184360 4 2 20833 -0.21933 0.5868
199990 1 2184460 2212720 51 12 20833 0.093889 0.4626
105378592 1 2208942 2215211 19 9 20833 -0.31948 0.62532
6497 1 2228695 2310213 241 46 20833 -0.41795 0.66201
105378594 1 2280383 2284676 14 5 20833 1.0101 0.15622
79906 1 2321253 2391751 301 36 20833 0.19245 0.4237
11079 1 2391314 2405444 37 11 20833 0.80662 0.20994
5192 1 2404802 2413780 26 9 20833 2.4582 0.0069817
9651 1 2415782 2505530 323 48 20833 -0.94058 0.82654
55229 1 2508531 2526628 40 6 20833 0.58047 0.2808
388585 1 2528745 2530245 3 2 20833 -0.38577 0.65017
8764 1 2556365 2565622 23 5 20833 0.50403 0.30712
127281 1 2586460 2591469 11 4 20833 1.2597 0.1039
79258 1 2590639 2633042 152 10 20833 0.50796 0.30574
100287898 1 2636988 2789665 90 13 20833 0.73587 0.23091
140625 1 3021482 3022903 4 2 20833 1.1993 0.11521
63976 1 3068227 3438621 1386 170 20833 0.62892 0.2647
27237 1 3454583 3481115 92 13 20833 -1.2247 0.88965
1953 1 3487942 3624757 575 86 20833 -1.6025 0.94548
127262 1 3624992 3630131 13 5 20833 -1.3938 0.91831
49856 1 3630767 3650107 33 10 20833 -0.83608 0.79845
7161 1 3652565 3736201 295 54 20833 -0.42531 0.6647
148870 1 3752398 3771645 67 15 20833 0.83235 0.20261
388588 1 3772761 3775982 12 5 20833 -0.45361 0.67495
57470 1 3780220 3796504 80 16 20833 -0.38774 0.6509
9731 1 3812081 3857387 284 18 20833 -1.1185 0.86832
1677 1 3857143 3885429 163 23 20833 0.084083 0.4665
339448 1 3889133 3900293 41 8 20833 0.57397 0.283
55966 1 4655045 4792534 670 87 20833 -0.26191 0.60331
261734 1 5862808 5992505 393 22 20833 0.42073 0.33698
8514 1 5992298 6101193 305 50 20833 0.44629 0.3277
26038 1 6101787 6180134 273 33 20833 -0.1266 0.55037
6146 1 6185020 6199619 35 7 20833 0.43845 0.33053
388591 1 6205775 6221299 34 5 20833 1.1384 0.12748
23463 1 6221193 6235984 28 6 20833 0.038337 0.48471
390992 1 6244158 6245578 2 1 20833 1.99 0.023297
387509 1 6247346 6260990 36 3 20833 1.9828 0.023695
11332 1 6264272 6393766 411 27 20833 3.3702 0.00037556
54626 1 6415232 6424664 31 7 20833 2.1295 0.016607
83715 1 6424776 6460944 105 12 20833 2.7555 0.0029305
8718 1 6461151 6466195 13 5 20833 2.1607 0.015361
57449 1 6466092 6520061 139 25 20833 1.668 0.047655
79707 1 6521347 6554598 101 3 20833 -0.45885 0.67683
80835 1 6555278 6579757 42 8 20833 -0.41492 0.6609
3104 1 6579991 6589280 9 4 20833 0.17721 0.42967
9903 1 6590724 6602898 30 9 20833 0.41643 0.33855
148479 1 6613696 6624033 18 4 20833 0.099791 0.46026
90326 1 6624865 6635586 33 7 20833 0.26251 0.39646
55735 1 6634168 6701906 145 18 20833 0.24 0.40517
