GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 212248 -2.0271 0.97868
105378580 1 803398 805130 4 2 212248 -1.8469 0.96762
148398 1 925741 944581 51 16 212248 -3.876 0.99995
26155 1 944203 959299 41 9 212248 -2.6937 0.99647
339451 1 959952 965720 15 3 212248 -1.908 0.97181
84069 1 966497 975108 24 10 212248 -3.8224 0.99993
84808 1 975199 982117 20 5 212248 -1.8986 0.97119
57801 1 998962 1001285 11 3 212248 -1.8625 0.96874
9636 1 1013467 1014540 2 1 212248 -1.7712 0.96174
375790 1 1020101 1056119 105 15 212248 -1.2434 0.89315
105369174 1 1061207 1066390 10 5 212248 -0.89575 0.81481
105378948 1 1065635 1069326 8 3 212248 -0.02642 0.51054
401934 1 1071746 1074307 5 2 212248 0.22249 0.41196
54991 1 1081818 1116356 110 14 212248 -0.43289 0.66745
254173 1 1173898 1197935 137 20 212248 -1.0703 0.85776
8784 1 1203508 1206709 10 2 212248 0.21386 0.41533
7293 1 1211326 1214638 8 3 212248 -0.52626 0.70065
51150 1 1216908 1232067 86 5 212248 -0.97317 0.83476
126792 1 1232249 1235041 6 2 212248 -0.37137 0.64482
388581 1 1242446 1247218 13 3 212248 -1.5025 0.93351
118424 1 1253912 1273854 40 7 212248 -2.3029 0.98936
6339 1 1280415 1292029 40 14 212248 -2.7065 0.9966
116983 1 1292384 1307925 42 10 212248 -1.8297 0.96635
126789 1 1308571 1311677 4 2 212248 -2.0284 0.97874
54973 1 1311585 1324687 17 6 212248 -2.7444 0.99697
80772 1 1324756 1328896 10 2 212248 -1.9802 0.97616
83756 1 1328999 1335320 21 7 212248 -2.7498 0.99702
1855 1 1335278 1349158 29 8 212248 -2.8216 0.99761
54587 1 1352689 1363541 30 5 212248 -2.608 0.99545
54998 1 1373730 1375438 8 4 212248 -2.8266 0.99765
81669 1 1385711 1399338 21 7 212248 -2.9598 0.99846
55052 1 1401896 1407834 15 6 212248 -2.4875 0.99357
441869 1 1418420 1421820 10 4 212248 -1.7312 0.95829
643965 1 1426128 1427787 8 3 212248 -1.8352 0.96677
64856 1 1435523 1442882 14 4 212248 -1.776 0.96213
219293 1 1441301 1470158 85 14 212248 -1.6538 0.95092
83858 1 1471732 1509479 89 21 212248 -1.5423 0.9385
55210 1 1512143 1534687 78 13 212248 -1.9323 0.97334
339453 1 1534778 1540360 12 7 212248 -3.3616 0.99961
29101 1 1541673 1574882 91 11 212248 -1.6427 0.94978
643988 1 1598008 1600096 2 1 212248 -1.8232 0.96586
142678 1 1614975 1630610 36 8 212248 -2.8664 0.99792
984 1 1635226 1659839 33 6 212248 -2.2669 0.9883
728661 1 1660025 1692804 73 17 212248 -1.612 0.94652
728642 1 1702730 1724352 67 5 212248 -0.86415 0.80625
9906 1 1724838 1745999 62 11 212248 0.64362 0.25991
65220 1 1751232 1780514 63 9 212248 1.6689 0.04757
2782 1 1785285 1891117 154 23 212248 2.3259 0.010012
105378949 1 1885960 1893010 14 7 212248 1.8872 0.02957
163688 1 1913752 1917294 13 3 212248 0.9773 0.16421
339456 1 1917589 1919301 5 2 212248 0.85894 0.19519
85452 1 1921951 2003837 312 26 212248 0.20849 0.41742
2563 1 2019329 2030753 27 6 212248 0.11773 0.45314
5590 1 2050470 2185395 379 30 212248 -1.8332 0.96661
100506504 1 2181811 2184360 4 2 212248 0.26214 0.39661
199990 1 2184460 2212720 46 10 212248 -1.202 0.88531
105378592 1 2208942 2215211 17 8 212248 -1.9799 0.97614
6497 1 2228695 2310213 231 45 212248 -2.1595 0.98459
105378594 1 2280383 2284676 13 5 212248 -2.1373 0.98371
79906 1 2321253 2391751 282 34 212248 -1.4869 0.93148
11079 1 2391314 2405444 34 11 212248 1.2878 0.098903
5192 1 2404802 2413780 22 8 212248 0.94028 0.17354
9651 1 2415782 2505530 306 48 212248 0.53658 0.29578
55229 1 2508531 2526628 39 6 212248 -1.2506 0.89446
388585 1 2528745 2530245 3 2 212248 1.3689 0.085522
8764 1 2556365 2565622 19 6 212248 1.4654 0.071408
127281 1 2586460 2591469 9 3 212248 1.7908 0.036666
79258 1 2590639 2633042 146 10 212248 3.0027 0.0013379
100287898 1 2636988 2789665 85 13 212248 1.1329 0.12863
140625 1 3021482 3022903 4 2 212248 1.3867 0.082759
63976 1 3068227 3438621 1321 167 212248 -1.7081 0.95619
27237 1 3454583 3481115 87 12 212248 -1.2941 0.90219
1953 1 3487942 3624757 543 86 212248 -2.1255 0.98323
127262 1 3624992 3630131 12 4 212248 0.0042419 0.49831
49856 1 3630767 3650107 31 10 212248 -1.3104 0.90497
7161 1 3652565 3736201 279 53 212248 -1.2728 0.89845
148870 1 3752398 3771645 60 14 212248 -0.82874 0.79637
388588 1 3772761 3775982 11 5 212248 0.11376 0.45471
57470 1 3780220 3796504 80 16 212248 -0.11028 0.5439
9731 1 3812081 3857387 276 16 212248 -0.30798 0.62095
1677 1 3857143 3885429 157 22 212248 -1.881 0.97001
