GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 39883 -2.4883 0.99358
105378580 1 803398 805130 4 2 39883 -0.75342 0.7744
148398 1 925741 944581 51 16 39883 -2.0203 0.97832
26155 1 944203 959299 41 9 39883 -1.7286 0.95806
339451 1 959952 965720 15 3 39883 -1.5768 0.94258
84069 1 966497 975108 24 10 39883 0.28936 0.38615
84808 1 975199 982117 20 5 39883 1.9681 0.024531
57801 1 998962 1001285 11 3 39883 1.9984 0.022835
9636 1 1013467 1014540 2 1 39883 -0.5315 0.70246
375790 1 1020101 1056119 105 15 39883 2.3929 0.0083589
105369174 1 1061207 1066390 10 5 39883 2.7292 0.0031739
105378948 1 1065635 1069326 8 3 39883 2.8143 0.0024444
401934 1 1071746 1074307 5 2 39883 2.9149 0.0017791
54991 1 1081818 1116356 110 14 39883 0.95895 0.16879
254173 1 1173898 1197935 136 19 39883 -2.036 0.97913
8784 1 1203508 1206709 10 2 39883 -0.29324 0.61533
7293 1 1211326 1214638 8 3 39883 -0.86026 0.80518
51150 1 1216908 1232067 86 5 39883 -0.078618 0.53133
126792 1 1232249 1235041 6 2 39883 0.17255 0.4315
388581 1 1242446 1247218 13 3 39883 0.23457 0.40727
118424 1 1253912 1273854 40 7 39883 -0.68633 0.75375
6339 1 1280415 1292029 40 14 39883 -0.72008 0.76426
116983 1 1292384 1307925 42 10 39883 1.0551 0.14568
126789 1 1308571 1311677 4 2 39883 0.47562 0.31717
54973 1 1311585 1324687 17 6 39883 -0.44396 0.67146
80772 1 1324756 1328896 10 2 39883 0.14872 0.44089
83756 1 1328999 1335320 21 7 39883 0.80731 0.20974
1855 1 1335278 1349158 29 8 39883 1.0027 0.15799
54587 1 1352689 1363541 30 5 39883 0.74438 0.22832
54998 1 1373730 1375438 8 4 39883 0.1322 0.44741
81669 1 1385711 1399338 21 7 39883 0.43015 0.33354
55052 1 1401896 1407834 15 6 39883 0.42899 0.33397
441869 1 1418420 1421820 10 4 39883 0.095944 0.46178
643965 1 1426128 1427787 8 3 39883 0.64805 0.25848
64856 1 1435523 1442882 14 4 39883 1.9007 0.028673
219293 1 1441301 1470158 85 14 39883 0.84981 0.19772
83858 1 1471732 1509479 89 21 39883 -0.59624 0.72449
55210 1 1512143 1534687 78 13 39883 -0.23446 0.59269
339453 1 1534778 1540360 12 7 39883 2.5204 0.0058602
29101 1 1541673 1574882 91 11 39883 2.9072 0.0018236
643988 1 1598008 1600096 2 1 39883 -0.6063 0.72784
142678 1 1614975 1630610 36 8 39883 -1.4883 0.93167
984 1 1635226 1659839 33 6 39883 -1.2677 0.89755
728661 1 1660025 1692804 73 17 39883 -2.0622 0.98041
728642 1 1702730 1724352 67 5 39883 -0.69068 0.75512
9906 1 1724838 1745999 62 11 39883 -0.83127 0.79709
65220 1 1751232 1780514 63 9 39883 -0.37549 0.64635
2782 1 1785285 1891117 153 23 39883 0.55407 0.28977
105378949 1 1885960 1893010 14 7 39883 0.67634 0.24941
163688 1 1913752 1917294 13 3 39883 -0.13203 0.55252
339456 1 1917589 1919301 5 2 39883 0.59065 0.27738
85452 1 1921951 2003837 312 26 39883 -1.179 0.8808
2563 1 2019329 2030753 27 6 39883 -1.3425 0.91028
5590 1 2050470 2185395 379 30 39883 -2.1018 0.98222
100506504 1 2181811 2184360 4 2 39883 -0.66539 0.7471
199990 1 2184460 2212720 46 10 39883 -1.2881 0.90114
105378592 1 2208942 2215211 17 8 39883 -1.5978 0.94495
6497 1 2228695 2310213 230 45 39883 -1.4765 0.93009
105378594 1 2280383 2284676 13 5 39883 -1.4321 0.92395
79906 1 2321253 2391751 282 34 39883 -1.3201 0.9066
11079 1 2391314 2405444 34 11 39883 2.1178 0.017096
5192 1 2404802 2413780 22 8 39883 0.81767 0.20677
9651 1 2415782 2505530 306 48 39883 0.21232 0.41593
55229 1 2508531 2526628 39 6 39883 -1.1742 0.87984
388585 1 2528745 2530245 3 2 39883 -1.7692 0.96157
8764 1 2556365 2565622 19 6 39883 -0.82032 0.79398
127281 1 2586460 2591469 9 3 39883 -0.86448 0.80634
79258 1 2590639 2633042 145 10 39883 -1.7347 0.95861
100287898 1 2636988 2789665 85 13 39883 -1.257 0.89563
140625 1 3021482 3022903 4 2 39883 -2.1667 0.98487
63976 1 3068227 3438621 1318 167 39883 -1.2716 0.89825
27237 1 3454583 3481115 87 12 39883 -1.4401 0.92508
1953 1 3487942 3624757 543 86 39883 -1.6492 0.95045
127262 1 3624992 3630131 12 4 39883 -0.90441 0.81711
49856 1 3630767 3650107 31 10 39883 -2.0861 0.98152
7161 1 3652565 3736201 278 53 39883 -1.0778 0.85944
148870 1 3752398 3771645 60 14 39883 -0.044863 0.51789
388588 1 3772761 3775982 11 5 39883 1.4546 0.072886
57470 1 3780220 3796504 80 16 39883 -0.25061 0.59894
9731 1 3812081 3857387 276 16 39883 1.1498 0.12512
1677 1 3857143 3885429 157 22 39883 -0.16832 0.56683
339448 1 3889133 3900293 41 8 39883 -0.26191 0.6033
55966 1 4655045 4792534 648 84 39883 -2.6982 0.99651
261734 1 5862808 5992505 374 20 39883 0.91131 0.18107
8514 1 5992298 6101193 294 46 39883 -0.46908 0.68049
