GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 38238 -2.6299 0.99573
105378580 1 803398 805130 4 2 38238 -2.7767 0.99725
148398 1 925741 944581 51 16 38238 -2.47 0.99324
26155 1 944203 959299 41 9 38238 -1.8208 0.96568
339451 1 959952 965720 15 3 38238 -1.2649 0.89705
84069 1 966497 975108 24 10 38238 -2.7794 0.99728
84808 1 975199 982117 20 5 38238 -1.3104 0.90497
57801 1 998962 1001285 11 3 38238 -0.95701 0.83072
9636 1 1013467 1014540 2 1 38238 -0.31289 0.62282
375790 1 1020101 1056119 105 15 38238 -0.060156 0.52398
105369174 1 1061207 1066390 10 5 38238 0.20949 0.41703
105378948 1 1065635 1069326 8 3 38238 1.2243 0.11041
401934 1 1071746 1074307 5 2 38238 1.6147 0.053182
54991 1 1081818 1116356 110 14 38238 -0.071133 0.52835
254173 1 1173898 1197935 137 20 38238 0.54359 0.29336
8784 1 1203508 1206709 10 2 38238 -0.44763 0.67279
7293 1 1211326 1214638 8 3 38238 0.89698 0.18486
51150 1 1216908 1232067 86 5 38238 0.90788 0.18197
126792 1 1232249 1235041 6 2 38238 -0.75844 0.77591
388581 1 1242446 1247218 13 3 38238 0.003463 0.49862
118424 1 1253912 1273854 40 7 38238 -1.6575 0.95129
6339 1 1280415 1292029 39 14 38238 -2.2215 0.98684
116983 1 1292384 1307925 42 10 38238 -1.9243 0.97284
126789 1 1308571 1311677 4 2 38238 -1.6256 0.94798
54973 1 1311585 1324687 17 6 38238 -2.1858 0.98559
80772 1 1324756 1328896 10 2 38238 -0.80316 0.78906
83756 1 1328999 1335320 21 7 38238 -2.3488 0.99058
1855 1 1335278 1349158 29 8 38238 -2.4253 0.99235
54587 1 1352689 1363541 30 5 38238 -1.4693 0.92912
54998 1 1373730 1375438 8 4 38238 -2.4088 0.992
81669 1 1385711 1399338 21 7 38238 -2.3629 0.99093
55052 1 1401896 1407834 15 6 38238 -2.2034 0.98622
441869 1 1418420 1421820 10 4 38238 -1.7199 0.95727
643965 1 1426128 1427787 8 3 38238 -2.0655 0.98056
64856 1 1435523 1442882 14 4 38238 -2.3198 0.98982
219293 1 1441301 1470158 85 14 38238 -2.7868 0.99734
83858 1 1471732 1509479 89 21 38238 -2.4925 0.99366
55210 1 1512143 1534687 78 13 38238 -1.0919 0.86257
339453 1 1534778 1540360 12 7 38238 -1.7569 0.96053
29101 1 1541673 1574882 91 11 38238 -1.2341 0.89142
643988 1 1598008 1600096 2 1 38238 -1.1343 0.87166
142678 1 1614975 1630610 36 8 38238 -2.4439 0.99274
984 1 1635226 1659839 33 6 38238 -2.0139 0.97799
728661 1 1660025 1692804 73 17 38238 -2.1645 0.98479
728642 1 1702730 1724352 67 5 38238 0.44739 0.3273
9906 1 1724838 1745999 62 11 38238 0.10106 0.45975
65220 1 1751232 1780514 63 9 38238 0.52621 0.29937
2782 1 1785285 1891117 154 23 38238 -0.070872 0.52825
105378949 1 1885960 1893010 14 7 38238 0.048853 0.48052
163688 1 1913752 1917294 13 3 38238 0.73224 0.23201
339456 1 1917589 1919301 5 2 38238 -0.57694 0.71801
85452 1 1921951 2003837 312 26 38238 -0.53238 0.70277
2563 1 2019329 2030753 27 6 38238 -0.79468 0.7866
5590 1 2050470 2185395 379 30 38238 -1.911 0.97199
100506504 1 2181811 2184360 4 2 38238 -0.53298 0.70298
199990 1 2184460 2212720 46 10 38238 -1.0468 0.85241
105378592 1 2208942 2215211 17 8 38238 -0.73282 0.76817
6497 1 2228695 2310213 231 45 38238 -0.59502 0.72409
105378594 1 2280383 2284676 13 5 38238 0.15382 0.43888
79906 1 2321253 2391751 282 34 38238 1.1548 0.12409
11079 1 2391314 2405444 34 11 38238 -1.1076 0.86597
5192 1 2404802 2413780 22 8 38238 -0.95517 0.83025
9651 1 2415782 2505530 306 48 38238 0.69986 0.24201
55229 1 2508531 2526628 39 6 38238 1.3906 0.082172
388585 1 2528745 2530245 3 2 38238 0.19647 0.42212
8764 1 2556365 2565622 19 6 38238 0.35306 0.36202
127281 1 2586460 2591469 9 3 38238 -0.45867 0.67677
79258 1 2590639 2633042 146 10 38238 -1.3077 0.90452
100287898 1 2636988 2789665 85 13 38238 -1.5399 0.93821
140625 1 3021482 3022903 4 2 38238 -0.24604 0.59718
63976 1 3068227 3438621 1321 167 38238 -0.26571 0.60477
27237 1 3454583 3481115 87 12 38238 0.94529 0.17226
1953 1 3487942 3624757 543 86 38238 -0.55108 0.70921
127262 1 3624992 3630131 12 4 38238 -0.86974 0.80778
49856 1 3630767 3650107 31 10 38238 -1.3426 0.9103
7161 1 3652565 3736201 279 53 38238 -1.2614 0.89642
148870 1 3752398 3771645 60 14 38238 0.025019 0.49002
388588 1 3772761 3775982 11 5 38238 1.5571 0.059724
57470 1 3780220 3796504 80 16 38238 0.57939 0.28116
