GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 128266 1.609 0.053806
105378580 1 803398 805130 4 2 128266 -0.1792 0.57111
148398 1 925741 944581 56 18 128266 1.7232 0.042427
26155 1 944203 959299 47 8 128266 1.1107 0.13334
339451 1 959952 965720 17 4 128266 0.70206 0.24132
84069 1 966497 975108 29 13 128266 2.7432 0.0030419
84808 1 975199 982117 22 6 128266 2.2128 0.013456
57801 1 998962 1001285 12 4 128266 -1.2929 0.90198
9636 1 1013467 1014540 6 2 128266 -1.0433 0.85159
375790 1 1020101 1056119 117 16 128266 -0.57842 0.71851
105369174 1 1061207 1066390 10 5 128266 0.692 0.24447
105378948 1 1065635 1069326 10 3 128266 0.558 0.28842
401934 1 1071746 1074307 6 2 128266 -0.23826 0.59416
54991 1 1081818 1116356 115 15 128266 0.28433 0.38808
254173 1 1173898 1197935 142 20 128266 -0.69724 0.75717
8784 1 1203508 1206709 10 2 128266 -0.47102 0.68119
7293 1 1211326 1214638 9 4 128266 0.56586 0.28574
51150 1 1216908 1232067 93 6 128266 -0.45377 0.675
126792 1 1232249 1235041 7 2 128266 1.6039 0.054369
388581 1 1242446 1247218 13 3 128266 -0.19379 0.57683
118424 1 1253912 1273854 42 7 128266 -0.47534 0.68273
6339 1 1280415 1292029 44 16 128266 -1.4986 0.93302
116983 1 1292384 1307925 44 10 128266 0.20486 0.41884
126789 1 1308571 1311677 5 3 128266 1.1677 0.12146
54973 1 1311585 1324687 19 6 128266 0.60425 0.27284
80772 1 1324756 1328896 10 2 128266 0.1806 0.42834
83756 1 1328999 1335320 26 8 128266 0.3464 0.36452
1855 1 1335278 1349158 34 9 128266 1.2975 0.097224
54587 1 1352689 1363541 36 6 128266 0.34093 0.36658
54998 1 1373730 1375438 8 4 128266 0.85478 0.19634
81669 1 1385711 1399338 22 7 128266 0.045515 0.48185
55052 1 1401896 1407834 15 6 128266 0.75856 0.22406
441869 1 1418420 1421820 10 4 128266 0.61984 0.26768
643965 1 1426128 1427787 8 3 128266 0.29662 0.38338
64856 1 1435523 1442882 15 4 128266 -1.3873 0.91733
219293 1 1441301 1470158 87 14 128266 -1.4985 0.933
83858 1 1471732 1509479 95 22 128266 -0.070691 0.52818
55210 1 1512143 1534687 84 14 128266 1.2937 0.097892
339453 1 1534778 1540360 12 7 128266 0.49063 0.31184
29101 1 1541673 1574882 95 12 128266 -0.3155 0.62381
643988 1 1598008 1600096 2 1 128266 1.4275 0.076718
142678 1 1614975 1630610 39 9 128266 0.87668 0.19033
984 1 1635226 1659839 34 6 128266 -0.70923 0.76091
728661 1 1660025 1692804 77 17 128266 -0.78853 0.78481
728642 1 1702730 1724352 69 5 128266 1.2039 0.11431
9906 1 1724838 1745999 64 11 128266 0.93003 0.17618
65220 1 1751232 1780514 70 10 128266 0.87405 0.19105
2782 1 1785285 1891117 162 24 128266 0.77851 0.21814
105378949 1 1885960 1893010 14 7 128266 0.27345 0.39225
163688 1 1913752 1917294 13 3 128266 0.44889 0.32676
339456 1 1917589 1919301 6 3 128266 0.43797 0.33071
85452 1 1921951 2003837 336 28 128266 -0.21485 0.58506
2563 1 2019329 2030753 30 7 128266 0.42674 0.33478
5590 1 2050470 2185395 402 30 128266 -1.4632 0.9283
100506504 1 2181811 2184360 4 2 128266 -0.82503 0.79532
199990 1 2184460 2212720 52 12 128266 -1.2248 0.88967
105378592 1 2208942 2215211 19 9 128266 -0.65164 0.74268
6497 1 2228695 2310213 241 46 128266 0.20428 0.41907
105378594 1 2280383 2284676 14 5 128266 0.031708 0.48735
79906 1 2321253 2391751 302 38 128266 0.3093 0.37855
11079 1 2391314 2405444 37 11 128266 1.1166 0.13209
5192 1 2404802 2413780 26 9 128266 0.95328 0.17022
9651 1 2415782 2505530 324 46 128266 -0.3771 0.64695
55229 1 2508531 2526628 40 6 128266 1.494 0.067583
388585 1 2528745 2530245 3 2 128266 -0.27904 0.60989
8764 1 2556365 2565622 23 5 128266 2.1216 0.016935
127281 1 2586460 2591469 11 4 128266 1.2447 0.10661
79258 1 2590639 2633042 152 10 128266 2.2632 0.01181
100287898 1 2636988 2789665 91 13 128266 1.6645 0.04801
140625 1 3021482 3022903 4 2 128266 2.3462 0.0094824
63976 1 3068227 3438621 1387 172 128266 0.14668 0.44169
27237 1 3454583 3481115 92 13 128266 -0.78782 0.7846
1953 1 3487942 3624757 577 86 128266 -0.52293 0.69949
127262 1 3624992 3630131 13 5 128266 1.5497 0.060608
49856 1 3630767 3650107 33 10 128266 2.1749 0.01482
7161 1 3652565 3736201 295 54 128266 0.74075 0.22942
148870 1 3752398 3771645 67 15 128266 -1.0915 0.86247
388588 1 3772761 3775982 12 5 128266 -0.30093 0.61826
57470 1 3780220 3796504 80 16 128266 -0.76493 0.77784
9731 1 3812081 3857387 284 18 128266 -1.0807 0.86009
1677 1 3857143 3885429 163 23 128266 -1.454 0.92702
339448 1 3889133 3900293 41 8 128266 0.24095 0.4048
55966 1 4655045 4792534 671 86 128266 -1.3464 0.91092
261734 1 5862808 5992505 393 22 128266 -0.28036 0.6104
8514 1 5992298 6101193 307 51 128266 5.002 2.8368e-07
26038 1 6101787 6180134 273 33 128266 0.79647 0.21288
6146 1 6185020 6199619 35 7 128266 0.3034 0.38079
388591 1 6205775 6221299 34 5 128266 -1.0484 0.85278
23463 1 6221193 6235984 28 6 128266 -1.1484 0.8746
390992 1 6244158 6245578 2 1 128266 -1.5162 0.93527
387509 1 6247346 6260990 36 3 128266 -1.1166 0.86793
11332 1 6264272 6393766 411 27 128266 0.96892 0.16629
54626 1 6415232 6424664 31 7 128266 -0.40256 0.65637
83715 1 6424776 6460944 105 12 128266 -0.97067 0.83414
8718 1 6461151 6466195 13 5 128266 -0.43721 0.66902
57449 1 6466092 6520061 139 25 128266 -1.3872 0.91731
79707 1 6521347 6554598 101 3 128266 -0.73213 0.76796
80835 1 6555278 6579757 42 8 128266 -0.89686 0.8151
3104 1 6579991 6589280 9 4 128266 0.32568 0.37233
9903 1 6590724 6602898 30 9 128266 -0.59828 0.72517
148479 1 6613696 6624033 18 4 128266 -0.10961 0.54364
90326 1 6624865 6635586 33 7 128266 -0.57167 0.71623
55735 1 6634168 6701906 145 18 128266 -0.32049 0.6257
23261 1 6785324 7769706 2733 224 128266 -0.043554 0.51737
9341 1 7771269 7781432 33 9 128266 -0.51076 0.69524
8863 1 7784380 7845181 215 27 128266 -0.5227 0.69941
10911 1 7847612 7913610 303 28 128266 -0.47096 0.68116
3604 1 7915871 7943165 54 8 128266 1.1776 0.11949
11315 1 7961654 7985283 50 10 128266 0.88708 0.18752
54206 1 8011719 8026333 23 5 128266 0.78493 0.21625
50651 1 8318085 8344167 82 14 128266 -0.6649 0.74694
473 1 8352404 8817691 685 31 128266 1.3901 0.082255
2023 1 8861000 8879092 25 5 128266 -1.195 0.88397
765 1 8945785 8975092 117 26 128266 0.27874 0.39022
155184 1 8960853 9026384 220 56 128266 -1.2218 0.88911
6518 1 9036943 9071704 96 14 128266 0.10849 0.45681
80045 1 9103391 9129170 61 10 128266 0.25111 0.40086
9563 1 9234776 9271337 98 19 128266 0.55583 0.28916
80176 1 9292882 9369532 330 51 128266 1.3304 0.091689
84275 1 9539469 9582773 60 9 128266 0.46193 0.32207
199953 1 9588853 9614877 37 8 128266 -0.68437 0.75313
5293 1 9629889 9729114 200 36 128266 0.43437 0.33201
22883 1 9729021 9824526 130 17 128266 -0.11815 0.54703
56998 1 9848276 9910258 74 13 128266 0.33365 0.36932
84328 1 9922110 9943402 44 10 128266 0.056733 0.47738
64802 1 9942923 9985501 88 14 128266 -0.71365 0.76228
105376719 1 9996423 9998089 10 3 128266 -1.0339 0.8494
116362 1 9997197 10016020 36 5 128266 -0.11904 0.54738
10277 1 10032983 10181239 309 17 128266 1.1052 0.13454
23095 1 10210706 10381603 522 17 128266 1.218 0.11161
5226 1 10398992 10420511 50 8 128266 0.082996 0.46693
378708 1 10430102 10442815 37 5 128266 -0.44393 0.67145
100526739 1 10430102 10452003 56 8 128266 0.00057372 0.49977
1325 1 10449719 10452003 5 2 128266 1.0574 0.14516
1676 1 10460531 10472556 18 5 128266 0.22027 0.41283
5195 1 10474946 10630758 369 28 128266 1.7364 0.041249
54897 1 10636604 10796676 438 90 128266 -0.79407 0.78642
148345 1 10946473 10982037 126 18 128266 -0.34278 0.63412
23435 1 11012622 11025492 22 4 128266 0.29021 0.38583
10747 1 11026523 11047239 57 7 128266 -0.61675 0.7313
6723 1 11054592 11060034 8 3 128266 -0.23879 0.59437
5394 1 11066613 11099910 97 6 128266 -0.079433 0.53166
2475 1 11106531 11262557 339 11 128266 -0.098256 0.53914
10218 1 11189289 11195981 15 3 128266 0.16975 0.4326
29914 1 11273198 11296595 35 6 128266 0.2812 0.38928
57540 1 11479238 11537583 150 16 128266 0.40832 0.34152
