GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 184305 -0.58669 0.72129
105378580 1 803398 805130 4 2 184305 -0.19478 0.57722
148398 1 925741 944581 51 16 184305 0.32293 0.37338
26155 1 944203 959299 41 9 184305 -0.98013 0.83649
339451 1 959952 965720 15 3 184305 -0.85155 0.80277
84069 1 966497 975108 24 10 184305 0.39647 0.34588
84808 1 975199 982117 20 5 184305 1.4393 0.075037
57801 1 998962 1001285 11 3 184305 2.4383 0.007379
9636 1 1013467 1014540 3 1 184305 1.3309 0.091612
375790 1 1020101 1056119 108 15 184305 1.6752 0.04695
105369174 1 1061207 1066390 10 5 184305 -1.0523 0.85367
105378948 1 1065635 1069326 9 3 184305 0.29971 0.3822
401934 1 1071746 1074307 6 2 184305 0.51056 0.30483
54991 1 1081818 1116356 113 14 184305 0.19124 0.42417
254173 1 1173898 1197935 141 20 184305 -0.69565 0.75668
8784 1 1203508 1206709 10 2 184305 -1.6526 0.9508
7293 1 1211326 1214638 8 3 184305 -1.5319 0.93723
51150 1 1216908 1232067 91 6 184305 -0.93003 0.82382
126792 1 1232249 1235041 7 2 184305 -0.72435 0.76558
388581 1 1242446 1247218 13 3 184305 -0.43545 0.66838
118424 1 1253912 1273854 42 7 184305 0.27085 0.39325
6339 1 1280415 1292029 43 15 184305 -1.2361 0.89179
116983 1 1292384 1307925 43 10 184305 -0.23361 0.59236
126789 1 1308571 1311677 5 3 184305 -0.25837 0.60194
54973 1 1311585 1324687 19 6 184305 -0.78132 0.78269
80772 1 1324756 1328896 10 2 184305 -0.10855 0.54322
83756 1 1328999 1335320 25 7 184305 -0.82987 0.79669
1855 1 1335278 1349158 33 9 184305 -1.0562 0.85456
54587 1 1352689 1363541 34 5 184305 -0.42948 0.66621
54998 1 1373730 1375438 8 4 184305 0.25769 0.39832
81669 1 1385711 1399338 21 7 184305 0.95799 0.16903
55052 1 1401896 1407834 15 6 184305 0.28157 0.38914
441869 1 1418420 1421820 10 4 184305 0.27183 0.39288
643965 1 1426128 1427787 8 3 184305 0.12258 0.45122
64856 1 1435523 1442882 14 4 184305 0.64853 0.25832
219293 1 1441301 1470158 86 14 184305 0.24397 0.40363
83858 1 1471732 1509479 94 21 184305 -2.2271 0.98703
55210 1 1512143 1534687 80 13 184305 -0.91279 0.81932
339453 1 1534778 1540360 12 7 184305 -0.76017 0.77642
29101 1 1541673 1574882 93 11 184305 -0.73168 0.76782
643988 1 1598008 1600096 2 1 184305 -1.8452 0.9675
142678 1 1614975 1630610 36 8 184305 -0.73197 0.76791
984 1 1635226 1659839 33 6 184305 -1.5901 0.94409
728661 1 1660025 1692804 73 17 184305 -1.8344 0.9667
728642 1 1702730 1724352 68 5 184305 -0.82231 0.79455
9906 1 1724838 1745999 65 10 184305 -0.60141 0.72622
65220 1 1751232 1780514 69 10 184305 0.57633 0.2822
2782 1 1785285 1891117 159 23 184305 0.32626 0.37211
105378949 1 1885960 1893010 14 7 184305 -0.30072 0.61819
163688 1 1913752 1917294 13 3 184305 0.98521 0.16226
339456 1 1917589 1919301 6 3 184305 0.56023 0.28766
85452 1 1921951 2003837 326 26 184305 0.14627 0.44185
2563 1 2019329 2030753 27 6 184305 -1.2263 0.88996
5590 1 2050470 2185395 398 32 184305 -0.4622 0.67803
100506504 1 2181811 2184360 4 2 184305 -0.47515 0.68266
199990 1 2184460 2212720 49 11 184305 0.17219 0.43164
105378592 1 2208942 2215211 18 8 184305 2.2275 0.012957
6497 1 2228695 2310213 239 46 184305 4.5336 2.8997e-06
105378594 1 2280383 2284676 14 5 184305 0.75487 0.22516
79906 1 2321253 2391751 300 37 184305 0.1944 0.42293
11079 1 2391314 2405444 37 11 184305 -1.0481 0.85271
5192 1 2404802 2413780 26 9 184305 -0.72145 0.76468
9651 1 2415782 2505530 320 44 184305 0.073168 0.47084
55229 1 2508531 2526628 40 6 184305 0.8952 0.18534
388585 1 2528745 2530245 3 2 184305 1.2031 0.11447
8764 1 2556365 2565622 23 5 184305 -0.42697 0.6653
127281 1 2586460 2591469 11 4 184305 -0.84481 0.80089
79258 1 2590639 2633042 152 10 184305 -0.19509 0.57734
100287898 1 2636988 2789665 89 13 184305 -0.65432 0.74355
140625 1 3021482 3022903 4 2 184305 -0.29963 0.61777
63976 1 3068227 3438621 1376 176 184305 2.575 0.0050115
27237 1 3454583 3481115 91 12 184305 -0.67911 0.75147
1953 1 3487942 3624757 571 86 184305 -0.80276 0.78894
127262 1 3624992 3630131 13 5 184305 -1.7827 0.96269
49856 1 3630767 3650107 33 10 184305 -0.28115 0.6107
7161 1 3652565 3736201 292 53 184305 -1.0323 0.84904
148870 1 3752398 3771645 66 15 184305 -0.40563 0.65749
388588 1 3772761 3775982 12 5 184305 0.54653 0.29235
57470 1 3780220 3796504 80 16 184305 0.92802 0.1767
9731 1 3812081 3857387 284 18 184305 0.21775 0.41381
1677 1 3857143 3885429 163 23 184305 1.5818 0.056843
339448 1 3889133 3900293 41 8 184305 1.3609 0.086778
55966 1 4655045 4792534 670 87 184305 -1.9256 0.97292
261734 1 5862808 5992505 391 23 184305 -1.1928 0.88353
8514 1 5992298 6101193 303 47 184305 -1.1255 0.86981
26038 1 6101787 6180134 273 33 184305 -1.2589 0.89597
6146 1 6185020 6199619 35 7 184305 -0.9061 0.81756
388591 1 6205775 6221299 34 5 184305 0.3679 0.35647
23463 1 6221193 6235984 28 6 184305 -0.29729 0.61688
390992 1 6244158 6245578 2 1 184305 1.5377 0.062059
387509 1 6247346 6260990 36 3 184305 1.7639 0.038874
11332 1 6264272 6393766 405 26 184305 -0.12162 0.5484
54626 1 6415232 6424664 31 7 184305 0.99257 0.16046
83715 1 6424776 6460944 105 12 184305 0.60153 0.27374
8718 1 6461151 6466195 13 5 184305 0.70795 0.23949
57449 1 6466092 6520061 138 25 184305 1.166 0.12181
79707 1 6521347 6554598 101 3 184305 0.80847 0.20941
80835 1 6555278 6579757 42 8 184305 0.52395 0.30016
3104 1 6579991 6589280 9 4 184305 0.51328 0.30388
9903 1 6590724 6602898 30 9 184305 0.17511 0.4305
148479 1 6613696 6624033 18 4 184305 0.44625 0.32771
90326 1 6624865 6635586 32 7 184305 -0.81499 0.79246
55735 1 6634168 6701906 144 17 184305 -0.23095 0.59132
23261 1 6785324 7769706 2725 223 184305 0.66807 0.25204
9341 1 7771269 7781432 33 9 184305 1.9584 0.025093
8863 1 7784380 7845181 215 27 184305 1.9715 0.024332
10911 1 7847612 7913610 303 28 184305 -0.71623 0.76307
3604 1 7915871 7943165 54 8 184305 -1.3204 0.90665
11315 1 7961654 7985283 49 10 184305 -0.14951 0.55942
54206 1 8011719 8026333 23 5 184305 0.61332 0.26983
50651 1 8318085 8344167 82 14 184305 2.8815 0.0019791
473 1 8352404 8817691 683 30 184305 1.2977 0.097195
2023 1 8861000 8879092 25 5 184305 0.17608 0.43012
765 1 8945785 8975092 117 26 184305 -0.20002 0.57927
155184 1 8960853 9026384 218 55 184305 -0.52378 0.69978
6518 1 9036943 9071704 96 14 184305 0.93987 0.17364
80045 1 9103391 9129170 61 10 184305 2.3874 0.0084829
9563 1 9234776 9271337 98 19 184305 0.84188 0.19993
80176 1 9292882 9369532 330 51 184305 -0.69925 0.7578
84275 1 9539469 9582773 60 9 184305 1.0799 0.14009
199953 1 9588853 9614877 37 8 184305 2.0373 0.020809
5293 1 9629889 9729114 200 36 184305 -1.4546 0.92711
22883 1 9729021 9824526 129 16 184305 0.70892 0.23919
56998 1 9848276 9910258 72 13 184305 -0.53377 0.70325
84328 1 9922110 9943402 44 10 184305 -0.19283 0.57645
64802 1 9942923 9985501 85 13 184305 0.13003 0.44827
105376719 1 9996423 9998089 10 3 184305 0.83649 0.20144
116362 1 9997197 10016020 36 5 184305 0.71576 0.23707
10277 1 10032983 10181239 305 16 184305 0.44743 0.32728
23095 1 10210706 10381603 520 17 184305 0.31202 0.37751
5226 1 10398992 10420511 50 8 184305 0.051205 0.47958
378708 1 10430102 10442815 37 5 184305 1.1347 0.12824
100526739 1 10430102 10452003 56 8 184305 1.0265 0.15234
1325 1 10449719 10452003 5 2 184305 0.042607 0.48301
1676 1 10460531 10472556 18 5 184305 0.86592 0.19327
5195 1 10474946 10630758 367 28 184305 0.51869 0.30199
54897 1 10636604 10796676 433 88 184305 1.0636 0.14375
148345 1 10946473 10982037 124 18 184305 -0.1961 0.57773
23435 1 11012622 11025492 22 4 184305 -1.4526 0.92684
10747 1 11026523 11047239 56 7 184305 -0.93825 0.82594
6723 1 11054592 11060034 8 3 184305 -0.30703 0.62059
5394 1 11066613 11099910 96 6 184305 -0.39087 0.65205
2475 1 11106531 11262557 339 11 184305 -0.72948 0.76715
10218 1 11189289 11195981 15 3 184305 -0.84835 0.80188
29914 1 11273198 11296595 35 6 184305 -1.0597 0.85537
57540 1 11479238 11537583 148 16 184305 0.72594 0.23394
26232 1 11648361 11654831 21 12 184305 -0.73139 0.76773
93611 1 11654375 11663327 23 7 184305 0.26 0.39743
26270 1 11664093 11674354 34 10 184305 -0.3347 0.63108
10459 1 11674480 11691788 65 14 184305 -0.13317 0.55297
374946 1 11686647 11720612 104 22 184305 -1.3616 0.91334
57085 1 11735474 11750771 38 9 184305 1.3417 0.089845
284498 1 11762183 11789585 149 11 184305 1.5058 0.06606
4524 1 11785730 11806103 78 11 184305 1.9526 0.025436
1185 1 11806096 11843144 194 15 184305 1.6232 0.052274
4878 1 11845709 11847783 15 4 184305 0.96278 0.16783
90231 1 11919588 11926428 21 7 184305 0.038693 0.48457
5351 1 11934667 11975542 106 11 184305 -1.4432 0.92552
9927 1 11980181 12013515 89 10 184305 -0.30356 0.61927
60672 1 12019242 12032049 22 5 184305 -1.1719 0.87939
943 1 12063330 12144207 205 43 184305 -0.76511 0.7779
7133 1 12166949 12209222 121 17 184305 2.0466 0.020348
55187 1 12230039 12512047 360 33 184305 -1.2458 0.89358
9249 1 12567910 12618361 169 35 184305 2.1089 0.017476
343066 1 12644547 12667086 51 6 184305 -0.1975 0.57828
126767 1 12716115 12728759 43 7 184305 -1.4204 0.92226
93190 1 12746186 12761169 45 10 184305 -1.1948 0.88392
390999 1 12763223 12777906 44 9 184305 -1.8039 0.96438
65121 1 12791397 12796628 14 4 184305 0.65419 0.2565
440560 1 12824380 12831410 28 7 184305 -1.1004 0.86443
343069 1 12847377 12848756 7 3 184305 -2.2206 0.98681
65122 1 12857086 12861909 35 7 184305 -1.0335 0.84931
400735 1 12879212 12886201 36 7 184305 -1.3395 0.9098
343071 1 12892896 12898270 5 2 184305 0.51616 0.30287
441871 1 12916647 12920480 1 1 184305 -0.050931 0.52031
440563 1 13115488 13116854 10 5 184305 -0.29804 0.61717
645382 1 13303516 13309027 3 1 184305 0.3958 0.34613
391004 1 13389632 13392629 6 3 184305 -1.5704 0.94184
