GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 27098 -2.6641 0.99614
105378580 1 803398 805130 4 2 27098 -3.5546 0.99981
148398 1 925741 944581 51 16 27098 -4.556 1
26155 1 944203 959299 41 9 27098 -2.6869 0.99639
339451 1 959952 965720 15 3 27098 -1.8656 0.96895
84069 1 966497 975108 24 10 27098 -3.7212 0.9999
84808 1 975199 982117 20 5 27098 -1.2509 0.89451
57801 1 998962 1001285 11 3 27098 -1.1478 0.87448
9636 1 1013467 1014540 2 1 27098 0.26511 0.39546
375790 1 1020101 1056119 104 15 27098 -2.2484 0.98772
105369174 1 1061207 1066390 10 5 27098 -1.1694 0.87888
105378948 1 1065635 1069326 8 3 27098 -0.52151 0.69899
401934 1 1071746 1074307 5 2 27098 -0.29194 0.61484
54991 1 1081818 1116356 110 14 27098 -1.3788 0.91602
254173 1 1173898 1197935 136 19 27098 -2.2135 0.98657
8784 1 1203508 1206709 10 2 27098 -0.53313 0.70303
7293 1 1211326 1214638 8 3 27098 -1.3508 0.91162
51150 1 1216908 1232067 85 5 27098 -1.3128 0.90537
126792 1 1232249 1235041 6 2 27098 -0.68632 0.75374
388581 1 1242446 1247218 13 3 27098 -1.3462 0.91088
118424 1 1253912 1273854 38 8 27098 -1.3674 0.91425
6339 1 1280415 1292029 39 14 27098 -3.2768 0.99948
116983 1 1292384 1307925 41 10 27098 -2.2114 0.98649
126789 1 1308571 1311677 3 2 27098 -1.6742 0.95295
54973 1 1311585 1324687 17 6 27098 -2.1116 0.98264
80772 1 1324756 1328896 10 2 27098 -1.0539 0.85402
83756 1 1328999 1335320 21 7 27098 -2.4116 0.99206
1855 1 1335278 1349158 29 8 27098 -2.213 0.98655
54587 1 1352689 1363541 30 5 27098 -1.5953 0.94468
54998 1 1373730 1375438 8 4 27098 -1.6259 0.94802
81669 1 1385711 1399338 21 7 27098 -2.2735 0.9885
55052 1 1401896 1407834 15 6 27098 -1.9581 0.97489
441869 1 1418420 1421820 10 4 27098 -1.6478 0.9503
643965 1 1426128 1427787 8 3 27098 -2.3019 0.98933
64856 1 1435523 1442882 14 4 27098 -1.9702 0.97559
219293 1 1441301 1470158 85 14 27098 -2.8952 0.99811
83858 1 1471732 1509479 89 21 27098 -3.184 0.99927
55210 1 1512143 1534687 78 13 27098 -1.6858 0.95408
339453 1 1534778 1540360 12 7 27098 -3.1273 0.99912
29101 1 1541673 1574882 91 11 27098 -1.8952 0.97097
643988 1 1598008 1600096 2 1 27098 -1.8758 0.96966
142678 1 1614975 1630610 36 8 27098 -2.6211 0.99562
984 1 1635226 1659839 33 6 27098 -2.3666 0.99102
728661 1 1660025 1692804 73 17 27098 -1.2709 0.89813
728642 1 1702730 1724352 67 5 27098 -1.1212 0.8689
9906 1 1724838 1745999 62 11 27098 -1.4912 0.93205
65220 1 1751232 1780514 63 9 27098 -0.20358 0.58066
2782 1 1785285 1891117 152 23 27098 -1.2469 0.89379
105378949 1 1885960 1893010 13 7 27098 -1.1988 0.88469
163688 1 1913752 1917294 13 3 27098 -0.086653 0.53453
339456 1 1917589 1919301 5 2 27098 -0.98481 0.83764
85452 1 1921951 2003837 312 26 27098 -1.0874 0.86156
2563 1 2019329 2030753 27 6 27098 -1.6175 0.94712
5590 1 2050470 2185395 376 30 27098 -0.45943 0.67704
100506504 1 2181811 2184360 4 2 27098 -0.76261 0.77715
199990 1 2184460 2212720 45 11 27098 0.1766 0.42991
105378592 1 2208942 2215211 17 8 27098 0.29447 0.3842
6497 1 2228695 2310213 223 45 27098 -0.89953 0.81582
105378594 1 2280383 2284676 13 5 27098 0.8281 0.20381
79906 1 2321253 2391751 279 34 27098 -1.7889 0.96319
11079 1 2391314 2405444 34 11 27098 -0.74132 0.77075
5192 1 2404802 2413780 22 8 27098 -0.59107 0.72276
9651 1 2415782 2505530 305 46 27098 -0.19613 0.57774
55229 1 2508531 2526628 38 6 27098 1.0045 0.15757
388585 1 2528745 2530245 3 2 27098 2.8484 0.0021967
8764 1 2556365 2565622 19 6 27098 4.4496 4.3023e-06
127281 1 2586460 2591469 9 3 27098 5.7044 5.839e-09
79258 1 2590639 2633042 145 10 27098 6.7876 5.6988e-12
100287898 1 2636988 2789665 85 13 27098 4.5749 2.3828e-06
140625 1 3021482 3022903 3 1 27098 -0.59769 0.72498
63976 1 3068227 3438621 1303 164 27098 -3.1922 0.99929
27237 1 3454583 3481115 86 12 27098 -0.78443 0.78361
1953 1 3487942 3624757 542 83 27098 -3.6894 0.99989
127262 1 3624992 3630131 12 4 27098 -1.5758 0.94246
49856 1 3630767 3650107 30 10 27098 -1.9779 0.97603
7161 1 3652565 3736201 276 52 27098 -3.2544 0.99943
148870 1 3752398 3771645 58 14 27098 -0.75065 0.77357
388588 1 3772761 3775982 11 5 27098 -0.20572 0.58149
57470 1 3780220 3796504 79 16 27098 -1.8295 0.96634
9731 1 3812081 3857387 272 16 27098 -0.62623 0.73442
1677 1 3857143 3885429 156 22 27098 -1.5049 0.93383
339448 1 3889133 3900293 40 8 27098 -1.2008 0.88509
55966 1 4655045 4792534 641 86 27098 -2.9231 0.99827
261734 1 5862808 5992505 369 19 27098 -0.5361 0.70406
8514 1 5992298 6101193 289 46 27098 -2.7098 0.99663
26038 1 6101787 6180134 263 31 27098 -0.49879 0.69104
6146 1 6185020 6199619 35 7 27098 0.11729 0.45332
388591 1 6205775 6221299 31 5 27098 -0.8652 0.80654
23463 1 6221193 6235984 27 6 27098 -0.73272 0.76813
390992 1 6244158 6245578 2 1 27098 -0.46278 0.67824
387509 1 6247346 6260990 35 3 27098 -0.48106 0.68476
11332 1 6264272 6393766 392 26 27098 1.3204 0.093345
54626 1 6415232 6424664 28 6 27098 1.7369 0.041205
83715 1 6424776 6460944 100 12 27098 1.856 0.031726
8718 1 6461151 6466195 13 5 27098 2.0276 0.0213
57449 1 6466092 6520061 131 24 27098 2.427 0.0076117
