GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 -1.4223 0.92253
105378580 1 803398 805130 4 2 337119 -0.63073 0.73589
148398 1 925741 944581 54 17 337119 -0.88554 0.81207
26155 1 944203 959299 49 8 337119 -0.072067 0.52873
339451 1 959952 965720 17 4 337119 0.20877 0.41732
84069 1 966497 975108 29 13 337119 0.23165 0.4084
84808 1 975199 982117 22 6 337119 1.0964 0.13646
57801 1 998962 1001285 12 4 337119 2.3593 0.0091549
9636 1 1013467 1014540 5 2 337119 0.020164 0.49196
375790 1 1020101 1056119 115 16 337119 0.92609 0.1772
105369174 1 1061207 1066390 10 5 337119 0.98854 0.16144
105378948 1 1065635 1069326 10 3 337119 -0.75107 0.7737
401934 1 1071746 1074307 6 2 337119 0.23511 0.40706
54991 1 1081818 1116356 114 14 337119 -0.26176 0.60325
254173 1 1173898 1197935 143 20 337119 -0.70781 0.76047
8784 1 1203508 1206709 10 2 337119 -0.89521 0.81466
7293 1 1211326 1214638 8 3 337119 -0.80554 0.78974
51150 1 1216908 1232067 93 6 337119 -0.54963 0.70871
126792 1 1232249 1235041 7 2 337119 -0.75226 0.77405
388581 1 1242446 1247218 13 3 337119 -1.4848 0.93121
118424 1 1253912 1273854 42 7 337119 -1.0093 0.84359
6339 1 1280415 1292029 43 15 337119 -0.4714 0.68132
116983 1 1292384 1307925 43 10 337119 -0.94646 0.82804
126789 1 1308571 1311677 5 3 337119 -1.486 0.93136
54973 1 1311585 1324687 19 6 337119 -0.82364 0.79493
80772 1 1324756 1328896 10 2 337119 -0.73028 0.76739
83756 1 1328999 1335320 26 8 337119 -1.1879 0.88257
1855 1 1335278 1349158 34 9 337119 -0.83737 0.79881
54587 1 1352689 1363541 36 6 337119 -0.91312 0.81941
54998 1 1373730 1375438 8 4 337119 -1.862 0.9687
81669 1 1385711 1399338 21 7 337119 -0.45814 0.67658
55052 1 1401896 1407834 15 6 337119 -0.8578 0.8045
441869 1 1418420 1421820 10 4 337119 0.43365 0.33227
