GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 1.3567 0.087438
105378580 1 803398 805130 4 2 337119 0.1949 0.42274
148398 1 925741 944581 54 17 337119 1.1849 0.11802
26155 1 944203 959299 49 8 337119 0.044294 0.48234
339451 1 959952 965720 17 4 337119 0.0015482 0.49938
84069 1 966497 975108 29 13 337119 2.1427 0.016068
84808 1 975199 982117 22 6 337119 2.7651 0.0028453
57801 1 998962 1001285 12 4 337119 2.2543 0.012089
9636 1 1013467 1014540 5 2 337119 1.7321 0.041631
375790 1 1020101 1056119 115 16 337119 4.9951 2.9409e-07
105369174 1 1061207 1066390 10 5 337119 2.3194 0.010186
105378948 1 1065635 1069326 10 3 337119 1.4761 0.069954
401934 1 1071746 1074307 6 2 337119 2.5398 0.0055458
54991 1 1081818 1116356 114 14 337119 1.8928 0.029189
254173 1 1173898 1197935 143 20 337119 0.060435 0.4759
8784 1 1203508 1206709 10 2 337119 0.33142 0.37016
7293 1 1211326 1214638 8 3 337119 0.70287 0.24107
51150 1 1216908 1232067 93 6 337119 1.5838 0.056622
126792 1 1232249 1235041 7 2 337119 0.22697 0.41023
388581 1 1242446 1247218 13 3 337119 2.1857 0.01442
118424 1 1253912 1273854 42 7 337119 1.3013 0.096572
6339 1 1280415 1292029 43 15 337119 2.8941 0.0019011
116983 1 1292384 1307925 43 10 337119 2.8934 0.0019055
126789 1 1308571 1311677 5 3 337119 1.8923 0.029223
54973 1 1311585 1324687 19 6 337119 2.2859 0.01113
80772 1 1324756 1328896 10 2 337119 2.9164 0.0017703
83756 1 1328999 1335320 26 8 337119 2.772 0.0027855
1855 1 1335278 1349158 34 9 337119 2.9054 0.0018338
54587 1 1352689 1363541 36 6 337119 2.9853 0.0014164
54998 1 1373730 1375438 8 4 337119 2.2215 0.013157
81669 1 1385711 1399338 21 7 337119 3.4226 0.00031015
55052 1 1401896 1407834 15 6 337119 3.2237 0.0006328
441869 1 1418420 1421820 10 4 337119 -0.0049239 0.50196
643965 1 1426128 1427787 8 3 337119 2.3037 0.01062
64856 1 1435523 1442882 15 4 337119 4.4742 3.835e-06
219293 1 1441301 1470158 88 15 337119 2.4567 0.0070107
83858 1 1471732 1509479 90 21 337119 -0.41709 0.66169
55210 1 1512143 1534687 80 13 337119 2.0855 0.018514
339453 1 1534778 1540360 12 7 337119 4.8352 6.6503e-07
29101 1 1541673 1574882 93 11 337119 4.6325 1.8061e-06
643988 1 1598008 1600096 2 1 337119 1.4615 0.071938
142678 1 1614975 1630610 39 9 337119 1.525 0.063626
984 1 1635226 1659839 33 6 337119 4.7733 9.0628e-07
728661 1 1660025 1692804 75 16 337119 4.3534 6.7025e-06
728642 1 1702730 1724352 68 5 337119 -0.76241 0.77709
9906 1 1724838 1745999 64 11 337119 -0.25841 0.60196
65220 1 1751232 1780514 68 10 337119 -0.7897 0.78515
2782 1 1785285 1891117 160 23 337119 -1.1856 0.8821
105378949 1 1885960 1893010 14 7 337119 -1.2703 0.89801
163688 1 1913752 1917294 13 3 337119 -0.80489 0.78956
339456 1 1917589 1919301 6 3 337119 -0.35161 0.63744
85452 1 1921951 2003837 329 27 337119 0.053168 0.4788
2563 1 2019329 2030753 29 7 337119 1.2494 0.10575
5590 1 2050470 2185395 400 32 337119 7.4461 4.8064e-14
100506504 1 2181811 2184360 4 2 337119 6.68 1.1951e-11
199990 1 2184460 2212720 52 12 337119 7.4367 5.1612e-14
105378592 1 2208942 2215211 19 9 337119 7.6445 1.0492e-14
6497 1 2228695 2310213 240 46 337119 8.211 1.0967e-16
105378594 1 2280383 2284676 14 5 337119 1.5805 0.056998
79906 1 2321253 2391751 302 38 337119 3.4311 0.00030058
11079 1 2391314 2405444 37 11 337119 2.5316 0.0056766
5192 1 2404802 2413780 26 9 337119 2.2736 0.011495
9651 1 2415782 2505530 321 46 337119 -0.37877 0.64757
55229 1 2508531 2526628 40 6 337119 0.04719 0.48118
388585 1 2528745 2530245 3 2 337119 -0.94849 0.82856
8764 1 2556365 2565622 23 5 337119 -0.57258 0.71654
127281 1 2586460 2591469 11 4 337119 0.68832 0.24562
79258 1 2590639 2633042 149 10 337119 0.11374 0.45472
100287898 1 2636988 2789665 89 13 337119 1.2611 0.10364
140625 1 3021482 3022903 4 2 337119 0.38915 0.34858
63976 1 3068227 3438621 1383 172 337119 5.8103 3.1172e-09
27237 1 3454583 3481115 91 13 337119 2.8611 0.0021108
1953 1 3487942 3624757 572 88 337119 4.6445 1.7045e-06
127262 1 3624992 3630131 13 5 337119 1.4917 0.067887
49856 1 3630767 3650107 32 10 337119 3.2446 0.00058804
7161 1 3652565 3736201 295 54 337119 2.6285 0.0042876
148870 1 3752398 3771645 67 15 337119 1.993 0.023129
388588 1 3772761 3775982 12 5 337119 4.5445 2.7537e-06
57470 1 3780220 3796504 80 16 337119 4.9906 3.0096e-07
9731 1 3812081 3857387 284 18 337119 4.8765 5.3996e-07
1677 1 3857143 3885429 163 23 337119 3.7102 0.00010354
339448 1 3889133 3900293 41 8 337119 0.88209 0.18886
55966 1 4655045 4792534 669 86 337119 2.3702 0.0088901
261734 1 5862808 5992505 393 22 337119 1.0913 0.13757
8514 1 5992298 6101193 304 48 337119 2.0856 0.01851
26038 1 6101787 6180134 273 33 337119 -0.29514 0.61606
6146 1 6185020 6199619 35 7 337119 -0.55861 0.71178
388591 1 6205775 6221299 34 5 337119 0.52396 0.30015
23463 1 6221193 6235984 28 6 337119 0.065887 0.47373
390992 1 6244158 6245578 2 1 337119 1.954 0.025348
387509 1 6247346 6260990 36 3 337119 1.481 0.069307
11332 1 6264272 6393766 409 26 337119 1.0713 0.14201
54626 1 6415232 6424664 30 6 337119 1.2675 0.10249
83715 1 6424776 6460944 104 12 337119 2.1598 0.015395
8718 1 6461151 6466195 13 5 337119 1.4657 0.071359
57449 1 6466092 6520061 139 25 337119 3.4681 0.00026205
79707 1 6521347 6554598 101 3 337119 4.3305 7.4381e-06
80835 1 6555278 6579757 42 8 337119 5.2382 8.1087e-08
3104 1 6579991 6589280 9 4 337119 3.408 0.00032722
9903 1 6590724 6602898 30 9 337119 3.2686 0.00054041
148479 1 6613696 6624033 18 4 337119 2.9694 0.0014918
90326 1 6624865 6635586 33 7 337119 1.3579 0.087253
55735 1 6634168 6701906 144 18 337119 2.2451 0.012381
23261 1 6785324 7769706 2727 225 337119 4.2384 1.1254e-05
