GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 6986 -1.5097 0.93444
105378580 1 803398 805130 4 2 6986 -2.7138 0.99667
148398 1 925741 944581 51 16 6986 -4.3149 0.99999
26155 1 944203 959299 41 9 6986 -2.1637 0.98476
339451 1 959952 965720 15 3 6986 -1.4407 0.92517
84069 1 966497 975108 24 10 6986 -3.7997 0.99993
84808 1 975199 982117 20 5 6986 -3.1931 0.9993
57801 1 998962 1001285 11 3 6986 -2.3846 0.99145
9636 1 1013467 1014540 2 1 6986 -1.0746 0.85873
375790 1 1020101 1056119 104 15 6986 -1.7968 0.96382
105369174 1 1061207 1066390 10 5 6986 -1.3891 0.9176
105378948 1 1065635 1069326 8 3 6986 -1.2695 0.89787
401934 1 1071746 1074307 5 2 6986 -0.93029 0.82389
54991 1 1081818 1116356 110 14 6986 -0.58817 0.72179
254173 1 1173898 1197935 136 19 6986 -1.0726 0.85828
8784 1 1203508 1206709 10 2 6986 1.5143 0.064976
7293 1 1211326 1214638 8 3 6986 -0.76924 0.77912
51150 1 1216908 1232067 86 5 6986 -0.44627 0.6723
126792 1 1232249 1235041 6 2 6986 0.6979 0.24262
388581 1 1242446 1247218 13 3 6986 -0.032091 0.5128
118424 1 1253912 1273854 40 7 6986 1.4034 0.080255
6339 1 1280415 1292029 40 14 6986 0.29094 0.38555
116983 1 1292384 1307925 42 10 6986 0.27869 0.39024
126789 1 1308571 1311677 4 2 6986 -0.66063 0.74558
54973 1 1311585 1324687 17 6 6986 0.1516 0.43975
80772 1 1324756 1328896 10 2 6986 0.70839 0.23935
83756 1 1328999 1335320 21 7 6986 -0.089951 0.53584
1855 1 1335278 1349158 29 8 6986 -0.041403 0.51651
54587 1 1352689 1363541 30 5 6986 0.23174 0.40837
54998 1 1373730 1375438 8 4 6986 0.58341 0.27981
81669 1 1385711 1399338 21 7 6986 -0.50323 0.6926
55052 1 1401896 1407834 15 6 6986 -0.14536 0.55779
441869 1 1418420 1421820 10 4 6986 0.13935 0.44459
643965 1 1426128 1427787 8 3 6986 -1.1327 0.87133
64856 1 1435523 1442882 14 4 6986 -0.14678 0.55835
219293 1 1441301 1470158 85 14 6986 -1.1366 0.87214
83858 1 1471732 1509479 89 21 6986 -2.198 0.98603
55210 1 1512143 1534687 78 13 6986 -0.60217 0.72647
339453 1 1534778 1540360 12 7 6986 -2.2306 0.98714
29101 1 1541673 1574882 91 11 6986 -1.0901 0.86217
643988 1 1598008 1600096 2 1 6986 -1.6936 0.95483
142678 1 1614975 1630610 36 8 6986 -3.2003 0.99931
984 1 1635226 1659839 33 6 6986 -2.8789 0.998
728661 1 1660025 1692804 73 17 6986 -3.44 0.99971
728642 1 1702730 1724352 67 5 6986 -0.80739 0.79028
9906 1 1724838 1745999 62 11 6986 -0.76797 0.77875
65220 1 1751232 1780514 63 9 6986 -0.23926 0.59455
2782 1 1785285 1891117 153 23 6986 -0.91481 0.81985
105378949 1 1885960 1893010 13 7 6986 -1.1363 0.87209
163688 1 1913752 1917294 13 3 6986 0.62804 0.26499
339456 1 1917589 1919301 5 2 6986 0.26934 0.39383
85452 1 1921951 2003837 312 26 6986 -0.45666 0.67604
2563 1 2019329 2030753 27 6 6986 0.74691 0.22756
5590 1 2050470 2185395 379 30 6986 -0.40317 0.65659
100506504 1 2181811 2184360 4 2 6986 -0.18357 0.57283
199990 1 2184460 2212720 46 10 6986 -0.055921 0.5223
105378592 1 2208942 2215211 17 8 6986 -1.007 0.84302
6497 1 2228695 2310213 231 45 6986 -0.74607 0.77219
105378594 1 2280383 2284676 13 5 6986 -1.5845 0.94346
79906 1 2321253 2391751 282 34 6986 -0.86873 0.8075
11079 1 2391314 2405444 34 11 6986 -0.65744 0.74455
5192 1 2404802 2413780 22 8 6986 -0.68908 0.75461
9651 1 2415782 2505530 305 46 6986 -0.6789 0.7514
55229 1 2508531 2526628 39 6 6986 1.4239 0.077234
388585 1 2528745 2530245 3 2 6986 -2.4091 0.992
8764 1 2556365 2565622 19 6 6986 -0.92296 0.82199
127281 1 2586460 2591469 9 3 6986 -0.41074 0.65937
79258 1 2590639 2633042 146 10 6986 -0.22753 0.58999
100287898 1 2636988 2789665 85 13 6986 -0.52258 0.69937
140625 1 3021482 3022903 4 2 6986 -1.7511 0.96004
63976 1 3068227 3438621 1321 167 6986 -0.50945 0.69478
27237 1 3454583 3481115 87 12 6986 -1.5083 0.93426
1953 1 3487942 3624757 542 82 6986 -2.8151 0.99756
127262 1 3624992 3630131 12 4 6986 0.20909 0.41719
49856 1 3630767 3650107 31 10 6986 0.25413 0.3997
7161 1 3652565 3736201 279 53 6986 -2.247 0.98768
148870 1 3752398 3771645 60 14 6986 -0.485 0.68616
388588 1 3772761 3775982 11 5 6986 -0.85342 0.80329
57470 1 3780220 3796504 80 16 6986 -0.64165 0.73945
9731 1 3812081 3857387 276 16 6986 1.1591 0.1232
