GENE CHR START STOP NSNPS NPARAM N ZSTAT P
148398 1 859993 879961 1 1 26338 0.83147 0.20285
26155 1 879583 894679 5 2 73746 -0.58963 0.72228
84069 1 901872 910488 2 1 51022 -1.4936 0.93237
9636 1 948847 949920 1 1 92802 1.0365 0.14999
375790 1 955503 991499 4 2 85645 0.50813 0.30568
54991 1 1017198 1051736 1 1 88928 -0.022326 0.50891
254173 1 1109286 1133315 5 3 76822 1.0678 0.1428
8784 1 1138888 1142163 2 1 21194 -0.73386 0.76848
7293 1 1146706 1149703 1 1 33808 1.0022 0.15811
388581 1 1177826 1182102 2 1 88928 0.69824 0.24251
6339 1 1215816 1227409 6 3 70546 -0.093741 0.53734
83756 1 1266726 1269844 5 3 51945 0.67535 0.24973
1855 1 1270658 1284509 1 1 86435 1.0953 0.1367
54998 1 1309110 1310818 2 1 78872 0.010495 0.49581
81669 1 1321091 1334718 2 1 74893 1.9425 0.026039
441869 1 1353800 1356824 2 1 60122 -1.8864 0.97038
219293 1 1378152 1405538 1 1 45426 0.55486 0.28949
83858 1 1407139 1444852 2 1 56679 0.25291 0.40017
339453 1 1470158 1475740 1 1 81788 -0.93631 0.82544
142678 1 1550795 1565990 2 1 88928 0.3904 0.34812
728661 1 1591486 1624243 1 1 88928 -0.75408 0.7746
9906 1 1656277 1677438 1 1 67511 -0.27959 0.6101
65220 1 1682671 1711508 1 1 92802 0.058646 0.47662
163688 1 1846266 1848733 1 1 65388 1.9916 0.023208
339456 1 1849029 1850740 1 1 20341 0.059013 0.47647
85452 1 1853390 1935276 5 3 87889 0.54851 0.29167
5590 1 1981909 2116834 2 1 92802 -0.48773 0.68713
79906 1 2251719 2323190 2 1 92802 -2.0087 0.97772
11079 1 2323214 2336883 1 1 92802 1.2784 0.10056
5192 1 2336241 2344010 1 1 85120 -0.16963 0.56735
9651 1 2407754 2436964 2 1 90865 -0.38545 0.65005
55229 1 2439975 2458061 2 1 73910 -1.2208 0.88891
8764 1 2487291 2495268 2 1 52438 0.10644 0.45762
79258 1 2522078 2564499 4 1 92179 1.1181 0.13177
140625 1 2938046 2939467 2 1 90865 0.63754 0.26189
63976 1 2985565 3355185 6 4 67583 -0.36529 0.64255
27237 1 3371147 3397677 2 1 90865 -0.10569 0.54209
1953 1 3404506 3528059 11 6 77181 -0.068751 0.52741
49856 1 3547331 3566671 1 1 87020 -1.6088 0.94618
7161 1 3569129 3652765 1 1 45426 -0.21712 0.58594
148870 1 3668965 3688209 5 2 90420 -0.18359 0.57283
57470 1 3696784 3713068 1 1 84527 -0.94924 0.82875
9731 1 3728645 3773797 2 1 88665 -0.92312 0.82203
1677 1 3773845 3801993 1 1 84527 0.97921 0.16374
55966 1 4715105 4843851 1 1 60379 -0.021462 0.50856
261734 1 5922870 6052618 7 5 86217 2.0641 0.019503
8514 1 6052358 6161253 2 1 92802 0.39019 0.3482
388591 1 6266189 6281359 3 1 60992 0.6696 0.25156
390992 1 6304252 6305638 1 1 92802 -1.0017 0.84176
8718 1 6520787 6527432 1 1 71041 0.59959 0.27439
57449 1 6526152 6580121 6 2 65214 0.41647 0.33853
79707 1 6581407 6614658 2 1 55033 0.86008 0.19487
80835 1 6614987 6639817 6 4 83518 -0.092359 0.53679
3104 1 6640051 6649340 1 1 77892 -0.76491 0.77784
9903 1 6650784 6662958 1 1 77892 -0.16627 0.56603
55735 1 6694228 6761966 3 2 90044 0.030408 0.48787
23261 1 6845384 7829766 5 3 88497 -0.4199 0.66272
8863 1 7844413 7905241 6 2 67356 0.6071 0.27189
10911 1 7907672 7913551 3 1 92802 -0.50751 0.6941
3604 1 7975931 8003225 1 1 71221 -0.13191 0.55247
11315 1 8021714 8045342 1 1 43768 0.85408 0.19653
54206 1 8071779 8086393 1 1 92802 2.1865 0.014389
50651 1 8378171 8404227 1 1 92802 0.42293 0.33617
473 1 8412464 8877699 3 2 84693 1.6053 0.054217
765 1 9005893 9035151 5 3 65076 0.55052 0.29098
155184 1 9063359 9086404 2 1 91556 0.60205 0.27357
80045 1 9163472 9189229 1 1 92802 1.0079 0.15675
9563 1 9294822 9331396 4 2 75162 -1.7125 0.9566
199953 1 9648932 9674935 1 1 74018 -2.2691 0.98837
5293 1 9711789 9789172 1 1 45426 0.50584 0.30648
22883 1 9789079 9884550 2 1 86176 0.41984 0.3373
10277 1 10093041 10241297 2 1 89911 -1.0054 0.84265
23095 1 10270606 10441664 6 3 92494 1.0637 0.14374
5195 1 10535003 10690815 1 1 92802 -0.71854 0.76379
54897 1 10696661 10856733 4 2 92179 1.0503 0.14679
148345 1 11006530 11042094 7 3 81418 -0.84672 0.80142
10747 1 11086580 11107296 3 1 91971 -0.8417 0.80002
29914 1 11333255 11348491 1 1 92802 -0.24549 0.59696
57540 1 11539295 11597640 4 2 83355 -0.028072 0.5112
26270 1 11724150 11734411 1 1 92802 -0.062951 0.5251
374946 1 11751781 11780336 1 1 92802 0.22302 0.41176
4524 1 11845787 11866160 5 3 79865 0.88097 0.18917
1185 1 11866153 11903201 1 1 92802 -1.0847 0.86097
4878 1 11905766 11907840 2 1 92802 1.0494 0.14699
5351 1 11994724 12035599 3 2 91971 1.1812 0.11876
9927 1 12040238 12073572 1 1 37932 -1.2382 0.89218
60672 1 12079299 12092106 3 2 88929 1.3243 0.0927
943 1 12123434 12204264 4 2 87420 0.84487 0.19909
7133 1 12227044 12269279 2 1 81922 -0.30548 0.62
55187 1 12290101 12572099 4 2 87006 -0.99392 0.83987
126767 1 12776118 12788726 4 2 90733 -0.59034 0.72252
93190 1 12806163 12821102 1 1 77704 0.018177 0.49275
390999 1 12834984 12838049 3 1 50710 0.083528 0.46672
440560 1 12884468 12891264 1 1 37932 0.86798 0.1927
65122 1 12916941 12921764 5 2 20362 1.1167 0.13206
440563 1 13182960 13184326 1 1 92802 -0.64935 0.74194
126755 1 13801445 13840242 2 1 92802 -0.36234 0.64145
10630 1 13910252 13944452 1 1 87020 0.28944 0.38612
7799 1 14026714 14151574 9 4 81579 0.2582 0.39813
23254 1 14219646 15444544 6 4 91971 -1.237 0.89196
55092 1 15479028 15546974 1 1 69547 1.0337 0.15064
114827 1 15573730 15724767 9 6 91330 -1.3095 0.90482
63036 1 15783223 15798586 1 1 84527 0.24962 0.40144
51032 1 15802596 15817895 2 1 92802 1.4407 0.074841
842 1 15817896 15851407 4 2 77231 0.44864 0.32685
79814 1 15898194 15911605 2 1 89911 1.2745 0.10124
84301 1 15943953 15995539 1 1 92802 0.88158 0.189
6248 1 15986364 15988217 1 1 92802 0.88158 0.189
23207 1 16010632 16061264 1 1 90309 -2.7377 0.99691
388595 1 16068987 16074292 1 1 17052 -1.4196 0.92213
54751 1 16083107 16113089 1 1 92802 0.3952 0.34635
440567 1 16133657 16134194 1 1 92802 -0.85443 0.80357
23013 1 16174359 16266951 2 1 92802 -1.9099 0.97193
7709 1 16268364 16302627 1 1 92802 -1.359 0.91292
27129 1 16340523 16346084 1 1 77892 -1.8116 0.96497
1187 1 16348486 16360548 3 2 64067 0.77649 0.21873
1188 1 16370231 16383821 5 3 29970 3.7039 0.00010614
348487 1 16384264 16400127 1 1 92802 -0.15917 0.56323
1969 1 16450832 16482582 5 3 69141 0.3269 0.37187
128272 1 16524599 16539104 5 2 86714 -1.2477 0.89392
54455 1 16573339 16678965 2 1 89911 1.3737 0.084772
374955 1 16722101 16763919 5 3 73181 -1.4316 0.92388
9696 1 17248445 17299474 4 2 44983 -1.0037 0.84223
4237 1 17300997 17308081 1 1 87020 -0.22901 0.59057
23400 1 17312453 17338467 3 2 69264 0.027124 0.48918
6390 1 17345217 17380665 1 1 92802 1.7041 0.044182
11240 1 17393256 17445948 2 1 62488 -1.6388 0.94937
51702 1 17575593 17610728 2 1 92802 -1.7349 0.95862
23569 1 17634690 17690495 8 3 80967 -0.58306 0.72007
353238 1 17698741 17728195 3 2 90044 1.1164 0.13212
55160 1 17846693 18024370 4 2 91834 -1.0203 0.84621
81569 1 18081808 18153558 2 1 89884 2.9009 0.0018603
84966 1 18434240 18704977 2 1 91556 -0.24528 0.59688
127707 1 18807424 18812540 7 2 66039 -1.0648 0.85652
80834 1 19166093 19186155 7 4 87947 -0.49852 0.69094
8659 1 19197924 19229293 5 3 91635 -0.61242 0.72987
23352 1 19401000 19536812 3 2 90875 -0.3972 0.65439
23065 1 19542158 19578053 3 1 69282 -0.81446 0.79231
22977 1 19609057 19615280 1 1 92802 1.5904 0.055874
8574 1 19629202 19638640 2 1 92802 0.55248 0.29031
54896 1 19638740 19658925 2 1 92802 -0.69101 0.75522
832 1 19665267 19812066 3 1 91971 -1.1043 0.86527
255104 1 20008706 20126424 4 2 92802 2.053 0.020034
54546 1 20140522 20141771 2 1 86205 0.9055 0.1826
23252 1 20208356 20239438 2 1 92802 -0.34624 0.63542
30814 1 20246800 20250110 1 1 92802 -0.29937 0.61767
26279 1 20439143 20446059 1 1 92802 -0.62354 0.73354
64600 1 20465823 20476879 1 1 92802 -1.2781 0.89939
391013 1 20490484 20501687 2 1 92802 -0.12104 0.54817
127731 1 20617412 20681662 5 2 91646 -0.80455 0.78946
79594 1 20825941 20834674 1 1 77892 -0.072164 0.52876
978 1 20915444 20945401 1 1 92802 -1.0755 0.85893
65018 1 20959948 20978004 3 2 75928 1.5459 0.061069
57576 1 20990475 21044317 6 4 89224 0.40287 0.34352
8672 1 21132785 21503381 2 1 87020 1.4865 0.068579
1889 1 21543740 21672034 2 1 92802 0.7279 0.23334
84224 1 21766583 21811393 3 1 85905 -0.7504 0.77349
249 1 21835475 21904905 1 1 92802 0.3838 0.35056
5909 1 21922708 21996010 3 2 86541 0.59655 0.2754
84196 1 22004791 22109688 1 1 92802 -1.7127 0.95662
401944 1 22138758 22151714 3 2 92802 0.75099 0.22633
3339 1 22148737 22263750 20 8 83811 0.67152 0.25094
23436 1 22303418 22315847 1 1 88928 1.6669 0.047767
9923 1 22778344 22857650 4 2 90733 -0.029012 0.51157
2046 1 22890004 22930087 3 2 69474 1.5558 0.059882
2048 1 23037263 23241823 2 1 80675 0.3876 0.34915
7798 1 23410516 23504301 6 2 86394 -0.73187 0.76788
6920 1 23707555 23751269 1 1 90309 0.37331 0.35446
55616 1 23755056 23810750 1 1 90309 -0.44374 0.67138
1870 1 23832920 23857712 1 1 67889 -0.58723 0.72148
3399 1 23884421 23886285 1 1 79550 0.51783 0.30229
6924 1 24069856 24088549 2 1 85347 -0.79494 0.78668
2517 1 24171567 24194859 2 1 89765 0.2074 0.41785
1269 1 24197005 24285549 3 2 77010 -0.57838 0.7185
127294 1 24382531 24438665 11 4 90263 1.111 0.13328
58985 1 24446261 24469783 2 1 77872 -0.48898 0.68757
163702 1 24480647 24513765 1 1 24680 0.89647 0.185
57822 1 24645812 24690972 6 3 89911 -0.064023 0.52552
90529 1 24683489 24741587 6 3 91838 -0.46798 0.6801
864 1 25226002 25291648 1 1 92802 0.87242 0.19149
25949 1 25548767 25559013 2 1 91556 -0.51316 0.69608
57035 1 25568740 25574010 2 1 92802 -0.059355 0.52367
