GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 -1.5604 0.94066
105378580 1 803398 805130 4 2 337119 -2.6381 0.99583
148398 1 925741 944581 54 17 337119 -0.75499 0.77487
26155 1 944203 959299 49 8 337119 -1.0149 0.84493
339451 1 959952 965720 17 4 337119 -0.88702 0.81247
84069 1 966497 975108 29 13 337119 1.3838 0.083205
84808 1 975199 982117 22 6 337119 0.82504 0.20468
57801 1 998962 1001285 12 4 337119 2.0756 0.018963
9636 1 1013467 1014540 5 2 337119 0.7085 0.23932
375790 1 1020101 1056119 115 16 337119 1.381 0.083644
105369174 1 1061207 1066390 10 5 337119 0.21311 0.41562
105378948 1 1065635 1069326 10 3 337119 -0.14372 0.55714
401934 1 1071746 1074307 6 2 337119 0.34723 0.36421
54991 1 1081818 1116356 114 14 337119 -1.0173 0.8455
254173 1 1173898 1197935 143 20 337119 -1.5418 0.93844
8784 1 1203508 1206709 10 2 337119 -1.049 0.85292
7293 1 1211326 1214638 8 3 337119 -0.24213 0.59566
51150 1 1216908 1232067 93 6 337119 -0.63044 0.7358
126792 1 1232249 1235041 7 2 337119 0.097594 0.46113
388581 1 1242446 1247218 13 3 337119 -0.86055 0.80526
118424 1 1253912 1273854 42 7 337119 -0.56017 0.71232
6339 1 1280415 1292029 43 15 337119 -1.2858 0.90074
116983 1 1292384 1307925 43 10 337119 -0.92161 0.82163
126789 1 1308571 1311677 5 3 337119 0.24608 0.40281
54973 1 1311585 1324687 19 6 337119 -0.10155 0.54044
80772 1 1324756 1328896 10 2 337119 -0.50816 0.69433
83756 1 1328999 1335320 26 8 337119 -0.24807 0.59796
1855 1 1335278 1349158 34 9 337119 -0.2835 0.6116
54587 1 1352689 1363541 36 6 337119 -0.68797 0.75427
54998 1 1373730 1375438 8 4 337119 0.29036 0.38577
81669 1 1385711 1399338 21 7 337119 -0.056686 0.5226
55052 1 1401896 1407834 15 6 337119 0.23453 0.40729
441869 1 1418420 1421820 10 4 337119 0.549 0.2915
643965 1 1426128 1427787 8 3 337119 -0.58872 0.72197
64856 1 1435523 1442882 15 4 337119 -1.3023 0.9036
219293 1 1441301 1470158 88 15 337119 -0.71165 0.76166
83858 1 1471732 1509479 90 21 337119 0.80315 0.21095
55210 1 1512143 1534687 80 13 337119 0.79405 0.21358
339453 1 1534778 1540360 12 7 337119 0.72745 0.23348
29101 1 1541673 1574882 93 11 337119 0.33774 0.36778
643988 1 1598008 1600096 2 1 337119 -0.74026 0.77043
142678 1 1614975 1630610 39 9 337119 -0.45056 0.67385
984 1 1635226 1659839 33 6 337119 -1.1002 0.86438
728661 1 1660025 1692804 75 16 337119 -1.3001 0.90321
728642 1 1702730 1724352 68 5 337119 0.87683 0.19029
9906 1 1724838 1745999 64 11 337119 -0.11528 0.54589
65220 1 1751232 1780514 68 10 337119 -1.4962 0.93269
2782 1 1785285 1891117 160 23 337119 -1.225 0.88972
105378949 1 1885960 1893010 14 7 337119 -0.15771 0.56266
163688 1 1913752 1917294 13 3 337119 -0.78792 0.78463
339456 1 1917589 1919301 6 3 337119 -0.63135 0.73609
85452 1 1921951 2003837 329 27 337119 0.2561 0.39894
2563 1 2019329 2030753 29 7 337119 -0.51563 0.69694
5590 1 2050470 2185395 400 32 337119 -0.48688 0.68683
100506504 1 2181811 2184360 4 2 337119 -0.99778 0.84081
