GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 337119 -0.52445 0.70002
105378580 1 803398 805130 4 2 337119 0.08208 0.46729
148398 1 925741 944581 54 17 337119 1.2699 0.10206
26155 1 944203 959299 49 8 337119 -0.34359 0.63442
339451 1 959952 965720 17 4 337119 -0.34783 0.63602
84069 1 966497 975108 29 13 337119 -0.19138 0.57589
84808 1 975199 982117 22 6 337119 -0.41895 0.66237
57801 1 998962 1001285 12 4 337119 -0.91191 0.81909
9636 1 1013467 1014540 5 2 337119 2.088 0.018401
375790 1 1020101 1056119 115 16 337119 -1.7178 0.95708
105369174 1 1061207 1066390 10 5 337119 -0.29738 0.61691
105378948 1 1065635 1069326 10 3 337119 -0.72293 0.76514
401934 1 1071746 1074307 6 2 337119 -0.0007199 0.50029
54991 1 1081818 1116356 114 14 337119 -0.66007 0.7454
254173 1 1173898 1197935 143 20 337119 -0.66086 0.74565
8784 1 1203508 1206709 10 2 337119 0.64081 0.26082
7293 1 1211326 1214638 8 3 337119 1.0345 0.15044
51150 1 1216908 1232067 93 6 337119 0.39113 0.34785
126792 1 1232249 1235041 7 2 337119 0.29209 0.38511
388581 1 1242446 1247218 13 3 337119 1.0241 0.1529
118424 1 1253912 1273854 42 7 337119 1.7748 0.037962
6339 1 1280415 1292029 43 15 337119 1.2931 0.097992
116983 1 1292384 1307925 43 10 337119 1.5215 0.064073
126789 1 1308571 1311677 5 3 337119 1.8317 0.0335
54973 1 1311585 1324687 19 6 337119 2.1498 0.015787
80772 1 1324756 1328896 10 2 337119 2.2593 0.011933
83756 1 1328999 1335320 26 8 337119 1.6884 0.045671
1855 1 1335278 1349158 34 9 337119 1.8305 0.03359
54587 1 1352689 1363541 36 6 337119 2.1509 0.015742
54998 1 1373730 1375438 8 4 337119 1.467 0.071182
81669 1 1385711 1399338 21 7 337119 1.8222 0.034209
55052 1 1401896 1407834 15 6 337119 1.3537 0.08791
441869 1 1418420 1421820 10 4 337119 0.34437 0.36528
643965 1 1426128 1427787 8 3 337119 0.78486 0.21627
64856 1 1435523 1442882 15 4 337119 0.16065 0.43618
219293 1 1441301 1470158 88 15 337119 -0.57847 0.71853
83858 1 1471732 1509479 90 21 337119 -0.87542 0.80933
55210 1 1512143 1534687 80 13 337119 -0.43182 0.66706
339453 1 1534778 1540360 12 7 337119 -0.52493 0.70018
29101 1 1541673 1574882 93 11 337119 0.042784 0.48294
643988 1 1598008 1600096 2 1 337119 -0.093904 0.53741
142678 1 1614975 1630610 39 9 337119 1.386 0.08288
