GENE CHR START STOP NSNPS NPARAM N ZSTAT P
105378947 1 586287 611297 7 3 232101 -2.3207 0.98985
105378580 1 803398 805130 4 2 232101 -1.9873 0.97655
148398 1 925741 944581 51 16 232101 -4.9222 1
26155 1 944203 959299 41 9 232101 -2.7829 0.99731
339451 1 959952 965720 15 3 232101 -2.1246 0.98319
84069 1 966497 975108 24 10 232101 -4.5627 1
84808 1 975199 982117 20 5 232101 -2.9276 0.99829
57801 1 998962 1001285 11 3 232101 -2.2207 0.98681
9636 1 1013467 1014540 2 1 232101 -0.6497 0.74206
375790 1 1020101 1056119 105 15 232101 -2.4912 0.99363
105369174 1 1061207 1066390 10 5 232101 -1.5832 0.94331
105378948 1 1065635 1069326 8 3 232101 -0.65008 0.74218
401934 1 1071746 1074307 5 2 232101 -0.22019 0.58714
54991 1 1081818 1116356 110 14 232101 -0.96049 0.8316
254173 1 1173898 1197935 137 20 232101 -2.1277 0.98332
8784 1 1203508 1206709 10 2 232101 -0.23514 0.59295
7293 1 1211326 1214638 8 3 232101 -1.9022 0.97142
51150 1 1216908 1232067 86 5 232101 -1.6657 0.95212
126792 1 1232249 1235041 6 2 232101 -1.681 0.95362
388581 1 1242446 1247218 13 3 232101 -2.3496 0.9906
118424 1 1253912 1273854 40 7 232101 -1.3889 0.91757
6339 1 1280415 1292029 40 14 232101 -2.6084 0.99545
116983 1 1292384 1307925 42 10 232101 -1.8791 0.96989
126789 1 1308571 1311677 4 2 232101 -2.4356 0.99257
54973 1 1311585 1324687 17 6 232101 -2.5131 0.99402
80772 1 1324756 1328896 10 2 232101 -1.2725 0.89841
83756 1 1328999 1335320 21 7 232101 -2.0303 0.97884
1855 1 1335278 1349158 29 8 232101 -2.1698 0.98499
54587 1 1352689 1363541 30 5 232101 -1.9785 0.97606
54998 1 1373730 1375438 8 4 232101 -2.5313 0.99432
81669 1 1385711 1399338 21 7 232101 -2.6817 0.99634
55052 1 1401896 1407834 15 6 232101 -2.8312 0.99768
441869 1 1418420 1421820 10 4 232101 -2.3821 0.99139
